seed,arm,event_type,subgraph,n_connections,trace_src_positive_rate,phi_tgt_positive_rate,support_rate,trace_l1,phi_l1,raw_l1,dW_l1,tag_delta_l1,support_over_trace_phi_expected,trace_phi_overlap_index,support_concentration_by_subgraph,h_mean_supported,h_mean_unsupported,h_support_ratio,corr_h_trace_src,corr_h_phi_tgt,corr_h_support,LL_special_case_flag,RR_seed_split_flag,R_event_collapse_flag,support_decomposition_verdict,trace_count,phi_count,support_count
42,closed_loop,L,RM,828,0.078502,0.0,0.0,0.323093,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.121456,nan,-0.038413,nan,nan,0,0,0,support_geometry_mixed,65,0,0
42,closed_loop,L,RR,5766,0.11273,0.0,0.0,3.269446,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.108385,nan,-0.038099,nan,nan,0,1,0,support_geometry_mixed,650,0,0
42,closed_loop,R,L,5904,0.067073,0.0,0.0,1.385559,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.141758,nan,0.040374,nan,nan,0,0,1,support_geometry_mixed,396,0,0
42,closed_loop,R,L,912,0.078947,0.0,0.0,0.209868,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.137308,nan,0.102858,nan,nan,0,0,1,support_geometry_mixed,72,0,0
42,closed_loop,R,L,5676,0.080338,0.130021,0.013742,1.915056,3.920838,0.001624,0.000283,0.000283,1.315576,0.171053,0.013742,0.150021,0.143815,1.043158,0.100062,-0.022632,0.007091,0,0,1,h_not_upstream_of_9C_support,456,738,78
42,closed_loop,R,LL,5904,0.067073,0.0,0.0,1.385559,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.141758,nan,0.040374,nan,nan,1,0,1,support_geometry_mixed,396,0,0
42,closed_loop,R,LM,912,0.078947,0.0,0.0,0.209868,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.137308,nan,0.102858,nan,nan,0,0,1,support_geometry_mixed,72,0,0
42,closed_loop,R,LR,5676,0.080338,0.130021,0.013742,1.915056,3.920838,0.001624,0.000283,0.000283,1.315576,0.171053,0.013742,0.150021,0.143815,1.043158,0.100062,-0.022632,0.007091,0,0,1,h_not_upstream_of_9C_support,456,738,78
42,closed_loop,R,M,1050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.145383,nan,nan,nan,nan,0,0,1,support_geometry_mixed,0,0,0
42,closed_loop,R,M,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.125539,nan,nan,nan,nan,0,0,1,support_geometry_mixed,0,0,0
42,closed_loop,R,M,1032,0.0,0.122093,0.0,0.0,0.62967,0.0,0.0,0.0,nan,nan,0.0,nan,0.132372,nan,nan,-0.099231,nan,0,0,1,support_geometry_mixed,0,126,0
42,closed_loop,R,ML,1050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.145383,nan,nan,nan,nan,0,0,1,support_geometry_mixed,0,0,0
42,closed_loop,R,MM,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.125539,nan,nan,nan,nan,0,0,1,support_geometry_mixed,0,0,0
42,closed_loop,R,MR,1032,0.0,0.122093,0.0,0.0,0.62967,0.0,0.0,0.0,nan,nan,0.0,nan,0.132372,nan,nan,-0.099231,nan,0,0,1,support_geometry_mixed,0,126,0
42,closed_loop,R,R,5628,0.103056,0.0,0.0,2.693701,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.141023,nan,-0.015066,nan,nan,0,0,1,support_geometry_mixed,580,0,0
42,closed_loop,R,R,828,0.078502,0.0,0.0,0.305393,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.143491,nan,-0.064181,nan,nan,0,0,1,support_geometry_mixed,65,0,0
42,closed_loop,R,R,5766,0.11273,0.125911,0.013874,3.09033,4.004298,0.002877,0.000317,0.000317,0.977495,0.123077,0.013874,0.103506,0.128189,0.80745,-0.068902,-0.103076,-0.030824,0,0,1,h_not_upstream_of_9C_support,650,726,80
42,closed_loop,R,RL,5628,0.103056,0.0,0.0,2.693701,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.141023,nan,-0.015066,nan,nan,0,0,1,support_geometry_mixed,580,0,0
42,closed_loop,R,RM,828,0.078502,0.0,0.0,0.305393,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.143491,nan,-0.064181,nan,nan,0,0,1,support_geometry_mixed,65,0,0
42,closed_loop,R,RR,5766,0.11273,0.125911,0.013874,3.09033,4.004298,0.002877,0.000317,0.000317,0.977495,0.123077,0.013874,0.103506,0.128189,0.80745,-0.068902,-0.103076,-0.030824,0,1,1,RR_overlap_geometry_split,650,726,80
42,divergent_warmup_replay,ALL,ALL,53820,0.079599,0.047157,0.004143,19.339094,13.265068,0.006112,0.0011,0.0011,1.103843,0.087864,0.004143,0.106788,0.10919,0.978006,0.009838,-0.010167,-0.001908,0,0,0,h_not_upstream_of_9C_support,4284,2538,223
42,divergent_warmup_replay,ALL,LL,11808,0.061484,0.043191,0.002541,2.686787,2.31121,0.00044,0.000162,0.000162,0.956733,0.058824,0.002541,0.138383,0.11116,1.244905,0.034437,0.014095,0.017017,1,0,0,LL_topology_support_special_case,726,510,30
42,divergent_warmup_replay,ALL,LM,1824,0.072368,0.0,0.0,0.406962,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.108586,nan,0.083613,nan,nan,0,0,0,support_geometry_mixed,132,0,0
42,divergent_warmup_replay,ALL,LR,11352,0.073643,0.065011,0.006871,3.713553,3.920838,0.001624,0.000283,0.000283,1.435173,0.105691,0.006871,0.131428,0.112995,1.163131,0.088057,0.010887,0.018053,0,0,0,h_not_upstream_of_9C_support,836,738,78
42,divergent_warmup_replay,ALL,ML,2100,0.0,0.037143,0.0,0.0,0.536963,0.0,0.0,0.0,nan,nan,0.0,nan,0.114155,nan,nan,0.066388,nan,0,0,0,support_geometry_mixed,0,78,0
42,divergent_warmup_replay,ALL,MM,228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.102325,nan,nan,nan,nan,0,0,0,support_geometry_mixed,0,0,0
42,divergent_warmup_replay,ALL,MR,2064,0.0,0.061047,0.0,0.0,0.62967,0.0,0.0,0.0,nan,nan,0.0,nan,0.1059,nan,nan,-0.042119,nan,0,0,0,support_geometry_mixed,0,126,0
42,divergent_warmup_replay,ALL,RL,11256,0.103056,0.031983,0.003109,5.54353,1.862089,0.001171,0.000338,0.000338,0.943391,0.097222,0.003109,0.058287,0.110977,0.525216,0.009885,-0.016915,-0.036369,0,0,0,h_not_upstream_of_9C_support,1160,360,35
42,divergent_warmup_replay,ALL,RM,1656,0.078502,0.0,0.0,0.628486,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.113032,nan,-0.036178,nan,nan,0,0,0,support_geometry_mixed,130,0,0
42,divergent_warmup_replay,ALL,RR,11532,0.11273,0.062955,0.006937,6.359776,4.004298,0.002877,0.000317,0.000317,0.977495,0.110193,0.006937,0.092136,0.101027,0.911993,-0.043089,-0.048276,-0.00958,0,1,0,RR_phi_limited_seed_split,1300,726,80
42,divergent_warmup_replay,L,L,5904,0.055894,0.086382,0.005081,1.301228,2.31121,0.00044,0.000162,0.000162,1.052406,0.090909,0.005081,0.138383,0.099207,1.394887,0.027612,0.063593,0.036801,0,0,0,h_not_upstream_of_9C_support,330,510,30
42,divergent_warmup_replay,L,L,912,0.065789,0.0,0.0,0.197094,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.097085,nan,0.071157,nan,nan,0,0,0,support_geometry_mixed,60,0,0
42,divergent_warmup_replay,L,L,5676,0.066949,0.0,0.0,1.798497,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.1011,nan,0.074892,nan,nan,0,0,0,support_geometry_mixed,380,0,0
42,divergent_warmup_replay,L,LL,5904,0.055894,0.086382,0.005081,1.301228,2.31121,0.00044,0.000162,0.000162,1.052406,0.090909,0.005081,0.138383,0.099207,1.394887,0.027612,0.063593,0.036801,1,0,0,LL_topology_support_special_case,330,510,30
42,divergent_warmup_replay,L,LM,912,0.065789,0.0,0.0,0.197094,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.097085,nan,0.071157,nan,nan,0,0,0,support_geometry_mixed,60,0,0
42,divergent_warmup_replay,L,LR,5676,0.066949,0.0,0.0,1.798497,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.1011,nan,0.074892,nan,nan,0,0,0,support_geometry_mixed,380,0,0
42,divergent_warmup_replay,L,M,1050,0.0,0.074286,0.0,0.0,0.536963,0.0,0.0,0.0,nan,nan,0.0,nan,0.102067,nan,nan,0.141238,nan,0,0,0,support_geometry_mixed,0,78,0
42,divergent_warmup_replay,L,M,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.091798,nan,nan,nan,nan,0,0,0,support_geometry_mixed,0,0,0
42,divergent_warmup_replay,L,M,1032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.094752,nan,nan,nan,nan,0,0,0,support_geometry_mixed,0,0,0
42,divergent_warmup_replay,L,ML,1050,0.0,0.074286,0.0,0.0,0.536963,0.0,0.0,0.0,nan,nan,0.0,nan,0.102067,nan,nan,0.141238,nan,0,0,0,support_geometry_mixed,0,78,0
42,divergent_warmup_replay,L,MM,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.091798,nan,nan,nan,nan,0,0,0,support_geometry_mixed,0,0,0
42,divergent_warmup_replay,L,MR,1032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.094752,nan,nan,nan,nan,0,0,0,support_geometry_mixed,0,0,0
42,divergent_warmup_replay,L,R,5628,0.103056,0.063966,0.006219,2.849828,1.862089,0.001171,0.000338,0.000338,0.943391,0.097222,0.006219,0.058287,0.099293,0.587016,0.030148,0.009914,-0.042541,0,0,0,h_not_upstream_of_9C_support,580,360,35
42,divergent_warmup_replay,L,R,828,0.078502,0.0,0.0,0.323093,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.101171,nan,-0.018626,nan,nan,0,0,0,support_geometry_mixed,65,0,0
42,divergent_warmup_replay,L,R,5766,0.11273,0.0,0.0,3.269446,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.090428,nan,-0.022646,nan,nan,0,0,0,support_geometry_mixed,650,0,0
42,divergent_warmup_replay,L,RL,5628,0.103056,0.063966,0.006219,2.849828,1.862089,0.001171,0.000338,0.000338,0.943391,0.097222,0.006219,0.058287,0.099293,0.587016,0.030148,0.009914,-0.042541,0,0,0,h_not_upstream_of_9C_support,580,360,35
42,divergent_warmup_replay,L,RM,828,0.078502,0.0,0.0,0.323093,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.101171,nan,-0.018626,nan,nan,0,0,0,support_geometry_mixed,65,0,0
42,divergent_warmup_replay,L,RR,5766,0.11273,0.0,0.0,3.269446,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.090428,nan,-0.022646,nan,nan,0,1,0,support_geometry_mixed,650,0,0
42,divergent_warmup_replay,R,L,5904,0.067073,0.0,0.0,1.385559,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.123051,nan,0.040398,nan,nan,0,0,1,support_geometry_mixed,396,0,0
42,divergent_warmup_replay,R,L,912,0.078947,0.0,0.0,0.209868,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.120087,nan,0.096478,nan,nan,0,0,1,support_geometry_mixed,72,0,0
42,divergent_warmup_replay,R,L,5676,0.080338,0.130021,0.013742,1.915056,3.920838,0.001624,0.000283,0.000283,1.315576,0.171053,0.013742,0.131428,0.125056,1.050958,0.101636,-0.025362,0.008465,0,0,1,h_not_upstream_of_9C_support,456,738,78
42,divergent_warmup_replay,R,LL,5904,0.067073,0.0,0.0,1.385559,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.123051,nan,0.040398,nan,nan,1,0,1,support_geometry_mixed,396,0,0
42,divergent_warmup_replay,R,LM,912,0.078947,0.0,0.0,0.209868,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.120087,nan,0.096478,nan,nan,0,0,1,support_geometry_mixed,72,0,0
42,divergent_warmup_replay,R,LR,5676,0.080338,0.130021,0.013742,1.915056,3.920838,0.001624,0.000283,0.000283,1.315576,0.171053,0.013742,0.131428,0.125056,1.050958,0.101636,-0.025362,0.008465,0,0,1,h_not_upstream_of_9C_support,456,738,78
42,divergent_warmup_replay,R,M,1050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.126242,nan,nan,nan,nan,0,0,1,support_geometry_mixed,0,0,0
42,divergent_warmup_replay,R,M,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.112852,nan,nan,nan,nan,0,0,1,support_geometry_mixed,0,0,0
