seed,arm,step,mean_activation,mean_energy,lr_imbalance,event_count_L,event_count_R,total_events,final_weight_l1,mean_inter_event_interval
42,open_loop_poisson,2000,0.3688321917470178,0.38830435639545885,0.04134639706926152,57,40,97,0.19520629910602225,202.75
42,open_loop_poisson,4000,0.37447628660455196,0.3757362118768938,0.04695820694899344,57,40,97,0.19520629910602225,202.75
42,open_loop_poisson,6000,0.34469411284186063,0.34383586510085706,0.02214119602713177,57,40,97,0.19520629910602225,202.75
42,open_loop_poisson,8000,0.33376632478050017,0.3901707550145746,0.026136417718576332,57,40,97,0.19520629910602225,202.75
42,open_loop_poisson,10000,0.34893282870106934,0.3367429810230656,0.038970987538603286,57,40,97,0.19520629910602225,202.75
42,open_loop_poisson,12000,0.3218765989057177,0.34721241060892954,0.04568457520194841,57,40,97,0.19520629910602225,202.75
42,open_loop_poisson,14000,0.31783859624403843,0.3596765160169452,0.04304599767996958,57,40,97,0.19520629910602225,202.75
42,open_loop_poisson,16000,0.33272385351350936,0.3480048748178525,0.025053744409137324,57,40,97,0.19520629910602225,202.75
42,open_loop_poisson,18000,0.3071492930194368,0.3430373576743642,0.03231429070626818,57,40,97,0.19520629910602225,202.75
42,open_loop_poisson,20000,0.3205547047233697,0.3386085299060983,0.03828029519298287,57,40,97,0.19520629910602225,202.75
42,closed_loop_triggered,2000,0.3664056840283022,0.3835814762797198,0.03381025396512499,0,15,15,0.19520629423805297,1382.5714285714287
42,closed_loop_triggered,4000,0.3609273560999001,0.36883232215990785,0.048127754897829,0,15,15,0.19520629423805297,1382.5714285714287
42,closed_loop_triggered,6000,0.3429620464156702,0.39042745058656203,0.030004443901777533,0,15,15,0.19520629423805297,1382.5714285714287
42,closed_loop_triggered,8000,0.34911114380131103,0.3541261200866794,0.034717457293961806,0,15,15,0.19520629423805297,1382.5714285714287
42,closed_loop_triggered,10000,0.3334494109102182,0.35212493200266975,0.044162013896316854,0,15,15,0.19520629423805297,1382.5714285714287
42,closed_loop_triggered,12000,0.33622827894477836,0.34603018786585277,0.055056424875531584,0,15,15,0.19520629423805297,1382.5714285714287
42,closed_loop_triggered,14000,0.3421862895614507,0.3463189495427397,0.04247142981468771,0,15,15,0.19520629423805297,1382.5714285714287
42,closed_loop_triggered,16000,0.315203343903272,0.35333169294575595,0.04417040627818963,0,15,15,0.19520629423805297,1382.5714285714287
42,closed_loop_triggered,18000,0.30823729848338954,0.34254464955023084,0.030196526813450586,0,15,15,0.19520629423805297,1382.5714285714287
42,closed_loop_triggered,20000,0.31642509806032904,0.3416859558448762,0.030688142849985833,0,15,15,0.19520629423805297,1382.5714285714287
42,matched_time_shuffle,2000,0.3702339604401754,0.38599895169048637,0.03918691214275516,0,15,15,0.1952119185706125,1382.5714285714287
42,matched_time_shuffle,4000,0.37029032014130325,0.3885952972533539,0.031066012838134704,0,15,15,0.1952119185706125,1382.5714285714287
42,matched_time_shuffle,6000,0.36465036602499884,0.3818689419290042,0.04290242352712115,0,15,15,0.1952119185706125,1382.5714285714287
42,matched_time_shuffle,8000,0.346263553619153,0.35799797646049275,0.042098354431457985,0,15,15,0.1952119185706125,1382.5714285714287
42,matched_time_shuffle,10000,0.3399329698358746,0.3569069521447373,0.05299807660780548,0,15,15,0.1952119185706125,1382.5714285714287
42,matched_time_shuffle,12000,0.3333933175867827,0.36512634651416015,0.06716863790656075,0,15,15,0.1952119185706125,1382.5714285714287
42,matched_time_shuffle,14000,0.3214352699259378,0.35098187841839423,0.0583461097437033,0,15,15,0.1952119185706125,1382.5714285714287
42,matched_time_shuffle,16000,0.32873787394495074,0.34770952251450693,0.04340074222248058,0,15,15,0.1952119185706125,1382.5714285714287
42,matched_time_shuffle,18000,0.31745392525234145,0.3321901326872782,0.035096833132711835,0,15,15,0.1952119185706125,1382.5714285714287
42,matched_time_shuffle,20000,0.2894519273331388,0.34101663731276016,0.022035115441888853,0,15,15,0.1952119185706125,1382.5714285714287
42,circular_shift,2000,0.3765255319839111,0.3746685646536567,0.04692685411004521,0,15,15,0.19521440704820564,1326.5
