seed,arm,step,mean_activation,mean_energy,lr_imbalance,event_count_L,event_count_R,total_events,final_weight_l1,mean_inter_event_interval
999,open_loop_poisson,20000,0.2885478434844476,0.36791054616613567,0.012641529104978011,69,44,113,0.19673012057392567,177.71428571428572
999,closed_loop_triggered,2000,0.314683962828862,0.3766628296129605,0.03388680843246655,0,6,6,0.19673884571852251,3385.6
999,closed_loop_triggered,4000,0.2970673244450569,0.403386874938238,0.031598049119773375,0,6,6,0.19673884571852251,3385.6
999,closed_loop_triggered,6000,0.31758990200114257,0.3985167337194854,0.01020707036597962,0,6,6,0.19673884571852251,3385.6
999,closed_loop_triggered,8000,0.30726210594446285,0.38469092619905526,0.03097244503592539,0,6,6,0.19673884571852251,3385.6
999,closed_loop_triggered,10000,0.30245929864764975,0.39968432891026834,0.00838580558225921,0,6,6,0.19673884571852251,3385.6
999,closed_loop_triggered,12000,0.28957143208610253,0.3933741225227151,0.030253955386458364,0,6,6,0.19673884571852251,3385.6
999,closed_loop_triggered,14000,0.28189749106303913,0.38541208637993835,-0.002275607467231322,0,6,6,0.19673884571852251,3385.6
999,closed_loop_triggered,16000,0.28392238901673095,0.3629805323175357,9.764478718587988e-05,0,6,6,0.19673884571852251,3385.6
999,closed_loop_triggered,18000,0.28799409223163136,0.37777881975695776,0.013102727188608387,0,6,6,0.19673884571852251,3385.6
999,closed_loop_triggered,20000,0.27040354618208273,0.37119686681402597,0.0034516185943574973,0,6,6,0.19673884571852251,3385.6
999,matched_time_shuffle,2000,0.31470316491966116,0.3763692341826072,0.033919066392409214,0,6,6,0.19673553666585944,3385.6
999,matched_time_shuffle,4000,0.31937460967802733,0.42729726500375875,-0.000892768138726574,0,6,6,0.19673553666585944,3385.6
999,matched_time_shuffle,6000,0.31690950238481036,0.3667838687797168,0.0012100365340348973,0,6,6,0.19673553666585944,3385.6
999,matched_time_shuffle,8000,0.30037027179272213,0.3634923552611776,0.01549161132468485,0,6,6,0.19673553666585944,3385.6
999,matched_time_shuffle,10000,0.2885755254137594,0.3965860064801219,0.038604569293422875,0,6,6,0.19673553666585944,3385.6
999,matched_time_shuffle,12000,0.3083316088216795,0.351756572107222,0.0022110311812396644,0,6,6,0.19673553666585944,3385.6
999,matched_time_shuffle,14000,0.2848496281654292,0.37616499906415385,0.03255907782607359,0,6,6,0.19673553666585944,3385.6
999,matched_time_shuffle,16000,0.29940260008169695,0.3688055913589955,0.016248265025713804,0,6,6,0.19673553666585944,3385.6
999,matched_time_shuffle,18000,0.26120392479750687,0.39146221837024664,0.030660476436518064,0,6,6,0.19673553666585944,3385.6
999,matched_time_shuffle,20000,0.25630755699838653,0.3786103191658867,0.018329805390262216,0,6,6,0.19673553666585944,3385.6
999,circular_shift,2000,0.3105325567809116,0.3858107510463635,0.0031558036126703715,0,6,6,0.196740610190433,2399.0
999,circular_shift,4000,0.31450983472092975,0.42527107128111186,0.0008623056484066693,0,6,6,0.196740610190433,2399.0
999,circular_shift,6000,0.32574053029391803,0.3696910557446061,-0.007130191522117746,0,6,6,0.196740610190433,2399.0
999,circular_shift,8000,0.308316993440501,0.37661871355522863,0.018411037832716026,0,6,6,0.196740610190433,2399.0
999,circular_shift,10000,0.29465820776316815,0.4098074590590768,0.018495773219813605,0,6,6,0.196740610190433,2399.0
999,circular_shift,12000,0.3087373855016708,0.38347815372408567,-0.009998136765828447,0,6,6,0.196740610190433,2399.0
999,circular_shift,14000,0.28220025244034513,0.394107194635342,0.02164303508956683,0,6,6,0.196740610190433,2399.0
999,circular_shift,16000,0.26236837539045416,0.37658498684304126,0.044515810624388,0,6,6,0.196740610190433,2399.0
999,circular_shift,18000,0.27814852564102327,0.404436371414921,-0.0012094303830295083,0,6,6,0.196740610190433,2399.0
999,circular_shift,20000,0.26391053708697254,0.37447272108248486,-0.00036375959122614265,0,6,6,0.196740610190433,2399.0
