condition,group,label,plasticity_rate,final_step,mean_activation,mean_energy,hard_active_ratio,weight_mean,weight_std,weight_abs_mean,activation_entropy,elapsed_sec,manip_tc_tc_std_after,manip_tc_tc_mean_after,manip_tc_factor,manip_lr_lr_abs_weight_mean_after,manip_lr_lr_connection_count,manip_lr_lr_abs_weight_mean_before,manip_lr_factor
baseline,A_L,L then R,0.0001,120000,0.31734334890104643,0.34009217920254464,0.4533333333333333,0.001338201473483435,0.34570143787926405,0.30000000000000027,2.2829803584479453,404.17383766174316,0.11322173380380689,0.9966671430298739,1.0,0.3391232897360154,16,0.3391232897360154,1.0
baseline,A_R,R then L,0.0001,120000,0.3200020208715859,0.35027137019843074,0.45666666666666667,0.0013384808178196273,0.345700047296118,0.3000000000000009,2.359215608606013,461.2612955570221,0.11322173380380689,0.9966671430298739,1.0,0.3391232897360154,16,0.3391232897360154,1.0
baseline,C,repeat A_L,0.0001,120000,0.31734334890104643,0.34009217920254464,0.4533333333333333,0.001338201473483435,0.34570143787926405,0.30000000000000027,2.2829803584479453,402.33700466156006,0.11322173380380689,0.9966671430298739,1.0,0.3391232897360154,16,0.3391232897360154,1.0
baseline,D_L,plasticity off (L then R),0.0,120000,0.37725592982154244,0.3923436959698829,0.5,0.0010841217503497812,0.571448818933048,0.4950954547379169,2.1186652089001083,263.01572465896606,0.11322173380380689,0.9966671430298739,1.0,0.3391232897360154,16,0.3391232897360154,1.0
baseline,D_R,plasticity off (R then L),0.0,120000,0.3723063111637187,0.39019027941563605,0.49,0.0010841217503497812,0.571448818933048,0.4950954547379169,2.1367839521631087,249.49151754379272,0.11322173380380689,0.9966671430298739,1.0,0.3391232897360154,16,0.3391232897360154,1.0
high_std,A_L,L then R,0.0001,120000,0.32400492139186987,0.337687765371563,0.48333333333333334,0.0013167757548212431,0.3457255284555251,0.30000000000000077,2.3093178724650536,363.0819697380066,0.22644346760761377,0.9966671430298739,2.0,0.3391232897360154,16,0.3391232897360154,1.0
high_std,A_R,R then L,0.0001,120000,0.3062162635315382,0.3723938149481572,0.4533333333333333,0.0013173029977538915,0.3457258127304114,0.3000000000000012,2.3084831492857876,505.38340044021606,0.22644346760761377,0.9966671430298739,2.0,0.3391232897360154,16,0.3391232897360154,1.0
high_std,C,repeat A_L,0.0001,120000,0.32400492139186987,0.337687765371563,0.48333333333333334,0.0013167757548212431,0.3457255284555251,0.30000000000000077,2.3093178724650536,466.85407996177673,0.22644346760761377,0.9966671430298739,2.0,0.3391232897360154,16,0.3391232897360154,1.0
high_std,D_L,plasticity off (L then R),0.0,120000,0.37353527669210707,0.37742271155138546,0.4866666666666667,0.0010841217503497812,0.571448818933048,0.4950954547379169,2.2150270623113464,299.5210905075073,0.22644346760761377,0.9966671430298739,2.0,0.3391232897360154,16,0.3391232897360154,1.0
high_std,D_R,plasticity off (R then L),0.0,120000,0.37319210758951743,0.3685659604629203,0.5033333333333333,0.0010841217503497812,0.571448818933048,0.4950954547379169,2.261633857074289,328.5838191509247,0.22644346760761377,0.9966671430298739,2.0,0.3391232897360154,16,0.3391232897360154,1.0
