arm,seed_env,epsilon,fast_weight_l1,slow_weight_l1,slow_weight_max_abs,capture_count,tag_mass_final,n_tagged_connections,saturation_frac,max_abs_weight,nan_hit,event_count,L_count,R_count,simultaneous_count,trace_hash,wall_time_s,n_expected,n_replayed,hash_mismatches,replay_exact,perturb_l1,perturb_l2,perturb_max_abs
closed_loop,42,0.005,1848.58920186,0.00039344,4.611e-05,10,0.00069106,42,0.0,0.8293613,False,12,6,6,0,7703cc1bad4f5ff5,51.8,,,,,,,
exact_replay,42,0.005,1848.58920186,0.00039344,4.611e-05,10,0.00069106,42,0.0,0.8293613,False,,,,,7703cc1bad4f5ff5,51.2,12,12,0,True,,,
perturbed_replay,42,0.005,1848.58601816,0.00039344,4.611e-05,10,0.00069106,42,0.0,0.82922521,False,,,,,7703cc1bad4f5ff5,51.3,12,12,0,True,0.3836974077,0.0353153069,0.0049930987
closed_loop,42,0.01,1848.58920186,0.00039344,4.611e-05,10,0.00069106,42,0.0,0.8293613,False,12,6,6,0,7703cc1bad4f5ff5,51.0,,,,,,,
exact_replay,42,0.01,1848.58920186,0.00039344,4.611e-05,10,0.00069106,42,0.0,0.8293613,False,,,,,7703cc1bad4f5ff5,51.2,12,12,0,True,,,
perturbed_replay,42,0.01,1848.5836822,0.00039344,4.611e-05,10,0.00069106,42,0.0,0.82932334,False,,,,,7703cc1bad4f5ff5,51.4,12,12,0,True,0.7673948154,0.0706306138,0.0099861974
closed_loop,42,0.02,1848.58920186,0.00039344,4.611e-05,10,0.00069106,42,0.0,0.8293613,False,12,6,6,0,7703cc1bad4f5ff5,50.8,,,,,,,
exact_replay,42,0.02,1848.58920186,0.00039344,4.611e-05,10,0.00069106,42,0.0,0.8293613,False,,,,,7703cc1bad4f5ff5,51.3,12,12,0,True,,,
perturbed_replay,42,0.02,1848.58821915,0.00039344,4.611e-05,10,0.00069106,42,0.0,0.82920898,False,,,,,7703cc1bad4f5ff5,51.1,12,12,0,True,1.5347896307,0.1412612275,0.0199723949
closed_loop,42,0.05,1848.58920186,0.00039344,4.611e-05,10,0.00069106,42,0.0,0.8293613,False,12,6,6,0,7703cc1bad4f5ff5,51.2,,,,,,,
exact_replay,42,0.05,1848.58920186,0.00039344,4.611e-05,10,0.00069106,42,0.0,0.8293613,False,,,,,7703cc1bad4f5ff5,51.2,12,12,0,True,,,
perturbed_replay,42,0.05,1848.58332583,0.00039344,4.611e-05,10,0.00069106,42,0.0,0.82937577,False,,,,,7703cc1bad4f5ff5,51.1,12,12,0,True,3.8369740768,0.3531530688,0.0499309872
