anomaly_variant,seed,condition,group,label,plasticity_rate,final_step,mean_activation,mean_energy,hard_active_ratio,weight_mean,weight_std,weight_abs_mean,activation_entropy,post_anomaly_mean_activation,elapsed_sec
repeated_micro_overlap,42,normal,A_L,L then R,0.0001,120000,0.31003753809611434,0.35557737951584545,0.4666666666666667,0.0008494509230790599,0.34537848617785294,0.30000000000000104,2.346510488858129,0.3006847829137383,559.9269554615021
repeated_micro_overlap,42,normal,A_R,R then L,0.0001,120000,0.29860714231928764,0.3313728805075431,0.4533333333333333,0.000856537952517578,0.3453735694209986,0.3000000000000003,2.3658890262185364,0.3164406414999362,568.2490618228912
repeated_micro_overlap,42,normal,C,repeat A_L,0.0001,120000,0.31003753809611434,0.35557737951584545,0.4666666666666667,0.0008494509230790599,0.34537848617785294,0.30000000000000104,2.346510488858129,0.3006847829137383,568.2935256958008
repeated_micro_overlap,42,normal,D_L,plasticity off (L then R),0.0,120000,0.37329798110711,0.3769530188278547,0.5066666666666667,0.00040026882538335466,0.5729731432465665,0.4969560404248361,2.166226911075046,0.3757584550619935,390.4958744049072
repeated_micro_overlap,42,normal,D_R,plasticity off (R then L),0.0,120000,0.368407983997408,0.3442817522647409,0.4866666666666667,0.00040026882538335466,0.5729731432465665,0.4969560404248361,2.354089232438387,0.38132524622951264,393.1841924190521
repeated_micro_overlap,42,anomaly,A_L,L then R,0.0001,120000,0.3028188805351016,0.3385937610420437,0.45666666666666667,0.000853566555219028,0.3453761136330014,0.3000000000000009,2.389084536250865,0.31685117933007906,568.4823610782623
repeated_micro_overlap,42,anomaly,A_R,R then L,0.0001,120000,0.31012248876433435,0.33356182343174773,0.47333333333333333,0.0008565226220980722,0.34537465798652056,0.30000000000000054,2.417851050749478,0.3110533431570312,567.7071797847748
repeated_micro_overlap,42,anomaly,C,repeat A_L,0.0001,120000,0.3028188805351016,0.3385937610420437,0.45666666666666667,0.000853566555219028,0.3453761136330014,0.3000000000000009,2.389084536250865,0.31685117933007906,566.9090394973755
repeated_micro_overlap,42,anomaly,D_L,plasticity off (L then R),0.0,120000,0.37122002837879553,0.38735559217036175,0.49333333333333335,0.00040026882538335466,0.5729731432465665,0.4969560404248361,2.178426398902014,0.3714368602203237,392.49748945236206
repeated_micro_overlap,42,anomaly,D_R,plasticity off (R then L),0.0,120000,0.3704193385162668,0.3575341737450654,0.5,0.00040026882538335466,0.5729731432465665,0.4969560404248361,2.2640991881546317,0.3621586932029499,390.9827492237091
repeated_micro_overlap,77,normal,A_L,L then R,0.0001,120000,0.32004751569466655,0.3328856006816648,0.48333333333333334,0.004689161377862304,0.345770379609568,0.2999999999999996,2.4058179365048815,0.29957348163212977,571.5068535804749
repeated_micro_overlap,77,normal,A_R,R then L,0.0001,120000,0.2971761820451255,0.36393225746934627,0.43666666666666665,0.004687669162296403,0.34577000712455164,0.3000000000000008,2.3071567059699842,0.2869855840691385,580.5860543251038
