seed,arm,step,mean_activation,mean_energy,weight_abs_mean,left_activation_mean,right_activation_mean,lr_imbalance,event_count_L,event_count_R,event_L_fraction,final_weight_l1
999,open_loop,12000,0.30541794819612017,0.39937361634151697,0.3711186340540585,0.3116016979133405,0.2982554755020736,0.013346222411266928,299,300,0.4991652754590985,0.2007115812182596
999,open_loop,24000,0.2839819050019788,0.3655435357702674,0.3000000000000002,0.2868148228661854,0.2807006116484732,0.006114211217712218,299,300,0.4991652754590985,0.2007115812182596
999,open_loop,36000,0.27563083781658,0.3646472841417823,0.30000000000000043,0.28618187855947075,0.263409848179131,0.02277203038033976,299,300,0.4991652754590985,0.2007115812182596
999,open_loop,48000,0.2698048835667773,0.35879372571532137,0.30000000000000016,0.2744583957446179,0.26441484428165263,0.010043551462965261,299,300,0.4991652754590985,0.2007115812182596
999,open_loop,60000,0.27274074906710877,0.3722452354414298,0.300000000000001,0.28722510721525896,0.2559639025789636,0.03126120463629534,299,300,0.4991652754590985,0.2007115812182596
999,open_loop,72000,0.2562652555488318,0.378774663534523,0.29999999999999966,0.27725582799025356,0.23195243423178932,0.04530339375846423,299,300,0.4991652754590985,0.2007115812182596
999,open_loop,84000,0.27497584525824764,0.3792824927700039,0.299999999999999,0.28250069541627393,0.2662600116219726,0.016240683794301325,299,300,0.4991652754590985,0.2007115812182596
999,open_loop,96000,0.28021289652717696,0.35222883567261626,0.30000000000000043,0.2857734960903049,0.27377220206916547,0.01200129402113942,299,300,0.4991652754590985,0.2007115812182596
999,open_loop,108000,0.26486088476124764,0.3624895286063187,0.29999999999999966,0.26908931434517885,0.2599632073295,0.009126107015678842,299,300,0.4991652754590985,0.2007115812182596
999,open_loop,120000,0.268094443125109,0.37688736875889617,0.2999999999999998,0.2683680995281143,0.2677774741978871,0.0005906253302271902,299,300,0.4991652754590985,0.2007115812182596
999,closed_loop,12000,0.3024130905545768,0.3941992913527784,0.37112001391077004,0.30602987928176983,0.29822386044610155,0.0078060188356682825,297,302,0.4958263772954925,0.20071147953751156
999,closed_loop,24000,0.261595927403559,0.4085366506708777,0.2999999999999998,0.28164389305744353,0.23837490243754894,0.04326899061989459,297,302,0.4958263772954925,0.20071147953751156
999,closed_loop,36000,0.26626279325215485,0.3838782289457782,0.29999999999999877,0.28454411237040783,0.24508802794252374,0.03945608442788409,297,302,0.4958263772954925,0.20071147953751156
999,closed_loop,48000,0.27186585323657764,0.37495018206516995,0.2999999999999999,0.26566211754460434,0.2790514751531797,-0.013389357608575347,297,302,0.4958263772954925,0.20071147953751156
999,closed_loop,60000,0.25928900060479243,0.37943931090576916,0.3,0.2709702109508261,0.24575896559967428,0.025211245351151795,297,302,0.4958263772954925,0.20071147953751156
999,closed_loop,72000,0.2557527656157077,0.3705523421237762,0.300000000000001,0.2641903249897156,0.24597976518969852,0.018210559800017095,297,302,0.4958263772954925,0.20071147953751156
999,closed_loop,84000,0.2682333813428103,0.3695058162863468,0.30000000000000093,0.2742327503866721,0.26128447187474013,0.012948278511931977,297,302,0.4958263772954925,0.20071147953751156
999,closed_loop,96000,0.28122727362737093,0.3475546604815388,0.299999999999999,0.2965461830611868,0.2634837885997138,0.03306239446147302,297,302,0.4958263772954925,0.20071147953751156
999,closed_loop,108000,0.25375030182994773,0.3642740056382387,0.2999999999999997,0.27546441492775176,0.22859942263033303,0.04686499229741872,297,302,0.4958263772954925,0.20071147953751156
999,closed_loop,120000,0.25785318873689766,0.41693283186139646,0.3000000000000008,0.2822244574054284,0.22962459696975054,0.05259986043567785,297,302,0.4958263772954925,0.20071147953751156
999,matched_shuffle,12000,0.30972221184443544,0.3752945727221726,0.37111999933060746,0.3139703845593302,0.30480166646962925,0.009168718089700933,297,302,0.4958263772954925,0.2007118811498899
999,matched_shuffle,24000,0.27812093628661994,0.352828380864389,0.300000000000001,0.2764468850744022,0.28005994524465627,-0.00361306017025409,297,302,0.4958263772954925,0.2007118811498899
999,matched_shuffle,36000,0.24509172254893666,0.3601068497844732,0.30000000000000004,0.25846830560776546,0.22959798245921414,0.028870323148551313,297,302,0.4958263772954925,0.2007118811498899
999,matched_shuffle,48000,0.27339119993707034,0.3644752487950725,0.29999999999999966,0.2828584285009601,0.2624255610968816,0.020432867404078514,297,302,0.4958263772954925,0.2007118811498899
999,matched_shuffle,60000,0.2760032847336848,0.3803938010349537,0.3,0.2814483139774503,0.2696964523002585,0.011751861677191777,297,302,0.4958263772954925,0.2007118811498899
999,matched_shuffle,72000,0.26479347795991254,0.382128879826517,0.30000000000000027,0.27062181782136074,0.2580426670412568,0.012579150780103965,297,302,0.4958263772954925,0.2007118811498899
999,matched_shuffle,84000,0.2613815039647397,0.37791795409078466,0.30000000000000043,0.27137883100492294,0.24980186616999508,0.021576964834927853,297,302,0.4958263772954925,0.2007118811498899
999,matched_shuffle,96000,0.2802700369920818,0.3736445931189419,0.30000000000000093,0.29454117910801364,0.2637401529585205,0.03080102614949315,297,302,0.4958263772954925,0.2007118811498899
999,matched_shuffle,108000,0.25683406491834226,0.38907404596623607,0.2999999999999996,0.2692101296070676,0.24249919862420716,0.026710930982860426,297,302,0.4958263772954925,0.2007118811498899
999,matched_shuffle,120000,0.26603487390030256,0.3926170971472876,0.2999999999999997,0.2740058949949571,0.2568022523446235,0.017203642650333584,297,302,0.4958263772954925,0.2007118811498899
