seed,arm,event_type,subgraph,n_connections,n_tagged,tag_rate,h_tag_ratio,phi_tag_ratio,surprise_tag_ratio,novelty_tag_ratio,mean_h_tagged,mean_h_untagged,mean_phi_tagged,mean_phi_untagged,auc_novelty,auc_phi,auc_surprise,auc_pos,auc_neg,auc_inverted_h,auc_baseline_weight,auc_abs_dW,best_predictor,matched_phi_novelty_auc,matched_h_phi_auc,dW_l1_tagged,dW_l1_untagged,corr_abs_dW_tag_strength,subgraph_verdict
42,divergent_warmup_replay,ALL,LM,1824,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
42,divergent_warmup_replay,ALL,LR,11352,78,0.006871,1.163131,1.039997,0.892514,0.968824,0.131428,0.112995,0.390124,0.375121,0.474426,0.521688,0.490772,0.343054,0.514424,0.425446,0.473627,1.0,abs_dW,0.573743,0.419286,0.000283,0.0,1.0,raw_9C_geometry_root
42,divergent_warmup_replay,ALL,ML,2100,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
42,divergent_warmup_replay,ALL,MM,228,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
42,divergent_warmup_replay,ALL,MR,2064,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
42,divergent_warmup_replay,ALL,RL,11256,35,0.003109,0.525216,0.502296,0.689526,1.329833,0.058287,0.110977,0.184996,0.368301,0.755212,0.262342,0.388567,0.611756,0.426916,0.70419,0.552225,1.0,abs_dW,0.660916,0.402744,0.000338,0.0,1.0,raw_9C_geometry_root
42,divergent_warmup_replay,ALL,RM,1656,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
42,divergent_warmup_replay,ALL,RR,11532,80,0.006937,0.911993,0.749706,0.483816,1.167341,0.092136,0.101027,0.24803,0.330837,0.649046,0.396011,0.280354,0.308944,0.363315,0.585684,0.492837,1.0,abs_dW,0.625715,0.517456,0.000317,0.0,1.0,raw_9C_geometry_root
42,divergent_warmup_replay,L,ALL,26910,65,0.002415,0.975591,0.873126,0.70972,1.084845,0.095254,0.097637,0.313504,0.359059,0.587652,0.425541,0.409857,0.420967,0.470706,0.526083,0.51678,1.0,abs_dW,0.48886,0.531881,0.0005,0.0,1.0,raw_9C_geometry_root
42,divergent_warmup_replay,L,LL,5904,30,0.005081,1.394887,1.263351,0.804113,0.815652,0.138383,0.099207,0.46343,0.366826,0.408489,0.590086,0.460504,0.37052,0.542861,0.37607,0.484111,1.0,abs_dW,0.435972,0.563734,0.000162,0.0,1.0,raw_9C_geometry_root
42,divergent_warmup_replay,L,LM,912,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
42,divergent_warmup_replay,L,LR,5676,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
42,divergent_warmup_replay,L,ML,1050,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
42,divergent_warmup_replay,L,MM,114,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
42,divergent_warmup_replay,L,MR,1032,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
42,divergent_warmup_replay,L,RL,5628,35,0.006219,0.587016,0.505403,0.642413,1.338701,0.058287,0.099293,0.184996,0.366036,0.762162,0.266604,0.365145,0.436576,0.40893,0.670047,0.546469,1.0,abs_dW,0.682368,0.462126,0.000338,0.0,1.0,raw_9C_geometry_root
42,divergent_warmup_replay,L,RM,828,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
42,divergent_warmup_replay,L,RR,5766,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
42,divergent_warmup_replay,R,ALL,26910,158,0.005871,0.923424,0.872169,0.745034,1.08122,0.111533,0.120782,0.318178,0.364812,0.558716,0.449375,0.408843,0.447447,0.459814,0.544647,0.488904,1.0,abs_dW,0.554995,0.506472,0.0006,0.0,1.0,raw_9C_geometry_root
42,divergent_warmup_replay,R,LL,5904,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
42,divergent_warmup_replay,R,LM,912,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
42,divergent_warmup_replay,R,LR,5676,78,0.013742,1.050958,1.029547,0.958711,0.963062,0.131428,0.125056,0.390124,0.378928,0.470083,0.517433,0.515108,0.457622,0.53919,0.469779,0.478715,1.0,abs_dW,0.527112,0.413562,0.000283,0.0,1.0,raw_9C_geometry_root
42,divergent_warmup_replay,R,ML,1050,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
42,divergent_warmup_replay,R,MM,114,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
42,divergent_warmup_replay,R,MR,1032,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
42,divergent_warmup_replay,R,RL,5628,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
42,divergent_warmup_replay,R,RM,828,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
