seed,arm,capture_index,capture_step,capture_signal,mean_energy,trace_mass_at_capture,tag_mass,n_tagged_connections,slow_weight_delta_l1,tag_trace_alignment,tag_weighted_energy,tag_concentration,tag_effective_support,trace_concentration,trace_effective_support
42,closed_loop,0,2501,1.0,0.3662116890227968,0.05396849917809675,0.0,0,0.0,0.0,0.0,0.0,0.0,0.1172705333299317,8.52729131184708
42,closed_loop,1,3002,1.0,0.34858056559966005,0.1072933142912679,9.508490088178322e-05,13,9.508490088178322e-06,0.3876685246391664,0.40497005749249493,0.20498558943014497,4.878391709290278,0.055485531489880356,18.02271642982069
42,closed_loop,2,3503,1.0,0.3766649019063614,0.16081904259510887,0.0002810250744531775,26,2.8102507445317756e-05,0.8818758816667205,0.49141076001537987,0.07286296054045627,13.724394295573019,0.06790397401250245,14.726678586085116
42,closed_loop,3,4004,1.0,0.34801480014445435,0.13934899331617775,0.00034927802598361875,26,3.4927802598361875e-05,0.8976901743210788,0.45252701602209405,0.07813423759528781,12.798486691323507,0.07926914615972887,12.615248787781574
42,closed_loop,4,4505,1.0,0.3788809568574018,0.08443495965514292,0.0003159766255626499,26,3.159766255626499e-05,0.8976901743210789,0.48013322405258685,0.07813423759528779,12.798486691323513,0.07926914615972888,12.61524878778157
42,closed_loop,5,5006,1.0,0.33927243733440293,0.22085220658188615,0.00048073923360834517,42,4.807392336083452e-05,0.5505876042432343,0.5073633181336018,0.055986309072899615,17.861509654046007,0.06517476619411505,15.343361524637045
42,closed_loop,6,5507,1.0,0.40452364431082233,0.13381974787704437,0.0004349038574166232,42,4.349038574166232e-05,0.5505876042432337,0.5113654512445959,0.0559863090728996,17.86150965404601,0.06517476619411504,15.343361524637047
42,closed_loop,7,6008,1.0,0.3936281451508055,0.25043661349808277,0.0005882495832184401,42,5.882495832184402e-05,0.7732951723593369,0.567293126032829,0.05749482735435235,17.392868993880022,0.08190133247608114,12.209813561849495
42,closed_loop,8,6509,1.0,0.35607340866821713,0.19344146798918785,0.0006271156657985013,42,6.271156657985015e-05,0.8807404867947787,0.5767344959393789,0.05332583943565092,18.75263494364144,0.05823764573686509,17.171023782765804
42,closed_loop,9,7010,1.0,0.34627602080588477,0.25388051233082853,0.0007620573302060907,42,7.620573302060906e-05,0.8807248469901066,0.5847858353239737,0.053503510977236615,18.690362216144205,0.05666443958315137,17.64775240620822
42,exact_replay,0,2501,1.0,0.37801505731113205,0.05396849917809675,0.0,0,0.0,0.0,0.0,0.0,0.0,0.1172705333299317,8.52729131184708
42,exact_replay,1,3002,1.0,0.37580638873470334,0.1072933142912679,9.508490088175683e-05,13,9.508490088175682e-06,0.3876685246391664,0.4056366234584879,0.2049855894302737,4.878391709287214,0.055485531489880356,18.02271642982069
42,exact_replay,2,3503,1.0,0.38695704212929066,0.16081904259510887,0.00028102507445310087,26,2.8102507445310092e-05,0.8818758816666776,0.4944638120302758,0.07286296054048774,13.724394295567091,0.06790397401250245,14.726678586085116
42,exact_replay,3,4004,1.0,0.355606916317874,0.13934899331617775,0.0003492780259836022,26,3.492780259836022e-05,0.897690174321082,0.4849425971657152,0.07813423759529699,12.798486691322006,0.07926914615972887,12.615248787781574
42,exact_replay,4,4505,1.0,0.3421626190023785,0.08443495965514292,0.0003159766255626348,26,3.159766255626349e-05,0.8976901743210824,0.42797565701733636,0.07813423759529702,12.798486691322001,0.07926914615972888,12.61524878778157
42,exact_replay,5,5006,1.0,0.36519843233168775,0.22085220658188615,0.00048073923360833156,42,4.807392336083316e-05,0.5505876042432312,0.49755417686748266,0.05598630907290386,17.861509654044653,0.06517476619411505,15.343361524637045
42,exact_replay,6,5507,1.0,0.3993208146843644,0.13381974787704437,0.00043490385741661085,42,4.3490385741661085e-05,0.5505876042432308,0.5127079255991304,0.055986309072903855,17.861509654044653,0.06517476619411504,15.343361524637047
42,exact_replay,7,6008,1.0,0.39250085391379846,0.25043661349808277,0.000588249583218429,42,5.88249583218429e-05,0.7732951723593338,0.5629157527028539,0.05749482735435506,17.392868993879205,0.08190133247608114,12.209813561849495
42,exact_replay,8,6509,1.0,0.3688067136826575,0.19344146798918785,0.0006271156657984913,42,6.271156657984915e-05,0.8807404867947775,0.5784407338241598,0.05332583943565301,18.752634943640704,0.05823764573686509,17.171023782765804
42,exact_replay,9,7010,1.0,0.3402077192181776,0.25388051233082853,0.0007620573302060816,42,7.620573302060817e-05,0.8807248469901058,0.5844136283437402,0.05350351097723818,18.690362216143658,0.05666443958315137,17.64775240620822
42,divergent_warmup_replay,0,501,1.0,0.38910087354087075,0.05396849917809675,0.0,0,0.0,0.0,0.0,0.0,0.0,0.1172705333299317,8.52729131184708
42,divergent_warmup_replay,1,1002,1.0,0.37100224486445776,0.1072933142912679,9.508490088175683e-05,13,9.508490088175682e-06,0.3876685246391664,0.40493463878726105,0.2049855894302737,4.878391709287214,0.055485531489880356,18.02271642982069
42,divergent_warmup_replay,2,1503,1.0,0.39110918007640244,0.16081904259510887,0.00028102507445310087,26,2.8102507445310092e-05,0.8818758816666776,0.4955031313654972,0.07286296054048774,13.724394295567091,0.06790397401250245,14.726678586085116
42,divergent_warmup_replay,3,2004,1.0,0.3701291319676193,0.13934899331617775,0.0003492780259836022,26,3.492780259836022e-05,0.897690174321082,0.48373774262972213,0.07813423759529699,12.798486691322006,0.07926914615972887,12.615248787781574
42,divergent_warmup_replay,4,2505,1.0,0.4017279829512838,0.08443495965514292,0.0003159766255626348,26,3.159766255626349e-05,0.8976901743210824,0.4849014860126436,0.07813423759529702,12.798486691322001,0.07926914615972888,12.61524878778157
42,divergent_warmup_replay,5,3006,1.0,0.38060216810429764,0.22085220658188615,0.00048073923360833156,42,4.807392336083316e-05,0.5505876042432312,0.5060962321617978,0.05598630907290386,17.861509654044653,0.06517476619411505,15.343361524637045
42,divergent_warmup_replay,6,3507,1.0,0.40094775059912624,0.13381974787704437,0.00043490385741661085,42,4.3490385741661085e-05,0.5505876042432308,0.5104890891706544,0.055986309072903855,17.861509654044653,0.06517476619411504,15.343361524637047
42,divergent_warmup_replay,7,4008,1.0,0.3711158643380884,0.25043661349808277,0.000588249583218429,42,5.88249583218429e-05,0.7732951723593338,0.5710868676627365,0.05749482735435506,17.392868993879205,0.08190133247608114,12.209813561849495
