seed,unit_count,gap,tau_trace,rest_window,num_pairs,gate_mode,arm,target_event_update_l1,trace_gate_ref,gate_power,event_count_L,event_count_R,schedule_ok,mean_trace_mass,mean_gate_within,mean_gate_cross,within_pair_dW_L1,cross_pair_dW_L1,contamination_ratio,acc_dW_DI,acc_dW_LR,acc_dW_RL,acc_dW_OS,final_DI,final_OS,nan_count,saturation_frac,runtime_s
42,300,500,1000,5000,5,soft_trace_gate,L_then_R,0.0001,0.03,1.0,5,5,True,0.018776853871255574,1.0,0.02676672737270157,0.0004954081383892889,8.610012226295538e-06,0.017082742355006314,0.9658345133059318,0.0004954081383892889,8.610012226295538e-06,1.9484521277759965,0.009474234419421792,-2.091858128638359e-05,0,0.0,214.49933528900146
42,300,500,1000,5000,5,soft_trace_gate,R_then_L,0.0001,0.03,1.0,5,5,True,0.03283817007083815,1.0,0.023334990154277917,0.0004990045317384562,4.3749677728771585e-06,0.00869119177168133,-0.9826176144700646,4.3749677728771585e-06,0.0004990045317384562,1.9484521277759965,0.009495153000708176,-2.091858128638359e-05,0,0.0,246.14745020866394
