seed,condition,group,label,plasticity_rate,final_step,mean_activation,mean_energy,hard_active_ratio,weight_mean,weight_std,weight_abs_mean,activation_entropy,post_anomaly_mean_activation,elapsed_sec
42,normal,A_L,L then R,0.0001,120000,0.3058509897497449,0.3533479682438662,0.44333333333333336,0.0008510039057512091,0.345374547819212,0.3000000000000007,2.3583212744322353,0.3079370389010855,385.5986170768738
42,normal,A_R,R then L,0.0001,120000,0.31498985650316086,0.34966402914551103,0.4666666666666667,0.0008493504105821761,0.3453810064823188,0.3000000000000008,2.3870836042111665,0.31092736035312096,436.8848648071289
42,normal,C,repeat A_L,0.0001,120000,0.3058509897497449,0.3533479682438662,0.44333333333333336,0.0008510039057512091,0.345374547819212,0.3000000000000007,2.3583212744322353,0.3079370389010855,368.56893825531006
42,normal,D_L,plasticity off (L then R),0.0,120000,0.375682444321743,0.3760323374998449,0.5066666666666667,0.00040026882538335466,0.5729731432465665,0.4969560404248361,2.1676930234271654,0.3794778640711935,261.03465366363525
42,normal,D_R,plasticity off (R then L),0.0,120000,0.37294750837591767,0.3901202025532386,0.5,0.00040026882538335466,0.5729731432465665,0.4969560404248361,2.2440491602599515,0.3643513768346821,260.0129237174988
42,anomaly,A_L,L then R,0.0001,120000,0.2962917852799622,0.3405605804487032,0.44,0.0008516717151929569,0.34537712520981567,0.2999999999999996,2.3654642543644218,0.3106354813828506,372.9027681350708
42,anomaly,A_R,R then L,0.0001,120000,0.2899062116178493,0.36214056531623895,0.43333333333333335,0.0008518724936495543,0.3453788907891936,0.2999999999999992,2.3179864139117283,0.30582856606248415,505.35393714904785
42,anomaly,C,repeat A_L,0.0001,120000,0.2962917852799622,0.3405605804487032,0.44,0.0008516717151929569,0.34537712520981567,0.2999999999999996,2.3654642543644218,0.3106354813828506,383.56135749816895
42,anomaly,D_L,plasticity off (L then R),0.0,120000,0.3798180808023916,0.37726979020047785,0.51,0.00040026882538335466,0.5729731432465665,0.4969560404248361,2.1820679169035055,0.3743267349500745,267.69161462783813
42,anomaly,D_R,plasticity off (R then L),0.0,120000,0.3771334262162429,0.39412067117167937,0.5,0.00040026882538335466,0.5729731432465665,0.4969560404248361,2.216799581487273,0.37147096899171733,261.454971075058
77,normal,A_L,L then R,0.0001,120000,0.3148995969240852,0.34238659725021225,0.4666666666666667,0.004689908539394237,0.34576785251373354,0.2999999999999999,2.37985873644432,0.31440040480124815,377.221351146698
77,normal,A_R,R then L,0.0001,120000,0.30650645864342024,0.3328613939678247,0.45666666666666667,0.004689314319361304,0.34576948721021156,0.2999999999999998,2.4007530778424284,0.2989609138707521,374.6921486854553
77,normal,C,repeat A_L,0.0001,120000,0.3148995969240852,0.34238659725021225,0.4666666666666667,0.004689908539394237,0.34576785251373354,0.2999999999999999,2.37985873644432,0.31440040480124815,386.04066610336304
77,normal,D_L,plasticity off (L then R),0.0,120000,0.37100516719382076,0.34164544780994094,0.48333333333333334,0.00688887870911202,0.580340173609918,0.5028209910834263,2.3894725239299675,0.3757780895755104,255.50622606277466
77,normal,D_R,plasticity off (R then L),0.0,120000,0.3630512182650423,0.3493797120772372,0.47333333333333333,0.00688887870911202,0.580340173609918,0.5028209910834263,2.300157008677632,0.3749423291146792,245.68593573570251
77,anomaly,A_L,L then R,0.0001,120000,0.31087220464138016,0.3457291801209411,0.46,0.0046868754675318475,0.34577155695676093,0.2999999999999999,2.3742918550325327,0.302341968022205,388.1301453113556
77,anomaly,A_R,R then L,0.0001,120000,0.30026865627252214,0.3772005491437427,0.44,0.004687186492078661,0.3457697376658591,0.2999999999999986,2.3845924954919586,0.2982844391175462,372.73583698272705
77,anomaly,C,repeat A_L,0.0001,120000,0.31087220464138016,0.3457291801209411,0.46,0.0046868754675318475,0.34577155695676093,0.2999999999999999,2.3742918550325327,0.302341968022205,373.03585600852966
77,anomaly,D_L,plasticity off (L then R),0.0,120000,0.38258499612732566,0.36160597454083193,0.52,0.00688887870911202,0.580340173609918,0.5028209910834263,2.3367004676429195,0.3657591788428722,267.07607102394104
77,anomaly,D_R,plasticity off (R then L),0.0,120000,0.351092998676675,0.37246114769182687,0.46,0.00688887870911202,0.580340173609918,0.5028209910834263,2.2736797138419225,0.3868620875073457,268.08444476127625
123,normal,A_L,L then R,0.0001,120000,0.31734334890104643,0.34009217920254464,0.4533333333333333,0.001338201473483435,0.34570143787926405,0.30000000000000027,2.2829803584479453,0.30192979471997317,385.3258731365204
123,normal,A_R,R then L,0.0001,120000,0.3200020208715859,0.35027137019843074,0.45666666666666667,0.0013384808178196273,0.345700047296118,0.3000000000000009,2.359215608606013,0.32086242427205075,383.767507314682
123,normal,C,repeat A_L,0.0001,120000,0.31734334890104643,0.34009217920254464,0.4533333333333333,0.001338201473483435,0.34570143787926405,0.30000000000000027,2.2829803584479453,0.30192979471997317,381.04341673851013
123,normal,D_L,plasticity off (L then R),0.0,120000,0.37725592982154244,0.3923436959698829,0.5,0.0010841217503497812,0.571448818933048,0.4950954547379169,2.1186652089001083,0.3966199187501217,266.66562700271606
123,normal,D_R,plasticity off (R then L),0.0,120000,0.3723063111637187,0.39019027941563605,0.49,0.0010841217503497812,0.571448818933048,0.4950954547379169,2.1367839521631087,0.37877803259688086,269.0605571269989
123,anomaly,A_L,L then R,0.0001,120000,0.3143553663291445,0.37644096723016723,0.4533333333333333,0.0013415727354954218,0.3456976934198346,0.3000000000000002,2.305097511596766,0.3012565344082735,343.4886853694916
123,anomaly,A_R,R then L,0.0001,120000,0.3124842585179006,0.3591475641997274,0.45,0.0013407700355534597,0.3456989000038929,0.30000000000000043,2.25016631950749,0.31554798895203684,342.0747375488281
123,anomaly,C,repeat A_L,0.0001,120000,0.3143553663291445,0.37644096723016723,0.4533333333333333,0.0013415727354954218,0.3456976934198346,0.3000000000000002,2.305097511596766,0.3012565344082735,340.022230386734
123,anomaly,D_L,plasticity off (L then R),0.0,120000,0.37661089444423135,0.39870370486269285,0.5033333333333333,0.0010841217503497812,0.571448818933048,0.4950954547379169,2.0858654494621085,0.3782348864900409,249.85823559761047
123,anomaly,D_R,plasticity off (R then L),0.0,120000,0.3747235845191285,0.3852881652024698,0.49,0.0010841217503497812,0.571448818933048,0.4950954547379169,2.1166011576064845,0.38743268529552444,237.4043846130371
999,normal,A_L,L then R,0.0001,120000,0.2796328052603292,0.3722310714360189,0.4166666666666667,-0.0011056885848352335,0.34615398783037304,0.3000000000000001,2.293319534733285,0.27327854121189604,339.0276095867157
999,normal,A_R,R then L,0.0001,120000,0.26696669007548013,0.3832076508969607,0.3933333333333333,-0.0011038740201393883,0.3461507372379376,0.3000000000000012,2.235495910874242,0.2812226631689428,339.2293589115143
999,normal,C,repeat A_L,0.0001,120000,0.2796328052603292,0.3722310714360189,0.4166666666666667,-0.0011056885848352335,0.34615398783037304,0.3000000000000001,2.293319534733285,0.27327854121189604,335.9225423336029
999,normal,D_L,plasticity off (L then R),0.0,120000,0.3402186822302758,0.38612918548432373,0.47,-0.0026881064714482246,0.5783605374218757,0.5006838195867686,2.2387703104580132,0.3429060540538217,237.6966428756714
999,normal,D_R,plasticity off (R then L),0.0,120000,0.3383337819301003,0.41129127431525947,0.4633333333333333,-0.0026881064714482246,0.5783605374218757,0.5006838195867686,2.075371545085608,0.3304468609508396,239.74630188941956
999,anomaly,A_L,L then R,0.0001,120000,0.2815011127872814,0.3737357177819926,0.4266666666666667,-0.0011018077852560986,0.34615486920963484,0.3000000000000001,2.2703044351590393,0.25324143957489964,335.4795231819153
999,anomaly,A_R,R then L,0.0001,120000,0.26292666827797034,0.39096951284456416,0.39666666666666667,-0.001104875767844572,0.34615069852785724,0.3000000000000008,2.183782907556635,0.29324379275598744,336.181697845459
999,anomaly,C,repeat A_L,0.0001,120000,0.2815011127872814,0.3737357177819926,0.4266666666666667,-0.0011018077852560986,0.34615486920963484,0.3000000000000001,2.2703044351590393,0.25324143957489964,335.52381777763367
999,anomaly,D_L,plasticity off (L then R),0.0,120000,0.30657971601788025,0.41765297857255507,0.4066666666666667,-0.0026881064714482246,0.5783605374218757,0.5006838195867686,2.095784662448813,0.3187082263074293,241.0220022201538
999,anomaly,D_R,plasticity off (R then L),0.0,120000,0.3158673352390274,0.40884438453045024,0.43666666666666665,-0.0026881064714482246,0.5783605374218757,0.5006838195867686,2.1906893247614194,0.3015344243255559,239.64082956314087
