capture_signal,mean_energy,trace_mass_at_capture,tag_mass,slow_weight_delta_l1,refractory_remaining,n_tagged_connections,arm
1.0,0.39336259274648605,0.05396849917809675,0.0,0.0,500,0,repeated_x3
1.0,0.3766427959062659,0.12847947509273472,9.99600079987976e-05,9.99600079987976e-06,500,13,repeated_x3
1.0,0.38647715518818077,0.07784885299712876,9.042946784220799e-05,9.0429467842208e-06,500,13,repeated_x3
1.0,0.3857603554482944,0.1009773583471778,0.00018172763503142278,1.817276350314228e-05,500,26,repeated_x3
1.0,0.3687279680327483,0.1566763860385385,0.0002643011305467003,2.6430113054670032e-05,500,42,repeated_x3
1.0,0.38819357365562257,0.09493405025224376,0.0002391017274200254,2.391017274200254e-05,500,42,repeated_x3
1.0,0.34199997851836933,0.11116851817322784,0.0003161650223298093,3.161650223298093e-05,500,42,repeated_x3
1.0,0.3920753733855405,0.162565412840655,0.0003858608605425136,3.8586086054251364e-05,500,42,repeated_x3
1.0,0.3751438222004529,0.09850235547362805,0.0003490715234878302,3.490715234878302e-05,500,42,repeated_x3
1.0,0.388395004276598,0.059684983812414535,0.0003157898117440426,3.157898117440426e-05,500,42,repeated_x3
1.0,0.35382121770329356,0.036164589928429844,0.0002856812959273504,2.856812959273504e-05,500,42,repeated_x3
1.0,0.39336259274648605,0.05396849917809675,0.0,0.0,500,0,single
1.0,0.3766427959062659,0.12847947509273472,9.99600079987976e-05,9.99600079987976e-06,500,13,single
1.0,0.38647715518818077,0.07784885299712876,9.042946784220799e-05,9.0429467842208e-06,500,13,single
1.0,0.38576476922830105,0.047170522051045244,8.180760303984061e-05,8.18076030398406e-06,500,13,single
0.9527257263722784,0.3679422581559401,0.02858177179116835,7.400777727457131e-05,7.400777727457131e-06,500,13,single
0.5772797948108389,0.3628844918439488,0.017318393844325167,6.695161444169391e-05,6.695161444169392e-06,500,13,single
