seed,unit_count,gap,tau_trace,rest_window,gate_mode,arm,target_event_update_l1,trace_gate_ref,gate_power,event_count_L,event_count_R,schedule_ok,mean_trace_mass,mean_gate_within,mean_gate_cross,within_pair_dW_L1,cross_pair_dW_L1,contamination_ratio,acc_dW_DI,acc_dW_LR,acc_dW_RL,final_DI,acc_dW_OS
42,50,500,1000,500,soft_trace_gate,L_then_R,0.0001,0.03,1.0,2,2,True,0.006150881091813363,0.20226632120782237,0.2077924182464018,0.0,4.045326424151341e-05,0.9999999752801165,-0.9999999752801165,0.0,4.045326424151341e-05,-0.15683831857758793,1.4953768334713402e-08
42,50,500,1000,500,soft_trace_gate,R_then_L,0.0001,0.03,1.0,2,2,True,0.010185015158800614,0.16702671456089124,0.5119742960258165,0.00010239485920515712,0.0,0.0,-0.9999999902338849,0.0,0.00010239485920515712,-0.15681037653500798,1.4953768334713402e-08
