arm,config,seed,gap,tau_trace,target_event_update_l1,rest_window,homeostasis,event_index,pair_index,pulse_step,pulse_region,is_within_pair_event,dt_since_last_pulse,trace_mass_before,trace_L_mass_before,trace_R_mass_before,current_L_mass,current_R_mass,raw_update_l1,normalized_update_l1,dW_L_to_R_l1,dW_R_to_L_l1,within_pair_directional,cross_pair_contamination,contamination_ratio,current_DI,accumulated_dW_DI,accumulated_dW_LR_total,accumulated_dW_RL_total
simultaneous,NO-HOMEOSTASIS,42,500,1000,0.0001,500,False,1,1,1280,LR,True,1080.0,0.050936913138027146,0.01834579747428665,0.0325911156637405,0.05402249467052143,0.09597039184142793,0.0004723300268413714,9.999999999999999e-05,2.5796872780405546e-05,1.854685990122412e-05,2.2171866340814834e-05,2.2171866340814834e-05,0.4999999887244497,0.005338494145972387,0.16349576991494733,2.5796872780405546e-05,1.854685990122412e-05
simultaneous,NO-HOMEOSTASIS,42,500,1000,0.0001,500,False,2,1,2360,LR,False,1080.0,0.06823486092986607,0.024575948210942618,0.04365891271892346,0.05402249467052143,0.09597039184142793,0.000632731190584455,0.0001,2.579687278040555e-05,1.8546859901224124e-05,2.2171866340814837e-05,2.2171866340814837e-05,0.4999999887244497,0.005289090696855494,0.16349577175845215,5.159374556081109e-05,3.709371980244824e-05
simultaneous,NO-HOMEOSTASIS,42,500,1000,0.0001,500,False,3,2,3440,LR,True,1080.0,0.07410916660281433,0.026691679525204504,0.04741748707760983,0.05402249467052143,0.09597039184142793,0.0006872027080998475,0.00010000000000000002,2.579687278040555e-05,1.8546859901224124e-05,2.2171866340814837e-05,2.2171866340814837e-05,0.4999999887244497,0.005270389092255047,0.1634957723729537,7.739061834121664e-05,5.564057970367237e-05
simultaneous,NO-HOMEOSTASIS,42,500,1000,0.0001,500,False,4,2,4520,LR,False,1080.0,0.07610405452561825,0.027410172412994732,0.048693882112623516,0.05402249467052143,0.09597039184142793,0.0007057009917231646,0.00010000000000000002,2.5796872780405553e-05,1.8546859901224128e-05,2.217186634081484e-05,2.217186634081484e-05,0.4999999887244497,0.005258300044464765,0.16349577268020446,0.00010318749112162218,7.41874396048965e-05
separated_control,NO-HOMEOSTASIS,42,500,1000,0.0001,500,False,1,1,740,R,True,540.0,0.03148151435812953,0.03148151435812953,0.0,0.0,0.09597039184142793,0.00020908921756787483,9.999999999999999e-05,0.0001,0.0,0.0001,0.0,0.0,0.005174326650449135,0.9999999900000002,0.0001,0.0
separated_control,NO-HOMEOSTASIS,42,500,1000,0.0001,500,False,2,1,1280,L,False,540.0,0.07427237559952576,0.01834579747428665,0.05592657812523912,0.05402249467052143,0.0,0.00018549783331949017,9.999999999999999e-05,0.0,8.103938297377675e-05,0.0,8.103938297377675e-05,0.9999999876603208,0.005198819007632252,0.10473200145759262,0.0001,8.103938297377675e-05
separated_control,NO-HOMEOSTASIS,42,500,1000,0.0001,500,False,3,2,1820,R,True,540.0,0.07476361143841773,0.04217249577467723,0.0325911156637405,0.0,0.09597039184142793,0.0005078047089106398,9.999999999999999e-05,5.515801161344007e-05,0.0,5.515801161344007e-05,0.0,0.0,0.005192474504864624,0.3137995169480805,0.00015515801161344008,8.103938297377675e-05
separated_control,NO-HOMEOSTASIS,42,500,1000,0.0001,500,False,4,2,2360,L,False,540.0,0.09949494203214507,0.024575948210942618,0.07491899382120246,0.05402249467052143,0.0,0.00024849206753161973,0.00010000000000000002,0.0,8.103938297377678e-05,0.0,8.103938297377678e-05,0.9999999876603208,0.005216272230643605,-0.021815737650301575,0.00015515801161344008,0.00016207876594755353
separated_control,NO-HOMEOSTASIS,42,500,1000,0.0001,500,False,5,3,2900,R,True,540.0,0.08946201794741349,0.045803105228490015,0.04365891271892346,0.0,0.09597039184142793,0.0006092471532114723,0.00010000000000000002,4.993182455342606e-05,0.0,4.993182455342606e-05,0.0,0.0,0.005215376363844954,0.11714256026926465,0.00020508983616686615,0.00016207876594755353
separated_control,NO-HOMEOSTASIS,42,500,1000,0.0001,500,False,6,3,3440,L,False,540.0,0.10806041273794482,0.026691679525204508,0.08136873321274032,0.05402249467052143,0.0,0.0002698846276114883,0.0001,0.0,8.103938297377676e-05,0.0,8.103938297377676e-05,0.9999999876603208,0.005221829062277255,-0.0848452368873702,0.00020508983616686615,0.0002431181489213303
separated_control,NO-HOMEOSTASIS,42,500,1000,0.0001,500,False,7,4,3980,R,True,540.0,0.09445353103197889,0.04703604395436906,0.04741748707760983,0.0,0.09597039184142793,0.0006436965534065209,0.00010000000000000002,4.8531713610739375e-05,0.0,4.8531713610739375e-05,0.0,0.0,0.005223040438857362,0.021144677710763077,0.00025362154977760554,0.0002431181489213303
separated_control,NO-HOMEOSTASIS,42,500,1000,0.0001,500,False,8,4,4520,L,False,540.0,0.11096920826467722,0.027410172412994732,0.08355903585168248,0.05402249467052143,0.0,0.0002771494452967022,0.0001,0.0,8.103938297377675e-05,0.0,8.103938297377675e-05,0.9999999876603208,0.005231769270627354,-0.12208123179401627,0.00025362154977760554,0.00032415753189510705
separated_control,NO-HOMEOSTASIS,42,500,1000,0.0001,500,False,9,5,5060,R,True,540.0,0.09614862654169545,0.04745474442907196,0.048693882112623516,0.0,0.09597039184142793,0.0006553954155739115,0.0001,4.80897214987526e-05,0.0,4.80897214987526e-05,0.0,0.0,0.0052328661119409965,-0.03586416269534897,0.0003017112712763581,0.00032415753189510705
