anomaly_variant,seed,condition,group,label,plasticity_rate,final_step,mean_activation,mean_energy,hard_active_ratio,weight_mean,weight_std,weight_abs_mean,activation_entropy,post_anomaly_mean_activation,elapsed_sec
repeated_micro_overlap,999,normal,A_L,L then R,0.0001,120000,0.2691457147874355,0.36983780801711397,0.4,-0.0011031210700535123,0.346154447594498,0.3000000000000004,2.2971747759121226,0.27022548316361567,571.4101040363312
repeated_micro_overlap,999,normal,A_R,R then L,0.0001,120000,0.27638182885612705,0.37660697067481247,0.41333333333333333,-0.0011006712575218265,0.34615130070673744,0.30000000000000043,2.2722707945044833,0.26073561684607055,579.0142230987549
repeated_micro_overlap,999,normal,C,repeat A_L,0.0001,120000,0.2691457147874355,0.36983780801711397,0.4,-0.0011031210700535123,0.346154447594498,0.3000000000000004,2.2971747759121226,0.27022548316361567,571.9145472049713
repeated_micro_overlap,999,normal,D_L,plasticity off (L then R),0.0,120000,0.2995457620114762,0.42746052762441666,0.41333333333333333,-0.0026881064714482246,0.5783605374218757,0.5006838195867686,2.0974906483488978,0.31329696056886586,391.46477937698364
repeated_micro_overlap,999,normal,D_R,plasticity off (R then L),0.0,120000,0.30045015694750693,0.44666667548837696,0.3933333333333333,-0.0026881064714482246,0.5783605374218757,0.5006838195867686,2.0745081639416654,0.3325707674472185,396.13186264038086
repeated_micro_overlap,999,anomaly,A_L,L then R,0.0001,120000,0.2728752148597954,0.35390908502275087,0.43,-0.001099993640570593,0.34615129407279854,0.2999999999999992,2.4216428559214225,0.2676095704325574,572.5692603588104
repeated_micro_overlap,999,anomaly,A_R,R then L,0.0001,120000,0.2633777051165832,0.3569903648065704,0.39,-0.0011012025702198133,0.34615101645983665,0.2999999999999997,2.2325499096434074,0.277221050862896,574.29621052742
repeated_micro_overlap,999,anomaly,C,repeat A_L,0.0001,120000,0.2728752148597954,0.35390908502275087,0.43,-0.001099993640570593,0.34615129407279854,0.2999999999999992,2.4216428559214225,0.2676095704325574,577.8084628582001
repeated_micro_overlap,999,anomaly,D_L,plasticity off (L then R),0.0,120000,0.33322462121613866,0.37262468471283383,0.44666666666666666,-0.0026881064714482246,0.5783605374218757,0.5006838195867686,2.1919247019867107,0.30330892964296613,391.77610993385315
repeated_micro_overlap,999,anomaly,D_R,plasticity off (R then L),0.0,120000,0.3193467842974826,0.3881323867664677,0.43666666666666665,-0.0026881064714482246,0.5783605374218757,0.5006838195867686,2.195247046963416,0.3604692218512485,369.5244722366333
