arm,seed,unit_count,n_pairs,total_steps,n_updates,n_captures,n_connections_LR,n_connections_RL,slow_l1_total,slow_LR_l1,slow_RL_l1,slow_DI,slow_max_abs,total_slow_delta_l1,capture_signal_mean,capture_signal_max,final_tag_mass,final_n_tagged,final_fast_l1,final_eff_l1,saturation_frac,nan_hit,slow_OS,wall_time_s
L_then_R_repeated,42,300,3,7500,5,11,946,938,0.00025280884828707,0.00012098667810319492,7.966116935967588e-05,0.20596038811333767,4.8451765640342224e-05,0.00025280884828707,1.0,1.0,0.0002591162595528171,42,1848.5911355140927,1848.5910617169006,0.0,False,0.7177064614784279,763.6005690097809
R_then_L_repeated,42,300,3,7500,5,11,946,938,0.0002528088482870568,4.6430720270708366e-05,0.00014376015375496974,-0.5117460733650903,3.951348382345525e-05,0.00025280884828705685,1.0,1.0,0.0002591162595528126,42,1848.593777000503,1848.593732644908,0.0,False,0.7177064614784279,763.6005690097809
L_then_R_single,42,300,3,7500,1,6,946,938,4.1315647059711144e-05,4.1315647059711144e-05,0.0,0.9999999757960955,1.6545755946046928e-05,4.131564705971114e-05,0.921667586863853,1.0,3.67953024417276e-05,13,1848.5860606010974,1848.5860412922113,0.0,False,0.7177064614784279,763.6005690097809
R_then_L_single,42,300,3,7500,1,6,946,938,4.13156470597513e-05,0.0,4.13156470597513e-05,-0.9999999757960955,1.1355894586299588e-05,4.13156470597513e-05,0.8889741560836132,1.0,3.679530244176341e-05,7,1848.5968692565953,1848.5968682028415,0.0,False,0.7177064614784279,763.6005690097809
simultaneous,42,300,3,7500,2,11,946,938,9.905996630146571e-05,2.5554373483043503e-05,1.837251316818057e-05,0.16349576987758208,1.6823530417895964e-05,9.905996630146572e-05,0.9865354276863229,1.0,0.00010560708168730878,42,1848.5908487534211,1848.5908195459547,0.0,False,0.7177064614784279,763.6005690097809
no_event,42,300,0,7500,0,0,946,938,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1848.6019884172413,1848.6019884172413,0.0,False,0.7177064614784279,763.6005690097809
