seed,temporal,arm,total_events,event_count_L,event_count_R,final_weight_l1,L_to_R_signed_mean,R_to_L_signed_mean,L_to_R_l1,R_to_L_l1
42,False,L_then_R,68,34,34,0.19520589024857712,-0.00340092594588958,-0.004789764843108895,0.1953809864661969,0.19333255360552234
42,False,R_then_L,68,34,34,0.19520655900547645,-0.003401105203233222,-0.0047887550330526635,0.19538065287147066,0.19333376996859897
42,False,simultaneous,68,34,34,0.19520860161198827,-0.003403332700185069,-0.004788381623016989,0.1953841288002103,0.19333435877796304
42,False,separated_control,67,34,33,0.19521000320431967,-0.003401416925093253,-0.0047907709861087005,0.19538317224521176,0.19333718364637897
77,False,L_then_R,68,34,34,0.19751971916802508,-0.00910604095756957,0.004378738868425328,0.19919928105992246,0.19589171039045133
77,False,R_then_L,68,34,34,0.19751773182201968,-0.009103115864528562,0.004377324689218687,0.1991937917670721,0.19588665127339483
77,False,simultaneous,68,34,34,0.1975222377934293,-0.009105888651427108,0.004376600590015138,0.1992022525920657,0.19589384694831968
77,False,separated_control,67,34,33,0.19751924790402522,-0.009105310622866921,0.004377415777610187,0.19919943443868146,0.19589161384880166
123,False,L_then_R,68,34,34,0.19443502224579887,0.0014584065928365246,-0.012595424100092824,0.19564553888880626,0.19466214907461307
123,False,R_then_L,68,34,34,0.19443905710592385,0.0014547822574672803,-0.01259765776922519,0.19564805213592568,0.19466533977257278
123,False,simultaneous,68,34,34,0.19443504953990048,0.001458024402964409,-0.012596059866682031,0.19564532717839078,0.19466062852357305
123,False,separated_control,67,34,33,0.19443732075304884,0.001458646539115484,-0.012595881231934065,0.19564663671407218,0.194666072582528
999,False,L_then_R,68,34,34,0.1967347594059824,-0.003302249178453468,5.3871979307006e-05,0.2009063243465004,0.1922472518031914
999,False,R_then_L,68,34,34,0.19672960470800163,-0.0032991993051645213,5.0757413672173016e-05,0.20090379509415154,0.19224301593798787
999,False,simultaneous,68,34,34,0.19673574691374002,-0.0033047176346492784,5.3638155226077276e-05,0.20090618816117942,0.1922473180979151
999,False,separated_control,67,34,33,0.19673152632283825,-0.003304158526701696,5.073789753362916e-05,0.2009030541008085,0.1922466630056958
42,True,L_then_R,68,34,34,0.1952002686847118,-0.003199698242201518,-0.004584467342481296,0.19537197302511605,0.19332471053625797
42,True,R_then_L,68,34,34,0.19519051126894674,-0.003224993088335911,-0.004614441009792326,0.19535285059075927,0.19330811709639115
42,True,simultaneous,68,34,34,0.19518934859059356,-0.0032030435658876896,-0.004602255019006942,0.19535861566664373,0.19332208183119995
42,True,separated_control,67,34,33,0.19519155979792333,-0.0032114312793255877,-0.004588587094700131,0.19534024543630327,0.19333860105389156
77,True,L_then_R,68,34,34,0.19752139448467035,-0.008888192993473392,0.004567651265977103,0.19915832574361378,0.19591509255749978
77,True,R_then_L,68,34,34,0.19751778167343598,-0.008875674811912327,0.004565248626095068,0.1991496139747149,0.1959083406106501
77,True,simultaneous,68,34,34,0.19752414945043614,-0.008879692857549243,0.004562090148511854,0.19918200794550883,0.19589979832254506
77,True,separated_control,67,34,33,0.19752302675222455,-0.008907900303003358,0.00455827664465212,0.19917004893422757,0.19591389460433697
123,True,L_then_R,68,34,34,0.19443779238211278,0.0016118117879931454,-0.01249347376722054,0.19565098338032236,0.19468939899224189
123,True,R_then_L,68,34,34,0.1944363490471761,0.0016066991653980501,-0.012489932788063283,0.19567408499688974,0.19466951398406687
123,True,simultaneous,68,34,34,0.19443593314725824,0.0016085958488803243,-0.012494417426001353,0.19566047765225497,0.19467976409642962
123,True,separated_control,67,34,33,0.19443192172112325,0.001612442333904652,-0.012496166187996411,0.19566525810193253,0.194660035460218
999,True,L_then_R,68,34,34,0.19673195779198568,-0.003062837303656181,0.0002840639485970901,0.20088419364343882,0.19226892509065205
999,True,R_then_L,68,34,34,0.19672769298581422,-0.003099030950769241,0.0002548972954781686,0.2008971362087802,0.1922419411998964
999,True,simultaneous,68,34,34,0.1967212522479433,-0.0031275648046794513,0.0002427719146670086,0.20088679974069257,0.19224100194709465
999,True,separated_control,67,34,33,0.19672814031827865,-0.003087257905731177,0.0002685771581631208,0.2008790508771048,0.1922618144685475
