seed,arm,step,mean_activation,mean_energy,weight_abs_mean,left_activation_mean,right_activation_mean,lr_imbalance,event_count_L,event_count_R,event_L_fraction,final_weight_l1,mean_duration_L,mean_duration_R
42,open_loop,2000,0.36919260773520224,0.36953227061209654,0.47279192876508724,0.38515573630707145,0.35301520898116034,0.032140527325911106,38,61,0.3838383838383838,0.19520847186702747,80.0,80.0
42,open_loop,4000,0.35932427549731794,0.3729743599364652,0.44978005440180724,0.3711109655262032,0.3473793748640181,0.02373159066218511,38,61,0.3838383838383838,0.19520847186702747,80.0,80.0
42,open_loop,6000,0.3571470952823471,0.3499174883381131,0.42788875244983315,0.38016279808907966,0.33382245686747053,0.04634034122160913,38,61,0.3838383838383838,0.19520847186702747,80.0,80.0
42,open_loop,8000,0.3447900610375774,0.37865209726193966,0.407062372765706,0.3650811606149834,0.3242265977074546,0.04085456290752881,38,61,0.3838383838383838,0.19520847186702747,80.0,80.0
42,open_loop,10000,0.3397074797124927,0.3685616630843943,0.3872495046754798,0.3623285924748583,0.3167827278526457,0.045545864622212606,38,61,0.3838383838383838,0.19520847186702747,80.0,80.0
42,open_loop,12000,0.3311529850463645,0.3762093403400842,0.3684041457189273,0.36464339612563135,0.2972130382479129,0.06743035787771845,38,61,0.3838383838383838,0.19520847186702747,80.0,80.0
42,open_loop,14000,0.3366936358662176,0.35026446276078393,0.3504747365583709,0.36229935234671895,0.3107442184933605,0.05155513385335847,38,61,0.3838383838383838,0.19520847186702747,80.0,80.0
42,open_loop,16000,0.342196894036114,0.33897556090538167,0.3334152962093913,0.3657805130538959,0.3182967163737981,0.047483796680097834,38,61,0.3838383838383838,0.19520847186702747,80.0,80.0
42,open_loop,18000,0.3312597649838543,0.3505986921702955,0.31718687673006063,0.3550633126138906,0.3071367066473746,0.047926605966516045,38,61,0.3838383838383838,0.19520847186702747,80.0,80.0
42,open_loop,20000,0.3032290502009133,0.35953998622481836,0.30174992872618983,0.326354486313727,0.2797932055496725,0.04656128076405447,38,61,0.3838383838383838,0.19520847186702747,80.0,80.0
42,closed_loop_dur,2000,0.3687554446927363,0.3851833313310668,0.4727915952775418,0.3859351562448577,0.3513451329855529,0.03459002325930477,38,61,0.3838383838383838,0.19521081642807267,40.0,120.0
42,closed_loop_dur,4000,0.3741256511927361,0.3498608408921546,0.44978054289328195,0.3979388970202977,0.34999276448158295,0.04794613253871477,38,61,0.3838383838383838,0.19521081642807267,40.0,120.0
42,closed_loop_dur,6000,0.3437344085341006,0.3294511487075366,0.4278896756581634,0.3552511902888712,0.3320630391047693,0.02318815118410189,38,61,0.3838383838383838,0.19521081642807267,40.0,120.0
42,closed_loop_dur,8000,0.356214927605054,0.3693652040886215,0.40706303409286015,0.37553778553247086,0.33663270245713506,0.0389050830753358,38,61,0.3838383838383838,0.19521081642807267,40.0,120.0
42,closed_loop_dur,10000,0.3495013818843642,0.34927607134677224,0.3872508203434329,0.37162865156344765,0.3270771018740179,0.04455154968942976,38,61,0.3838383838383838,0.19521081642807267,40.0,120.0
42,closed_loop_dur,12000,0.3267415167422407,0.35028416693751574,0.3684033686088403,0.3414528070432923,0.31183275945728234,0.029620047586009945,38,61,0.3838383838383838,0.19521081642807267,40.0,120.0
42,closed_loop_dur,14000,0.33421980486597164,0.37388970775895364,0.35047244194151567,0.3602620672906212,0.30782798187186367,0.05243408541875755,38,61,0.3838383838383838,0.19521081642807267,40.0,120.0
42,closed_loop_dur,16000,0.3212925715457985,0.3301352877826833,0.3334166545855918,0.3372299064167207,0.30514131271687733,0.03208859369984335,38,61,0.3838383838383838,0.19521081642807267,40.0,120.0
42,closed_loop_dur,18000,0.3277451794417206,0.35296407580673567,0.3171865872404975,0.3461562757405499,0.3090869543335111,0.037069321407038835,38,61,0.3838383838383838,0.19521081642807267,40.0,120.0
42,closed_loop_dur,20000,0.3103978349368543,0.342106837003009,0.3017475578213538,0.33386451438941894,0.2866161664983492,0.04724834789106974,38,61,0.3838383838383838,0.19521081642807267,40.0,120.0
42,matched_dur_shuf,2000,0.38018191891033565,0.3736753582898664,0.4727913676360916,0.4069178353123733,0.3530871311471968,0.05383070416517649,38,61,0.3838383838383838,0.19520970755090372,92.63157894736842,87.21311475409836
42,matched_dur_shuf,4000,0.3681220890059334,0.37363016467279775,0.44977886578988235,0.39168107388937534,0.34424687613747884,0.0474341977518965,38,61,0.3838383838383838,0.19520970755090372,92.63157894736842,87.21311475409836
42,matched_dur_shuf,6000,0.3572245228471087,0.3451388093397274,0.42788735939600836,0.38371671831962,0.3303767274353689,0.05333999088425112,38,61,0.3838383838383838,0.19520970755090372,92.63157894736842,87.21311475409836
42,matched_dur_shuf,8000,0.34719654982207526,0.3718422948028213,0.4070611442352777,0.3603869836296974,0.3338290632116662,0.026557920418031178,38,61,0.3838383838383838,0.19520970755090372,92.63157894736842,87.21311475409836
42,matched_dur_shuf,10000,0.33983314324905184,0.35836435823704194,0.387250554999254,0.3512908626237273,0.3282216289834412,0.02306923364028607,38,61,0.3838383838383838,0.19520970755090372,92.63157894736842,87.21311475409836
42,matched_dur_shuf,12000,0.3057814661075609,0.34924545010907937,0.36840355013266685,0.3208915526856878,0.29046855957536516,0.03042299311032265,38,61,0.3838383838383838,0.19520970755090372,92.63157894736842,87.21311475409836
42,matched_dur_shuf,14000,0.33260657056691934,0.3636208302239322,0.3504722267238718,0.35997845398862593,0.3048672793140489,0.055111174674577046,38,61,0.3838383838383838,0.19520970755090372,92.63157894736842,87.21311475409836
42,matched_dur_shuf,16000,0.3302741336650094,0.3276067133416805,0.33341593906098316,0.3597486075442152,0.30040402926393517,0.05934457828028006,38,61,0.3838383838383838,0.19520970755090372,92.63157894736842,87.21311475409836
42,matched_dur_shuf,18000,0.30696620120192514,0.3570190438381687,0.3171875560581391,0.3234909969650184,0.29021959609972997,0.0332714008652884,38,61,0.3838383838383838,0.19520970755090372,92.63157894736842,87.21311475409836
42,matched_dur_shuf,20000,0.3054915446743145,0.339726616039112,0.30174875610296703,0.32719509228214927,0.28349667427979747,0.0436984180023518,38,61,0.3838383838383838,0.19520970755090372,92.63157894736842,87.21311475409836
999,open_loop,2000,0.30791356622898547,0.39388542688025835,0.47632487602842427,0.30939708800150845,0.3061952424493005,0.003201845552207927,38,61,0.3838383838383838,0.1967326705956616,80.0,80.0
999,open_loop,4000,0.3135249558873473,0.4063494843316117,0.4531326248088547,0.31962170224180936,0.3064632568724667,0.01315844536934263,38,61,0.3838383838383838,0.1967326705956616,80.0,80.0
999,open_loop,6000,0.3359335647463203,0.41097945162361826,0.4310712634958968,0.34348983808696243,0.3271813344740657,0.016308503612896708,38,61,0.3838383838383838,0.1967326705956616,80.0,80.0
999,open_loop,8000,0.3119776307883463,0.4035010656417457,0.41008303154140935,0.30911157635519687,0.3152973053476057,-0.006185728992408823,38,61,0.3838383838383838,0.1967326705956616,80.0,80.0
999,open_loop,10000,0.30336037047816317,0.39499935219139,0.39011744417653166,0.30939798717480954,0.29636715977197564,0.0130308274028339,38,61,0.3838383838383838,0.1967326705956616,80.0,80.0
999,open_loop,12000,0.27860501383465885,0.3942327580773263,0.37112262194249795,0.2939061440535828,0.2608821219983513,0.03302402205523147,38,61,0.3838383838383838,0.1967326705956616,80.0,80.0
999,open_loop,14000,0.28357681906797777,0.36813318186234584,0.35305329412991654,0.2957694800800213,0.26945438437057495,0.026315095709446346,38,61,0.3838383838383838,0.1967326705956616,80.0,80.0
999,open_loop,16000,0.2845876805382545,0.3995784898783357,0.3358619613828682,0.3112452724277416,0.25371090144323716,0.057534370984504424,38,61,0.3838383838383838,0.1967326705956616,80.0,80.0
999,open_loop,18000,0.28981096643392223,0.3623890952291616,0.31950877549592593,0.2891942898054926,0.29052524655749906,-0.0013309567520064514,38,61,0.3838383838383838,0.1967326705956616,80.0,80.0
999,open_loop,20000,0.2909025404186591,0.3572277149317183,0.3039520790126119,0.29674875127532735,0.28413103000194256,0.012617721273384785,38,61,0.3838383838383838,0.1967326705956616,80.0,80.0
999,closed_loop_dur,2000,0.35180305351266444,0.383664860461847,0.4763283301066568,0.33649647630414786,0.3695322544520254,-0.03303577814787756,38,61,0.3838383838383838,0.19673196277926677,68.26315789473684,101.29508196721312
999,closed_loop_dur,4000,0.3283761276637209,0.3754526684192934,0.45313473589900677,0.32920512940245966,0.3274159170166925,0.0017892123857671804,38,61,0.3838383838383838,0.19673196277926677,68.26315789473684,101.29508196721312
999,closed_loop_dur,6000,0.31673805857517107,0.40560570552843683,0.43107186027803224,0.3280582489029962,0.3036261834472585,0.024432065455737673,38,61,0.3838383838383838,0.19673196277926677,68.26315789473684,101.29508196721312
999,closed_loop_dur,8000,0.3102392843220748,0.4224175550226418,0.4100839884217702,0.3178030182976652,0.30147841259495206,0.016324605702713157,38,61,0.3838383838383838,0.19673196277926677,68.26315789473684,101.29508196721312
999,closed_loop_dur,10000,0.30735520562101004,0.4023356356059726,0.3901192560254404,0.32050611332612455,0.29212285928630893,0.02838325403981562,38,61,0.3838383838383838,0.19673196277926677,68.26315789473684,101.29508196721312
999,closed_loop_dur,12000,0.28817740754980764,0.4051862347087028,0.3711241782387397,0.29568315258646366,0.2794837028670622,0.01619944971940146,38,61,0.3838383838383838,0.19673196277926677,68.26315789473684,101.29508196721312
999,closed_loop_dur,14000,0.2854263654118882,0.3775323001464351,0.3530548233961454,0.28787401852045996,0.2825913139695857,0.005282704550874262,38,61,0.3838383838383838,0.19673196277926677,68.26315789473684,101.29508196721312
999,closed_loop_dur,16000,0.2982949090648313,0.37567234518602816,0.33586377061052786,0.3005230958081899,0.2957140596714446,0.004809036136745326,38,61,0.3838383838383838,0.19673196277926677,68.26315789473684,101.29508196721312
999,closed_loop_dur,18000,0.28119854565436564,0.39401105579299783,0.3195100615766423,0.2851965077592515,0.2765678125688505,0.008628695190400992,38,61,0.3838383838383838,0.19673196277926677,68.26315789473684,101.29508196721312
999,closed_loop_dur,20000,0.25711493132483687,0.378266179671146,0.30395281005956354,0.27035801198810816,0.24177582350622767,0.02858218848188049,38,61,0.3838383838383838,0.19673196277926677,68.26315789473684,101.29508196721312
999,matched_dur_shuf,2000,0.3290577158485772,0.39585839081254887,0.47632431606372944,0.3368022846100856,0.32008738800251346,0.01671489660757214,38,61,0.3838383838383838,0.19673133873880136,87.47368421052632,89.32786885245902
999,matched_dur_shuf,4000,0.29902143176775003,0.4212418805801365,0.4531327417210399,0.30135941828278556,0.29631340422155783,0.005046014061227733,38,61,0.3838383838383838,0.19673133873880136,87.47368421052632,89.32786885245902
999,matched_dur_shuf,6000,0.31102082258564573,0.4003786844369651,0.43107050391486096,0.3214379260158924,0.29895496897219465,0.022482957043697738,38,61,0.3838383838383838,0.19673133873880136,87.47368421052632,89.32786885245902
999,matched_dur_shuf,8000,0.31582189958925977,0.401073637476066,0.41008259145519266,0.32976953790651864,0.2996667213944492,0.03010281651206942,38,61,0.3838383838383838,0.19673133873880136,87.47368421052632,89.32786885245902
999,matched_dur_shuf,10000,0.3042483344960276,0.3928544422596797,0.39011646422426427,0.3182808100573624,0.2879948915796614,0.030285918477701013,38,61,0.3838383838383838,0.19673133873880136,87.47368421052632,89.32786885245902
999,matched_dur_shuf,12000,0.28232050092832633,0.401138220802441,0.37112248989581814,0.28655315063691894,0.2774179354385176,0.009135215198401325,38,61,0.3838383838383838,0.19673133873880136,87.47368421052632,89.32786885245902
999,matched_dur_shuf,14000,0.28595876646965795,0.3938207846337855,0.3530531296610351,0.29840207879526703,0.2715460090277656,0.026856069767501434,38,61,0.3838383838383838,0.19673133873880136,87.47368421052632,89.32786885245902
999,matched_dur_shuf,16000,0.2600417219660753,0.4011118156774098,0.33586205796437285,0.27197002193762376,0.2462254896249292,0.02574453231269455,38,61,0.3838383838383838,0.19673133873880136,87.47368421052632,89.32786885245902
999,matched_dur_shuf,18000,0.2834323774689272,0.37982573206149933,0.3195099343828252,0.2895457997934938,0.2763513631217672,0.013194436671726595,38,61,0.3838383838383838,0.19673133873880136,87.47368421052632,89.32786885245902
999,matched_dur_shuf,20000,0.2967782202974913,0.3467047685928249,0.30395342978600204,0.2962024494600883,0.29744512033218107,-0.0012426708720927881,38,61,0.3838383838383838,0.19673133873880136,87.47368421052632,89.32786885245902
