condition,factor,tc_std_after,tc_mean_after,group,label,plasticity_rate,final_step,mean_activation,mean_energy,hard_active_ratio,weight_mean,weight_std,weight_abs_mean,activation_entropy,elapsed_sec
low_std,0.3,0.036145318911201894,1.001690477293683,A_L,L then R,0.0001,120000,0.31088333028086745,0.3508953803390482,0.47333333333333333,0.0008618925873882682,0.3453532416440422,0.30000000000000016,2.331393843253795,370.32307410240173
low_std,0.3,0.036145318911201894,1.001690477293683,A_R,R then L,0.0001,120000,0.3049545150549943,0.36160366295998436,0.46,0.0008662454915935161,0.345355197128942,0.29999999999999943,2.323136598947613,498.2927658557892
low_std,0.3,0.036145318911201894,1.001690477293683,C,repeat A_L,0.0001,120000,0.31088333028086745,0.3508953803390482,0.47333333333333333,0.0008618925873882682,0.3453532416440422,0.30000000000000016,2.331393843253795,574.1804223060608
low_std,0.3,0.036145318911201894,1.001690477293683,D_L,plasticity off (L then R),0.0,120000,0.36139504134563066,0.38667061778346434,0.47333333333333333,0.00040026882538335466,0.5729731432465665,0.4969560404248361,2.2134314842389,335.6612207889557
low_std,0.3,0.036145318911201894,1.001690477293683,D_R,plasticity off (R then L),0.0,120000,0.3591641495508752,0.3922270685443396,0.48,0.00040026882538335466,0.5729731432465665,0.4969560404248361,2.0948734720986257,322.0672535896301
baseline,1.0,0.120484396370673,1.001690477293683,A_L,L then R,0.0001,120000,0.3058509897497449,0.3533479682438662,0.44333333333333336,0.0008510039057512091,0.345374547819212,0.3000000000000007,2.3583212744322353,443.6309902667999
baseline,1.0,0.120484396370673,1.001690477293683,A_R,R then L,0.0001,120000,0.31498985650316086,0.34966402914551103,0.4666666666666667,0.0008493504105821761,0.3453810064823188,0.3000000000000008,2.3870836042111665,419.9507169723511
baseline,1.0,0.120484396370673,1.001690477293683,C,repeat A_L,0.0001,120000,0.3058509897497449,0.3533479682438662,0.44333333333333336,0.0008510039057512091,0.345374547819212,0.3000000000000007,2.3583212744322353,414.58320784568787
baseline,1.0,0.120484396370673,1.001690477293683,D_L,plasticity off (L then R),0.0,120000,0.375682444321743,0.3760323374998449,0.5066666666666667,0.00040026882538335466,0.5729731432465665,0.4969560404248361,2.1676930234271654,293.7461504936218
baseline,1.0,0.120484396370673,1.001690477293683,D_R,plasticity off (R then L),0.0,120000,0.37294750837591767,0.3901202025532386,0.5,0.00040026882538335466,0.5729731432465665,0.4969560404248361,2.2440491602599515,289.10120248794556
high_std,2.0,0.240968792741346,1.001690477293683,A_L,L then R,0.0001,120000,0.29343631659469066,0.3453299286698817,0.43333333333333335,0.0008349450539594397,0.34541714369628573,0.2999999999999999,2.3971006630016864,411.09161400794983
high_std,2.0,0.240968792741346,1.001690477293683,A_R,R then L,0.0001,120000,0.28793306032602173,0.3486847987593805,0.42333333333333334,0.0008332860172880459,0.34541691270314534,0.2999999999999999,2.3919746182827644,417.2848393917084
high_std,2.0,0.240968792741346,1.001690477293683,C,repeat A_L,0.0001,120000,0.29343631659469066,0.3453299286698817,0.43333333333333335,0.0008349450539594397,0.34541714369628573,0.2999999999999999,2.3971006630016864,407.89962577819824
high_std,2.0,0.240968792741346,1.001690477293683,D_L,plasticity off (L then R),0.0,120000,0.3744071692532611,0.36953184930603944,0.5166666666666667,0.00040026882538335466,0.5729731432465665,0.4969560404248361,2.3208880391396636,274.8270845413208
high_std,2.0,0.240968792741346,1.001690477293683,D_R,plasticity off (R then L),0.0,120000,0.35537910352057056,0.3961154067845137,0.4633333333333333,0.00040026882538335466,0.5729731432465665,0.4969560404248361,2.1407652698274493,260.32708835601807
