anomaly_variant,seed,condition,group,label,plasticity_rate,final_step,mean_activation,mean_energy,hard_active_ratio,weight_mean,weight_std,weight_abs_mean,activation_entropy,post_anomaly_mean_activation,elapsed_sec
delayed_asymmetric,123,normal,A_L,L then R,0.0001,120000,0.3142691152415527,0.3800244348772733,0.44666666666666666,0.0013381173825419096,0.34570034990343784,0.29999999999999966,2.257419310428692,0.3076739753517995,571.4241371154785
delayed_asymmetric,123,normal,A_R,R then L,0.0001,120000,0.3158048274523835,0.38170328589344904,0.44333333333333336,0.001339741135383742,0.34569817714721524,0.30000000000000043,2.2719442162159855,0.3250624033796963,571.1539578437805
delayed_asymmetric,123,normal,C,repeat A_L,0.0001,120000,0.3142691152415527,0.3800244348772733,0.44666666666666666,0.0013381173825419096,0.34570034990343784,0.29999999999999966,2.257419310428692,0.3076739753517995,567.5183773040771
delayed_asymmetric,123,normal,D_L,plasticity off (L then R),0.0,120000,0.37995870180872715,0.38334489463997135,0.49,0.0010841217503497812,0.571448818933048,0.4950954547379169,2.2312852929758558,0.3911466819559189,392.17926144599915
delayed_asymmetric,123,normal,D_R,plasticity off (R then L),0.0,120000,0.38963703783702336,0.3828795989941756,0.5166666666666667,0.0010841217503497812,0.571448818933048,0.4950954547379169,2.1855712803749574,0.37385309716025306,393.0846474170685
delayed_asymmetric,123,anomaly,A_L,L then R,0.0001,120000,0.31246105330329493,0.36580327462790857,0.45,0.0013413957005770558,0.3456993822078207,0.2999999999999991,2.266885045767259,0.306637432705797,569.3915636539459
delayed_asymmetric,123,anomaly,A_R,R then L,0.0001,120000,0.3180778240855898,0.3809476846463332,0.44333333333333336,0.0013380793250000384,0.3456989858886952,0.3000000000000009,2.3057638851047444,0.3193794482911368,566.9788675308228
delayed_asymmetric,123,anomaly,C,repeat A_L,0.0001,120000,0.31246105330329493,0.36580327462790857,0.45,0.0013413957005770558,0.3456993822078207,0.2999999999999991,2.266885045767259,0.306637432705797,570.9994657039642
delayed_asymmetric,123,anomaly,D_L,plasticity off (L then R),0.0,120000,0.37614211279145626,0.38827146870395346,0.5,0.0010841217503497812,0.571448818933048,0.4950954547379169,2.11445665603423,0.3870268409739063,388.7575213909149
delayed_asymmetric,123,anomaly,D_R,plasticity off (R then L),0.0,120000,0.3745000725058628,0.3827741154528731,0.4866666666666667,0.0010841217503497812,0.571448818933048,0.4950954547379169,2.174038442478274,0.3917799765939596,377.21594524383545
