arm,config,seed,gap,tau_trace,target_event_update_l1,rest_window,homeostasis,event_index,pair_index,pulse_step,pulse_region,is_within_pair_event,dt_since_last_pulse,trace_mass_before,trace_L_mass_before,trace_R_mass_before,current_L_mass,current_R_mass,raw_update_l1,normalized_update_l1,dW_L_to_R_l1,dW_R_to_L_l1,within_pair_directional,cross_pair_contamination,contamination_ratio,current_DI,accumulated_dW_DI,accumulated_dW_LR_total,accumulated_dW_RL_total
L_then_R,LONG-REST,42,500,1000,0.0001,5000,True,1,1,700,R,True,500.0,0.03276629933183359,0.03276629933183359,0.0,0.0,0.09597039184142793,0.00021762231041210045,0.00010000000000000002,0.0001,0.0,0.0001,0.0,0.0,0.005174836684759967,0.9999999900000002,0.0001,0.0
L_then_R,LONG-REST,42,500,1000,0.0001,5000,True,2,1,5780,L,False,5080.0,0.0008007305061111839,0.0002038034006331448,0.0005969271054780392,0.05402249467052143,0.0,1.995214157672958e-06,9.999999999999999e-05,0.0,8.041711736221822e-05,0.0,8.041711736221822e-05,0.9999999875648368,0.005230851679090223,0.10854226481140107,0.0001,8.041711736221822e-05
L_then_R,LONG-REST,42,500,1000,0.0001,5000,True,3,2,6280,R,True,500.0,0.03325196693395723,0.03288991234287128,0.0003620545910859478,0.0,0.09597039184142793,0.00022097293142317936,0.00010000000000000002,9.885523237149176e-05,0.0,9.885523237149176e-05,0.0,0.0,0.005231314602091287,0.4240953846598509,0.00019885523237149176,8.041711736221822e-05
L_then_R,LONG-REST,42,500,1000,0.0001,5000,True,4,2,11360,L,False,5080.0,0.0008037513144083841,0.000204572262314986,0.0005991790520933981,0.05402249467052143,0.0,2.002741233806801e-06,9.999999999999999e-05,0.0,8.041711736221822e-05,0.0,8.041711736221822e-05,0.9999999875648368,0.005247600862655347,0.10570506233703575,0.00019885523237149176,0.00016083423472443645
L_then_R,LONG-REST,42,500,1000,0.0001,5000,True,5,3,11860,R,True,500.0,0.033253799146806595,0.0328903786810544,0.00036342046575219906,0.0,0.09597039184142793,0.0002209855718604723,0.00010000000000000002,9.885097938867344e-05,0.0,9.885097938867344e-05,0.0,0.0,0.005248278461390541,0.2984948825922823,0.0002977062117601652,0.00016083423472443645
L_then_R,LONG-REST,42,500,1000,0.0001,5000,True,6,3,16940,L,False,5080.0,0.000803762710605605,0.00020457516289605567,0.0005991875477095493,0.05402249467052143,0.0,2.0027696301946802e-06,0.00010000000000000003,0.0,8.041711736221825e-05,0.0,8.041711736221825e-05,0.9999999875648368,0.00526352515151274,0.10474824616211824,0.0002977062117601652,0.0002412513520866547
L_then_R,LONG-REST,42,500,1000,0.0001,5000,True,7,4,17440,R,True,500.0,0.03325380605894961,0.03289038044034575,0.0003634256186038679,0.0,0.09597039184142793,0.00022098561954735018,0.0001,9.885096334493833e-05,0.0,9.885096334493833e-05,0.0,0.0,0.005263197996142778,0.24349913203380033,0.0003965571751051035,0.0002412513520866547
L_then_R,LONG-REST,42,500,1000,0.0001,5000,True,8,4,22520,L,False,5080.0,0.0008037627535985056,0.00020457517383868777,0.0005991875797598178,0.05402249467052143,0.0,2.0027697373219144e-06,0.00010000000000000002,0.0,8.041711736221824e-05,0.0,8.041711736221824e-05,0.9999999875648368,0.005262151247787368,0.10426904987285432,0.0003965571751051035,0.00032166846944887295
L_then_R,LONG-REST,42,500,1000,0.0001,5000,True,9,5,23020,R,True,500.0,0.033253806085026136,0.032890380446982795,0.0003634256380433385,0.0,0.09597039184142793,0.00022098561972725209,9.999999999999999e-05,9.885096328441228e-05,0.0,9.885096328441228e-05,0.0,0.0,0.005260237460430173,0.2126357150128712,0.0004954081383895158,0.00032166846944887295
R_then_L,LONG-REST,42,500,1000,0.0001,5000,True,1,1,700,L,True,500.0,0.05820898507646122,0.0,0.05820898507646122,0.05402249467052143,0.0,0.00015646123221802716,9.999999999999999e-05,0.0,0.0001,0.0001,0.0,0.0,0.005369213399793818,-0.9999999900000002,0.0,0.0001
