seed,arm,event_type,subgraph,n_connections,dW_support_rate,tag_support_rate,phi_proxy_positive_rate,phi_proxy_dW_match_rate,phi_proxy_false_positive_rate,phi_proxy_false_negative_rate,tag_dW_match_rate,dW_l1,tag_delta_l1,mean_phi_dW_supported,mean_phi_dW_unsupported,mean_h_dW_supported,mean_h_dW_unsupported,h_support_ratio,phi_support_ratio,corr_h_dW_support,corr_phi_dW_support,support_geometry_verdict
42,closed_loop,R,RR,5766,0.013874,0.013874,1.0,0.013874,0.986126,0.0,1.0,0.000317,0.000317,0.248895,0.335402,0.103506,0.128189,0.80745,0.742079,-0.030824,-0.041876,proxy_phi_support_insufficient
42,divergent_warmup_replay,ALL,ALL,53820,0.004143,0.004143,1.0,0.004143,0.995857,0.0,1.0,0.0011,0.0011,0.316816,0.361931,0.106788,0.10919,0.978006,0.875349,-0.001908,-0.011693,proxy_phi_support_insufficient
42,divergent_warmup_replay,ALL,LL,11808,0.002541,0.002541,1.0,0.002541,0.997459,0.0,1.0,0.000162,0.000162,0.46343,0.37193,0.138383,0.11116,1.244905,1.246016,0.017017,0.018827,proxy_phi_support_insufficient
42,divergent_warmup_replay,ALL,LM,1824,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.360615,nan,0.108586,nan,nan,nan,nan,proxy_phi_support_insufficient
42,divergent_warmup_replay,ALL,LR,11352,0.006871,0.006871,1.0,0.006871,0.993129,0.0,1.0,0.000283,0.000283,0.390124,0.375121,0.131428,0.112995,1.163131,1.039997,0.018053,0.00481,proxy_phi_support_insufficient
42,divergent_warmup_replay,ALL,ML,2100,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.380065,nan,0.114155,nan,nan,nan,nan,proxy_phi_support_insufficient
42,divergent_warmup_replay,ALL,MM,228,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.340614,nan,0.102325,nan,nan,nan,nan,proxy_phi_support_insufficient
42,divergent_warmup_replay,ALL,MR,2064,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.347483,nan,0.1059,nan,nan,nan,nan,proxy_phi_support_insufficient
42,divergent_warmup_replay,ALL,RL,11256,0.003109,0.003109,1.0,0.003109,0.996891,0.0,1.0,0.000338,0.000338,0.184996,0.368301,0.058287,0.110977,0.525216,0.502296,-0.036369,-0.041502,proxy_phi_support_insufficient
42,divergent_warmup_replay,ALL,RM,1656,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.372283,nan,0.113032,nan,nan,nan,nan,proxy_phi_support_insufficient
42,divergent_warmup_replay,ALL,RR,11532,0.006937,0.006937,1.0,0.006937,0.993063,0.0,1.0,0.000317,0.000317,0.24803,0.330837,0.092136,0.101027,0.911993,0.749706,-0.00958,-0.028504,proxy_phi_support_insufficient
42,divergent_warmup_replay,L,ALL,26910,0.002415,0.002415,1.0,0.002415,0.997585,0.0,1.0,0.0005,0.0005,0.313504,0.359059,0.095254,0.097637,0.975591,0.873126,-0.001542,-0.008999,proxy_phi_support_insufficient
42,divergent_warmup_replay,L,LL,5904,0.005081,0.005081,1.0,0.005081,0.994919,0.0,1.0,0.000162,0.000162,0.46343,0.366826,0.138383,0.099207,1.394887,1.263351,0.036801,0.028079,proxy_phi_support_insufficient
42,divergent_warmup_replay,L,LM,912,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.361885,nan,0.097085,nan,nan,nan,nan,proxy_phi_support_insufficient
42,divergent_warmup_replay,L,LR,5676,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.371366,nan,0.1011,nan,nan,nan,nan,proxy_phi_support_insufficient
42,divergent_warmup_replay,L,ML,1050,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.381076,nan,0.102067,nan,nan,nan,nan,proxy_phi_support_insufficient
42,divergent_warmup_replay,L,MM,114,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.3461,nan,0.091798,nan,nan,nan,nan,proxy_phi_support_insufficient
42,divergent_warmup_replay,L,MR,1032,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.349726,nan,0.094752,nan,nan,nan,nan,proxy_phi_support_insufficient
42,divergent_warmup_replay,L,RL,5628,0.006219,0.006219,1.0,0.006219,0.993781,0.0,1.0,0.000338,0.000338,0.184996,0.366036,0.058287,0.099293,0.587016,0.505403,-0.042541,-0.057552,proxy_phi_support_insufficient
42,divergent_warmup_replay,L,RM,828,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.375697,nan,0.101171,nan,nan,nan,nan,proxy_phi_support_insufficient
42,divergent_warmup_replay,L,RR,5766,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.327346,nan,0.090428,nan,nan,nan,nan,proxy_phi_support_insufficient
42,divergent_warmup_replay,R,ALL,26910,0.005871,0.005871,1.0,0.005871,0.994129,0.0,1.0,0.0006,0.0006,0.318178,0.364812,0.111533,0.120782,0.923424,0.872169,-0.008412,-0.014414,proxy_phi_support_insufficient
42,divergent_warmup_replay,R,LL,5904,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.377007,nan,0.123051,nan,nan,nan,nan,proxy_phi_support_insufficient
42,divergent_warmup_replay,R,LM,912,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.359346,nan,0.120087,nan,nan,nan,nan,proxy_phi_support_insufficient
42,divergent_warmup_replay,R,LR,5676,0.013742,0.013742,1.0,0.013742,0.986258,0.0,1.0,0.000283,0.000283,0.390124,0.378928,0.131428,0.125056,1.050958,1.029547,0.008465,0.005081,proxy_phi_support_insufficient
42,divergent_warmup_replay,R,ML,1050,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.379054,nan,0.126242,nan,nan,nan,nan,proxy_phi_support_insufficient
42,divergent_warmup_replay,R,MM,114,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.335128,nan,0.112852,nan,nan,nan,nan,proxy_phi_support_insufficient
42,divergent_warmup_replay,R,MR,1032,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.34524,nan,0.117047,nan,nan,nan,nan,proxy_phi_support_insufficient
42,divergent_warmup_replay,R,RL,5628,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.370551,nan,0.122588,nan,nan,nan,nan,proxy_phi_support_insufficient
42,divergent_warmup_replay,R,RM,828,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.36887,nan,0.124893,nan,nan,nan,nan,proxy_phi_support_insufficient
42,divergent_warmup_replay,R,RR,5766,0.013874,0.013874,1.0,0.013874,0.986126,0.0,1.0,0.000317,0.000317,0.24803,0.334376,0.092136,0.111774,0.8243,0.74177,-0.028608,-0.041987,proxy_phi_support_insufficient
42,exact_replay,ALL,ALL,53820,0.004143,0.004143,1.0,0.004143,0.995857,0.0,1.0,0.0011,0.0011,0.312293,0.360335,0.121626,0.128135,0.949199,0.866674,-0.00447,-0.012354,proxy_phi_support_insufficient
