condition,group,label,plasticity_rate,final_step,mean_activation,mean_energy,hard_active_ratio,weight_mean,weight_std,weight_abs_mean,activation_entropy,elapsed_sec,manip_tc_std_after,manip_tc_mean_after
low_std,A_L,L then R,0.0001,120000,0.3253647734236255,0.34499259180122027,0.4633333333333333,0.001341056801201132,0.3456904930113436,0.2999999999999997,2.3593500060696284,352.9518053531647,0.03396652014114206,0.9966671430298739
low_std,A_R,R then L,0.0001,120000,0.31728508344997663,0.41174430635728854,0.4533333333333333,0.0013412156097834668,0.34569153031929206,0.2999999999999998,2.1535362541878813,352.5951247215271,0.03396652014114206,0.9966671430298739
low_std,C,repeat A_L,0.0001,120000,0.3253647734236255,0.34499259180122027,0.4633333333333333,0.001341056801201132,0.3456904930113436,0.2999999999999997,2.3593500060696284,340.4136166572571,0.03396652014114206,0.9966671430298739
low_std,D_L,plasticity off (L then R),0.0,120000,0.3788103503332557,0.38328896951349267,0.5133333333333333,0.0010841217503497812,0.571448818933048,0.4950954547379169,2.1965974512896214,238.18778014183044,0.03396652014114206,0.9966671430298739
low_std,D_R,plasticity off (R then L),0.0,120000,0.38230065718723705,0.4033319651979148,0.49666666666666665,0.0010841217503497812,0.571448818933048,0.4950954547379169,2.1619182378561823,233.56639862060547,0.03396652014114206,0.9966671430298739
baseline,A_L,L then R,0.0001,120000,0.31734334890104643,0.34009217920254464,0.4533333333333333,0.001338201473483435,0.34570143787926405,0.30000000000000027,2.2829803584479453,331.14824509620667,0.11322173380380689,0.9966671430298739
baseline,A_R,R then L,0.0001,120000,0.3200020208715859,0.35027137019843074,0.45666666666666667,0.0013384808178196273,0.345700047296118,0.3000000000000009,2.359215608606013,413.0368506908417,0.11322173380380689,0.9966671430298739
baseline,C,repeat A_L,0.0001,120000,0.31734334890104643,0.34009217920254464,0.4533333333333333,0.001338201473483435,0.34570143787926405,0.30000000000000027,2.2829803584479453,343.2051887512207,0.11322173380380689,0.9966671430298739
baseline,D_L,plasticity off (L then R),0.0,120000,0.37725592982154244,0.3923436959698829,0.5,0.0010841217503497812,0.571448818933048,0.4950954547379169,2.1186652089001083,236.4089765548706,0.11322173380380689,0.9966671430298739
baseline,D_R,plasticity off (R then L),0.0,120000,0.3723063111637187,0.39019027941563605,0.49,0.0010841217503497812,0.571448818933048,0.4950954547379169,2.1367839521631087,238.17907524108887,0.11322173380380689,0.9966671430298739
high_std,A_L,L then R,0.0001,120000,0.32400492139186987,0.337687765371563,0.48333333333333334,0.0013167757548212431,0.3457255284555251,0.30000000000000077,2.3093178724650536,351.6895034313202,0.22644346760761377,0.9966671430298739
high_std,A_R,R then L,0.0001,120000,0.3062162635315382,0.3723938149481572,0.4533333333333333,0.0013173029977538915,0.3457258127304114,0.3000000000000012,2.3084831492857876,339.8898284435272,0.22644346760761377,0.9966671430298739
high_std,C,repeat A_L,0.0001,120000,0.32400492139186987,0.337687765371563,0.48333333333333334,0.0013167757548212431,0.3457255284555251,0.30000000000000077,2.3093178724650536,348.28409028053284,0.22644346760761377,0.9966671430298739
high_std,D_L,plasticity off (L then R),0.0,120000,0.37353527669210707,0.37742271155138546,0.4866666666666667,0.0010841217503497812,0.571448818933048,0.4950954547379169,2.2150270623113464,267.784068107605,0.22644346760761377,0.9966671430298739
high_std,D_R,plasticity off (R then L),0.0,120000,0.37319210758951743,0.3685659604629203,0.5033333333333333,0.0010841217503497812,0.571448818933048,0.4950954547379169,2.261633857074289,306.79955101013184,0.22644346760761377,0.9966671430298739
