seed,gap,tau_trace,rest_window,gate_mode,trace_gate_ref,gate_power,arm,target_event_update_l1,event_count_L,event_count_R,schedule_ok,mean_trace_mass,mean_gate_within,mean_gate_cross,within_pair_dW_L1,cross_pair_dW_L1,contamination_ratio,acc_dW_DI,acc_dW_LR,acc_dW_RL,final_DI,L_to_R_l1,R_to_L_l1,runtime_s
42,500,1000,500,bare_l1_norm,0.03,1.0,L_then_R,0.0001,5,5,True,0.0862489089950847,1.0,1.0,0.0003056971149858533,0.00032166846944887295,0.5127289046720283,-0.025457810938023406,0.0003056971149858533,0.00032166846944887295,0.0052251758503001015,0.06698594799750401,0.06628956003150911,288.8145549297333
42,500,1000,500,bare_l1_norm,0.03,1.0,R_then_L,0.0001,5,5,True,0.09165969576878998,1.0,1.0,0.0004323021917355534,0.00018748530614015217,0.30249933482080626,-0.39500132874493116,0.00018748530614015217,0.0004323021917355534,0.005251232088542103,0.06698273090298483,0.06628292202999739,288.8145549297333
42,500,1000,500,bare_l1_norm,0.03,1.0,simultaneous,0.0001,5,5,True,0.06734624879908145,1.0,1.0,8.868746536325935e-05,8.868746536325935e-05,0.4999999971811124,0.16349577268020446,0.00010318749112162218,7.41874396048965e-05,0.0052587360459596545,0.0669874375490837,0.06628658464457861,288.8145549297333
42,500,1000,500,bare_l1_norm,0.03,1.0,separated_control,0.0001,5,5,True,0.08656735999465864,1.0,1.0,0.0003017112712763581,0.00032415753189510705,0.5179320805487849,-0.03586416269534897,0.0003017112712763581,0.00032415753189510705,0.005236227195375274,0.06698492775722802,0.06628708521849688,288.8145549297333
42,500,1000,500,soft_trace_gate,0.03,1.0,L_then_R,0.0001,5,5,True,0.0862489089950847,1.0,1.0,0.0003056971149858533,0.00032166846944887295,0.5127289046720283,-0.025457810938023406,0.0003056971149858533,0.00032166846944887295,0.0052251758503001015,0.06698594799750401,0.06628956003150911,482.79930782318115
42,500,1000,500,soft_trace_gate,0.03,1.0,R_then_L,0.0001,5,5,True,0.09165969576878998,1.0,1.0,0.0004323021917355534,0.00018748530614015217,0.30249933482080626,-0.39500132874493116,0.00018748530614015217,0.0004323021917355534,0.005251232088542103,0.06698273090298483,0.06628292202999739,482.79930782318115
42,500,1000,500,soft_trace_gate,0.03,1.0,simultaneous,0.0001,5,5,True,0.06734624879908145,1.0,1.0,8.868746536325935e-05,8.868746536325935e-05,0.4999999971811124,0.16349577268020446,0.00010318749112162218,7.41874396048965e-05,0.0052587360459596545,0.0669874375490837,0.06628658464457861,482.79930782318115
42,500,1000,500,soft_trace_gate,0.03,1.0,separated_control,0.0001,5,5,True,0.08656735999465864,1.0,1.0,0.0003017112712763581,0.00032415753189510705,0.5179320805487849,-0.03586416269534897,0.0003017112712763581,0.00032415753189510705,0.005236227195375274,0.06698492775722802,0.06628708521849688,482.79930782318115
42,500,1000,500,hard_threshold,0.03,1.0,L_then_R,0.0001,5,5,True,0.0862489089950847,1.0,1.0,0.0003056971149858533,0.00032166846944887295,0.5127289046720283,-0.025457810938023406,0.0003056971149858533,0.00032166846944887295,0.0052251758503001015,0.06698594799750401,0.06628956003150911,673.2603170871735
42,500,1000,500,hard_threshold,0.03,1.0,R_then_L,0.0001,5,5,True,0.09165969576878998,1.0,1.0,0.0004323021917355534,0.00018748530614015217,0.30249933482080626,-0.39500132874493116,0.00018748530614015217,0.0004323021917355534,0.005251232088542103,0.06698273090298483,0.06628292202999739,673.2603170871735
42,500,1000,500,hard_threshold,0.03,1.0,simultaneous,0.0001,5,5,True,0.06734624879908145,1.0,1.0,8.868746536325935e-05,8.868746536325935e-05,0.4999999971811124,0.16349577268020446,0.00010318749112162218,7.41874396048965e-05,0.0052587360459596545,0.0669874375490837,0.06628658464457861,673.2603170871735
42,500,1000,500,hard_threshold,0.03,1.0,separated_control,0.0001,5,5,True,0.08656735999465864,1.0,1.0,0.0003017112712763581,0.00032415753189510705,0.5179320805487849,-0.03586416269534897,0.0003017112712763581,0.00032415753189510705,0.005236227195375274,0.06698492775722802,0.06628708521849688,673.2603170871735
