seed,gap,mode,arm,total_events,event_count_L,event_count_R,final_weight_l1,pair_interval,num_pairs_target,completed_pairs,first_L_step,first_R_step,last_L_step,last_R_step,L_to_R_signed_mean,R_to_L_signed_mean,L_to_R_l1,R_to_L_l1,crossing_per_unit_mean,crossing_per_unit_median,crossing_per_unit_min,crossing_per_unit_max,frac_steps_with_crossing,mean_inter_crossing_interval,crossing_balance_lr,crossing_q4_q1_ratio
42,80,OFF,L_then_R,10,5,5,0.04379935136559561,660,5,5,200,280,2840,2920,-0.000753023256098018,-0.00106768229439084,0.043835174546956526,0.04338053682540698,,,,,,,,
42,80,OFF,R_then_L,10,5,5,0.043797079369659535,660,5,5,280,200,2920,2840,-0.0007523737546544285,-0.0010638281870395407,0.04382997878371333,0.04337280305727106,,,,,,,,
42,80,OFF,simultaneous,10,5,5,0.04380050158358616,660,5,5,200,200,2840,2840,-0.000755646334404778,-0.0010671039711299024,0.043836584423560664,0.043376200228832075,,,,,,,,
42,80,OFF,separated_control,10,5,5,0.04379882145558951,660,5,5,200,530,2840,3170,-0.0007519765846126874,-0.0010667880119398577,0.04383406275645397,0.04337881559369961,,,,,,,,
42,80,activity,L_then_R,10,5,5,0.043799008040017635,660,5,5,200,280,2840,2920,-0.0007032056497694851,-0.0010235715702037861,0.04382399239874174,0.043365207468121086,,,,,,,,
42,80,activity,R_then_L,10,5,5,0.04379144789643277,660,5,5,280,200,2920,2840,-0.0007182707641014208,-0.0010297738653847284,0.043824570702120785,0.043364664232774144,,,,,,,,
42,80,activity,simultaneous,10,5,5,0.043797675205672446,660,5,5,200,200,2840,2840,-0.000701800939624974,-0.0010163879979708784,0.043830807637894285,0.043365372774188504,,,,,,,,
42,80,activity,separated_control,10,5,5,0.04380194898514893,660,5,5,200,530,2840,3170,-0.0007125750572383384,-0.0010250732634235393,0.043830290933252934,0.04337385224451164,,,,,,,,
42,80,onset,L_then_R,10,5,5,0.0437996985314379,660,5,5,200,280,2840,2920,-0.0007533533135407198,-0.0010676079074076485,0.04383594207373449,0.04338067275711844,,,,,,,,
42,80,onset,R_then_L,10,5,5,0.043796565189994335,660,5,5,280,200,2920,2840,-0.0007521006135751732,-0.0010634976285000724,0.043829426400954954,0.04337224999161902,,,,,,,,
42,80,onset,simultaneous,10,5,5,0.043800994842634104,660,5,5,200,200,2840,2840,-0.0007558589730226977,-0.001066475301990076,0.043836899943358355,0.043375952386222445,,,,,,,,
42,80,onset,separated_control,10,5,5,0.04379866059670179,660,5,5,200,530,2840,3170,-0.00075168141636149,-0.001066821924916597,0.04383384468597719,0.04337877313434637,,,,,,,,
42,80,threshold_crossing,L_then_R,10,5,5,0.043791348398723784,660,5,5,200,280,2840,2920,-0.0007501228598068369,-0.001065467901947208,0.0438258203997686,0.043370633657731514,2.73,1.0,0,19,0.17216216216216215,1355.3113553113553,0.02796271637816245,1.5424836601307188
42,80,threshold_crossing,R_then_L,10,5,5,0.0437895204840759,660,5,5,280,200,2920,2840,-0.0007508384934348982,-0.0010625848279723156,0.043822374342991285,0.043364519785889094,2.743333333333333,1.0,0,15,0.17135135135135135,1348.7241798298908,0.025032938076416336,1.3181818181818181
42,80,threshold_crossing,simultaneous,10,5,5,0.04379249319598798,660,5,5,200,200,2840,2840,-0.0007531291060161574,-0.0010646819011569564,0.0438280877433293,0.04336699426879415,2.9,2.0,0,16,0.18486486486486486,1275.8620689655172,0.04228855721393035,1.2041884816753927
42,80,threshold_crossing,separated_control,10,5,5,0.043791221849128016,660,5,5,200,530,2840,3170,-0.0007502256903087448,-0.0010659487801182553,0.04382572002020147,0.04337076055273239,2.6333333333333333,1.0,0,17,0.16567567567567568,1405.0632911392406,0.0533515731874145,1.472972972972973
42,500,OFF,L_then_R,10,5,5,0.06692935909700878,1080,5,5,200,700,4520,5020,-0.001154350716606118,-0.0016354522974550252,0.06698511298939598,0.06628904619418706,,,,,,,,
42,500,OFF,R_then_L,10,5,5,0.06692989748683503,1080,5,5,700,200,5020,4520,-0.0011563649107690574,-0.0016323976681768308,0.06698332992849644,0.0662830578809374,,,,,,,,
42,500,OFF,simultaneous,10,5,5,0.06693333594360913,1080,5,5,200,200,4520,4520,-0.0011571099714858515,-0.0016356792547584645,0.06698751446181143,0.0662868576720022,,,,,,,,
42,500,OFF,separated_control,10,5,5,0.06692931298314833,1080,5,5,200,740,4520,5060,-0.001155119681124681,-0.0016336286259946056,0.06698708459591135,0.06628779704606547,,,,,,,,
42,500,activity,L_then_R,10,5,5,0.0669245691505737,1080,5,5,200,700,4520,5020,-0.0010818666271033442,-0.0015661152601899788,0.0669702264284234,0.06627433449742084,,,,,,,,
42,500,activity,R_then_L,10,5,5,0.0669270950115543,1080,5,5,700,200,5020,4520,-0.0011020624097840756,-0.001587093957166941,0.0669855699955706,0.06627829216200905,,,,,,,,
42,500,activity,simultaneous,10,5,5,0.06692673900001107,1080,5,5,200,200,4520,4520,-0.0011066200940868175,-0.0015775359289406249,0.06697639247850189,0.06627222213772967,,,,,,,,
42,500,activity,separated_control,10,5,5,0.0669286328211381,1080,5,5,200,740,4520,5060,-0.0010998336981202042,-0.0015777897838622126,0.06698598927414084,0.06627489623575576,,,,,,,,
42,500,onset,L_then_R,10,5,5,0.06693158424809546,1080,5,5,200,700,4520,5020,-0.0011557920353454376,-0.0016348841113373465,0.06698758647396737,0.06629009512483618,,,,,,,,
42,500,onset,R_then_L,10,5,5,0.06692922675060785,1080,5,5,700,200,5020,4520,-0.0011561434941470058,-0.0016322412192952421,0.06698413379895242,0.06628254314829052,,,,,,,,
42,500,onset,simultaneous,10,5,5,0.0669303692325573,1080,5,5,200,200,4520,4520,-0.001155736564793765,-0.0016351164121218115,0.06698508808856973,0.06628437527357248,,,,,,,,
42,500,onset,separated_control,10,5,5,0.0669287427855399,1080,5,5,200,740,4520,5060,-0.0011533008446549112,-0.0016347590325360764,0.06698468622047982,0.06628785383894463,,,,,,,,
42,500,threshold_crossing,L_then_R,10,5,5,0.06692006733888174,1080,5,5,200,700,4520,5020,-0.0011529940356075842,-0.0016315674591666056,0.06697497932631366,0.066278696488045,3.933333333333333,2.0,0,28,0.165,1474.5762711864409,0.053604436229205174,1.283898305084746
42,500,threshold_crossing,R_then_L,10,5,5,0.06691638104884387,1080,5,5,700,200,5020,4520,-0.0011532035730410248,-0.0016293346148314256,0.06697013449687991,0.06626902668943885,4.323333333333333,2.0,0,28,0.18448275862068966,1341.5574402467232,0.0206782464846981,1.1376811594202898
42,500,threshold_crossing,simultaneous,10,5,5,0.06691902618974714,1080,5,5,200,200,4520,4520,-0.0011546865522928547,-0.0016316672606419026,0.06697256269428775,0.06627183897344767,4.27,2.0,0,26,0.18310344827586206,1358.313817330211,0.021996615905245348,1.1908396946564885
42,500,threshold_crossing,separated_control,10,5,5,0.06691846913089768,1080,5,5,200,740,4520,5060,-0.0011514513019772693,-0.0016315440369990934,0.06697361000058745,0.06627754705878107,4.166666666666667,2.0,0,22,0.17620689655172414,1392.0,0.004366812227074236,1.3268482490272373
42,1000,OFF,L_then_R,10,5,5,0.0929302859562471,1580,5,5,200,1200,6520,7520,-0.0016065981821894403,-0.00227228239498616,0.093007544066846,0.09203919863669545,,,,,,,,
42,1000,OFF,R_then_L,10,5,5,0.09293089314606148,1580,5,5,1200,200,7520,6520,-0.0016073019058943537,-0.002270648387056587,0.093006243864857,0.09203537847689838,,,,,,,,
42,1000,OFF,simultaneous,10,5,5,0.09293302012515081,1580,5,5,200,200,6520,6520,-0.0016098899578157692,-0.002272717666958647,0.09300911893969402,0.09203727338895715,,,,,,,,
42,1000,OFF,separated_control,10,5,5,0.09293110937221898,1580,5,5,200,990,6520,7310,-0.0016080762165121036,-0.002273342426763368,0.09300997132437044,0.09204024173151057,,,,,,,,
42,1000,activity,L_then_R,10,5,5,0.09292714370236094,1580,5,5,200,1200,6520,7520,-0.001531045856304269,-0.0021931799770781484,0.09299763036354365,0.09202215081030875,,,,,,,,
42,1000,activity,R_then_L,10,5,5,0.09291803633708902,1580,5,5,1200,200,7520,6520,-0.0015333261776631572,-0.0022057995991983685,0.09299365746351762,0.09202576208482607,,,,,,,,
42,1000,activity,simultaneous,10,5,5,0.0929281068994674,1580,5,5,200,200,6520,6520,-0.0015263367201801214,-0.00219207748197327,0.09299865882173577,0.09203483609682168,,,,,,,,
42,1000,activity,separated_control,10,5,5,0.09292359615034418,1580,5,5,200,990,6520,7310,-0.0015167989763336606,-0.0021895336381405027,0.09297940480148749,0.09204521644738527,,,,,,,,
42,1000,onset,L_then_R,10,5,5,0.09293093553933775,1580,5,5,200,1200,6520,7520,-0.0016076217153281934,-0.0022722824092730686,0.09300936709858715,0.09203925935058033,,,,,,,,
42,1000,onset,R_then_L,10,5,5,0.09292921203450547,1580,5,5,1200,200,7520,6520,-0.001606546732728032,-0.0022690364747817997,0.09300453973357715,0.09203221901820256,,,,,,,,
42,1000,onset,simultaneous,10,5,5,0.09293225735054376,1580,5,5,200,200,6520,6520,-0.0016088427121695276,-0.002272277103390338,0.09300882699100148,0.09203640463303754,,,,,,,,
42,1000,onset,separated_control,10,5,5,0.09292882303718153,1580,5,5,200,990,6520,7310,-0.0016081936163705132,-0.002272262234530134,0.09300710813866035,0.09203739275902302,,,,,,,,
42,1000,threshold_crossing,L_then_R,10,5,5,0.09291898404449017,1580,5,5,200,1200,6520,7520,-0.00160470698592125,-0.0022692707701147865,0.09299615415845833,0.09202804104474759,5.93,2.5,0,34,0.1789156626506024,1399.662731871838,0.06520414381474711,1.2659574468085106
42,1000,threshold_crossing,R_then_L,10,5,5,0.09291782597061293,1580,5,5,1200,200,7520,6520,-0.001605231566627214,-0.002265816890443656,0.0929936680385563,0.09201902284023271,6.076666666666667,3.0,0,34,0.18602409638554218,1365.8804168952277,0.03804994054696789,1.2239583333333333
42,1000,threshold_crossing,simultaneous,10,5,5,0.0929217554958654,1580,5,5,200,200,6520,6520,-0.001607604718764194,-0.0022715709108484276,0.09299722229644361,0.09202532797844151,5.3933333333333335,1.0,0,44,0.16409638554216868,1538.9369592089,0.017496635262449527,1.4381270903010033
42,1000,threshold_crossing,separated_control,10,5,5,0.092915818243806,1580,5,5,200,990,6520,7310,-0.0016031782754521795,-0.002267520820660086,0.09299319546226369,0.09202360046678916,6.173333333333333,3.0,0,32,0.18313253012048192,1344.4924406047517,0.06542056074766354,1.3351206434316352
42,1500,OFF,L_then_R,10,5,5,0.11736002813866443,2080,5,5,200,1700,8520,10020,-0.00203431319448403,-0.0028743918213704972,0.11745938373700965,0.11623559208277413,,,,,,,,
42,1500,OFF,R_then_L,10,5,5,0.11736089672739056,2080,5,5,1700,200,10020,8520,-0.002036920765105932,-0.0028694536093765424,0.11746108159214852,0.11623017989482469,,,,,,,,
42,1500,OFF,simultaneous,10,5,5,0.11736154427929295,2080,5,5,200,200,8520,8520,-0.0020356937795610337,-0.002872811410250494,0.11745981436707494,0.11623080938080561,,,,,,,,
42,1500,OFF,separated_control,10,5,5,0.11735546159735122,2080,5,5,200,1240,8520,9560,-0.002031363113070646,-0.0028712731691360907,0.11745588720472835,0.11622951245548202,,,,,,,,
42,1500,activity,L_then_R,10,5,5,0.11735248563370125,2080,5,5,200,1700,8520,10020,-0.0019330811950575586,-0.002753355605201265,0.11744557229476477,0.11623704399244349,,,,,,,,
42,1500,activity,R_then_L,10,5,5,0.11735127268483977,2080,5,5,1700,200,10020,8520,-0.0019260070594727045,-0.002760314543365346,0.11744525202187378,0.1162124123837115,,,,,,,,
