anomaly_variant,seed,condition,group,label,plasticity_rate,final_step,mean_activation,mean_energy,hard_active_ratio,weight_mean,weight_std,weight_abs_mean,activation_entropy,post_anomaly_mean_activation,elapsed_sec
delayed_asymmetric,999,normal,A_L,L then R,0.0001,120000,0.2691457147874355,0.36983780801711397,0.4,-0.0011031210700535123,0.346154447594498,0.3000000000000004,2.2971747759121226,0.27022548316361567,569.987137556076
delayed_asymmetric,999,normal,A_R,R then L,0.0001,120000,0.27638182885612705,0.37660697067481247,0.41333333333333333,-0.0011006712575218265,0.34615130070673744,0.30000000000000043,2.2722707945044833,0.26073561684607055,561.6332447528839
delayed_asymmetric,999,normal,C,repeat A_L,0.0001,120000,0.2691457147874355,0.36983780801711397,0.4,-0.0011031210700535123,0.346154447594498,0.3000000000000004,2.2971747759121226,0.27022548316361567,559.8331110477448
delayed_asymmetric,999,normal,D_L,plasticity off (L then R),0.0,120000,0.2995457620114762,0.42746052762441666,0.41333333333333333,-0.0026881064714482246,0.5783605374218757,0.5006838195867686,2.0974906483488978,0.31329696056886586,388.77103066444397
delayed_asymmetric,999,normal,D_R,plasticity off (R then L),0.0,120000,0.30045015694750693,0.44666667548837696,0.3933333333333333,-0.0026881064714482246,0.5783605374218757,0.5006838195867686,2.0745081639416654,0.3325707674472185,387.6825621128082
delayed_asymmetric,999,anomaly,A_L,L then R,0.0001,120000,0.28752525237810184,0.337525358160822,0.43666666666666665,-0.00110491035558403,0.34615281246194346,0.29999999999999993,2.30378159362844,0.26676890187900754,562.8823735713959
delayed_asymmetric,999,anomaly,A_R,R then L,0.0001,120000,0.28147377584605826,0.354176722547895,0.41333333333333333,-0.0011020184837307256,0.3461488150555543,0.2999999999999992,2.3154667953907158,0.29714511169327734,563.2252297401428
delayed_asymmetric,999,anomaly,C,repeat A_L,0.0001,120000,0.28752525237810184,0.337525358160822,0.43666666666666665,-0.00110491035558403,0.34615281246194346,0.29999999999999993,2.30378159362844,0.26676890187900754,562.5212490558624
delayed_asymmetric,999,anomaly,D_L,plasticity off (L then R),0.0,120000,0.3098539040888193,0.445022126063124,0.42333333333333334,-0.0026881064714482246,0.5783605374218757,0.5006838195867686,1.975520666250146,0.31352895675406806,384.4733901023865
delayed_asymmetric,999,anomaly,D_R,plasticity off (R then L),0.0,120000,0.33366782976374837,0.37827029635739035,0.46,-0.0026881064714482246,0.5783605374218757,0.5006838195867686,2.183241712769936,0.3452422969305824,384.1980667114258
