run_id,arm,seed_env,seed_sched,code_sha,config_sha,t_decision,activity_L,activity_R,obs_hash,obs_schema_version,logit_none,logit_L,logit_R,logit_sim,prob_none,prob_L,prob_R,prob_sim,u_draw,chosen_event,payload_hash,applied_ok,expected_payload_hash,hash_match
phase10A3_exact_seed42,exact_replay,42,,b42d468,7bb4d76456c48b56,2500,,,,,,,,,,,,,,L,9e4cd09fdf3acfe2,True,9e4cd09fdf3acfe2,True
phase10A3_exact_seed42,exact_replay,42,,b42d468,7bb4d76456c48b56,2750,,,,,,,,,,,,,,R,5cc514601d9dbfcd,True,5cc514601d9dbfcd,True
phase10A3_exact_seed42,exact_replay,42,,b42d468,7bb4d76456c48b56,3250,,,,,,,,,,,,,,L,9e4cd09fdf3acfe2,True,9e4cd09fdf3acfe2,True
phase10A3_exact_seed42,exact_replay,42,,b42d468,7bb4d76456c48b56,3500,,,,,,,,,,,,,,L,9e4cd09fdf3acfe2,True,9e4cd09fdf3acfe2,True
phase10A3_exact_seed42,exact_replay,42,,b42d468,7bb4d76456c48b56,3750,,,,,,,,,,,,,,L,9e4cd09fdf3acfe2,True,9e4cd09fdf3acfe2,True
phase10A3_exact_seed42,exact_replay,42,,b42d468,7bb4d76456c48b56,4750,,,,,,,,,,,,,,R,5cc514601d9dbfcd,True,5cc514601d9dbfcd,True
phase10A3_exact_seed42,exact_replay,42,,b42d468,7bb4d76456c48b56,5000,,,,,,,,,,,,,,R,5cc514601d9dbfcd,True,5cc514601d9dbfcd,True
phase10A3_exact_seed42,exact_replay,42,,b42d468,7bb4d76456c48b56,5750,,,,,,,,,,,,,,R,5cc514601d9dbfcd,True,5cc514601d9dbfcd,True
phase10A3_exact_seed42,exact_replay,42,,b42d468,7bb4d76456c48b56,6000,,,,,,,,,,,,,,R,5cc514601d9dbfcd,True,5cc514601d9dbfcd,True
phase10A3_exact_seed42,exact_replay,42,,b42d468,7bb4d76456c48b56,6250,,,,,,,,,,,,,,L,9e4cd09fdf3acfe2,True,9e4cd09fdf3acfe2,True
phase10A3_exact_seed42,exact_replay,42,,b42d468,7bb4d76456c48b56,6750,,,,,,,,,,,,,,L,9e4cd09fdf3acfe2,True,9e4cd09fdf3acfe2,True
phase10A3_exact_seed42,exact_replay,42,,b42d468,7bb4d76456c48b56,7000,,,,,,,,,,,,,,R,5cc514601d9dbfcd,True,5cc514601d9dbfcd,True
phase10A3_perturbed_seed42,perturbed_replay,42,,b42d468,7bb4d76456c48b56,2500,,,,,,,,,,,,,,L,9e4cd09fdf3acfe2,True,9e4cd09fdf3acfe2,True
phase10A3_perturbed_seed42,perturbed_replay,42,,b42d468,7bb4d76456c48b56,2750,,,,,,,,,,,,,,R,5cc514601d9dbfcd,True,5cc514601d9dbfcd,True
phase10A3_perturbed_seed42,perturbed_replay,42,,b42d468,7bb4d76456c48b56,3250,,,,,,,,,,,,,,L,9e4cd09fdf3acfe2,True,9e4cd09fdf3acfe2,True
phase10A3_perturbed_seed42,perturbed_replay,42,,b42d468,7bb4d76456c48b56,3500,,,,,,,,,,,,,,L,9e4cd09fdf3acfe2,True,9e4cd09fdf3acfe2,True
phase10A3_perturbed_seed42,perturbed_replay,42,,b42d468,7bb4d76456c48b56,3750,,,,,,,,,,,,,,L,9e4cd09fdf3acfe2,True,9e4cd09fdf3acfe2,True
phase10A3_perturbed_seed42,perturbed_replay,42,,b42d468,7bb4d76456c48b56,4750,,,,,,,,,,,,,,R,5cc514601d9dbfcd,True,5cc514601d9dbfcd,True
phase10A3_perturbed_seed42,perturbed_replay,42,,b42d468,7bb4d76456c48b56,5000,,,,,,,,,,,,,,R,5cc514601d9dbfcd,True,5cc514601d9dbfcd,True
phase10A3_perturbed_seed42,perturbed_replay,42,,b42d468,7bb4d76456c48b56,5750,,,,,,,,,,,,,,R,5cc514601d9dbfcd,True,5cc514601d9dbfcd,True
phase10A3_perturbed_seed42,perturbed_replay,42,,b42d468,7bb4d76456c48b56,6000,,,,,,,,,,,,,,R,5cc514601d9dbfcd,True,5cc514601d9dbfcd,True
phase10A3_perturbed_seed42,perturbed_replay,42,,b42d468,7bb4d76456c48b56,6250,,,,,,,,,,,,,,L,9e4cd09fdf3acfe2,True,9e4cd09fdf3acfe2,True
phase10A3_perturbed_seed42,perturbed_replay,42,,b42d468,7bb4d76456c48b56,6750,,,,,,,,,,,,,,L,9e4cd09fdf3acfe2,True,9e4cd09fdf3acfe2,True
phase10A3_perturbed_seed42,perturbed_replay,42,,b42d468,7bb4d76456c48b56,7000,,,,,,,,,,,,,,R,5cc514601d9dbfcd,True,5cc514601d9dbfcd,True
phase10A3_closed_seed77,closed_loop,77,1077,b42d468,203543c2c3fd9e29,2000,0.3041092,0.39733321,96810dc16aa1f632,1.0,1.0,0.48666607,0.02054598,-3.0,0.50192523,0.3004007,0.18848099,0.00919308,0.92324413,R,265aef72bfd57678,True,,
