run_id,arm,seed_env,seed_sched,code_sha,config_sha,t_decision,activity_L,activity_R,obs_hash,obs_schema_version,logit_none,logit_L,logit_R,logit_sim,prob_none,prob_L,prob_R,prob_sim,u_draw,chosen_event,payload_hash,applied_ok
phase10A1_seed77,closed_loop,77,1077,a18f59c,fd0b6f1b3415f2d3,2000,0.3041092,0.39733321,96810dc16aa1f632,1.0,1.0,0.48666607,0.02054598,-3.0,0.50192523,0.3004007,0.18848099,0.00919308,0.92324413,R,265aef72bfd57678,True
phase10A1_seed77,closed_loop,77,1077,a18f59c,fd0b6f1b3415f2d3,2250,0.3492718,0.41206185,308e959ea17c0862,1.0,1.0,0.56030926,0.246359,-3.0,0.46877907,0.30200418,0.22063077,0.00858599,0.05532331,none,,True
phase10A1_seed77,closed_loop,77,1077,a18f59c,fd0b6f1b3415f2d3,2500,0.33529136,0.39101566,d09561fb8fb68903,1.0,1.0,0.45507832,0.17645678,-3.0,0.49089953,0.28466635,0.21544298,0.00899114,0.23141016,none,,True
phase10A1_seed77,closed_loop,77,1077,a18f59c,fd0b6f1b3415f2d3,2750,0.34222483,0.37973497,9162002853877102,1.0,1.0,0.39867487,0.21112415,-3.0,0.49486435,0.27122766,0.22484423,0.00906376,0.70868191,L,9695592248203d7a,True
phase10A1_seed77,closed_loop,77,1077,a18f59c,fd0b6f1b3415f2d3,3000,0.34228374,0.3782045,834648d9c1229964,1.0,1.0,0.39102252,0.21141871,-3.0,0.49585674,0.26969983,0.2253615,0.00908193,0.97353987,R,265aef72bfd57678,True
phase10A1_seed77,closed_loop,77,1077,a18f59c,fd0b6f1b3415f2d3,3250,0.34090977,0.38545624,b6723c2cf10b61df,1.0,1.0,0.42728122,0.20454883,-3.0,0.49171868,0.27732441,0.22195077,0.00900614,0.746711,L,9695592248203d7a,True
phase10A1_seed77,closed_loop,77,1077,a18f59c,fd0b6f1b3415f2d3,3500,0.33439116,0.39328677,87dc70e1a84d2e42,1.0,1.0,0.46643387,0.17195581,-3.0,0.48978114,0.28726138,0.21398683,0.00897065,0.91316055,R,265aef72bfd57678,True
phase10A1_seed77,closed_loop,77,1077,a18f59c,fd0b6f1b3415f2d3,3750,0.3512447,0.37859493,d30932fea95f5178,1.0,1.0,0.39297464,0.25622351,-3.0,0.49053255,0.2673253,0.23315772,0.00898442,0.47804062,none,,True
phase10A1_seed77,closed_loop,77,1077,a18f59c,fd0b6f1b3415f2d3,4000,0.33532883,0.39671619,9f0972aa9fa9260d,1.0,1.0,0.48358093,0.17664416,-3.0,0.48687268,0.29049419,0.21371574,0.00891738,0.8805202,R,265aef72bfd57678,True
phase10A1_seed77,closed_loop,77,1077,a18f59c,fd0b6f1b3415f2d3,4250,0.31832911,0.38182522,df70308baeab9d2a,1.0,1.0,0.4091261,0.09164557,-3.0,0.50624046,0.28037777,0.20410965,0.00927212,0.50009168,none,,True
