seed,arm,event_type,subgraph,src_region,tgt_region,n_connections,n_tagged,tag_rate,mean_h_tagged,mean_h_untagged,h_tag_ratio,novelty_tag_ratio,mean_phi_tagged,mean_phi_untagged,auc_h_inverted,auc_novelty,auc_surprise,auc_pos,auc_neg,phi_mass,phi_mass_per_conn,tag_delta_mass,event_pair_dW_l1,shuffle_percentile_novelty,shuffle_percentile_surprise,high_h_tag_rate,low_h_tag_rate,within_auc_novelty,best_predictor,group_verdict
123,divergent_warmup_replay,R,RL,R,L,4300,0,0.0,nan,0.124867,nan,nan,nan,0.374233,nan,nan,nan,nan,nan,1609.202554,0.374233,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
123,divergent_warmup_replay,R,RM,R,M,1060,0,0.0,nan,0.118326,nan,nan,nan,0.35283,nan,nan,nan,nan,nan,374.000063,0.35283,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
123,divergent_warmup_replay,R,RR,R,R,4160,68,0.016346,0.164113,0.116348,1.410527,0.780395,0.460762,0.349408,0.355159,0.366637,0.580365,0.424253,0.611491,1461.107741,0.351228,0.000271,0.000271,0.0,0.52,0.024038,0.008654,0.366637,neg,novelty_inverse
123,exact_replay,ALL,ALL,ALL,ALL,35880,225,0.006271,0.15529,0.124998,1.242339,0.888345,0.434436,0.375062,0.399442,0.427814,0.548909,0.44927,0.537084,13470.584418,0.375434,0.0007,0.0007,0.0,0.99,0.008027,0.004515,0.427814,surprise,novelty_inverse_surprise_pass
123,exact_replay,ALL,LL,L,L,7168,40,0.00558,0.184556,0.137505,1.34218,0.90142,0.475753,0.417336,0.339306,0.44234,0.485746,0.396479,0.466618,2993.799619,0.417662,6.7e-05,6.7e-05,0.14,0.48,0.008371,0.00279,0.44234,surprise,novelty_inverse
123,exact_replay,ALL,LM,L,M,2056,0,0.0,nan,0.123393,nan,nan,nan,0.373689,nan,nan,nan,nan,nan,768.305119,0.373689,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
123,exact_replay,ALL,LR,L,R,7000,48,0.006857,0.15192,0.124083,1.224341,0.900401,0.427675,0.370389,0.403811,0.439319,0.594493,0.448195,0.549072,2595.471125,0.370782,0.000129,0.000129,0.06,1.0,0.008571,0.005143,0.439319,surprise,novelty_inverse_surprise_pass
123,exact_replay,ALL,ML,M,L,2016,0,0.0,nan,0.125097,nan,nan,nan,0.376348,nan,nan,nan,nan,nan,758.717196,0.376348,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
123,exact_replay,ALL,MM,M,M,584,0,0.0,nan,0.120012,nan,nan,nan,0.363186,nan,nan,nan,nan,nan,212.100764,0.363186,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
123,exact_replay,ALL,MR,M,R,1824,0,0.0,nan,0.11994,nan,nan,nan,0.359011,nan,nan,nan,nan,nan,654.836122,0.359011,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
123,exact_replay,ALL,RL,R,L,6880,69,0.010029,0.137311,0.123836,1.108817,0.983272,0.387544,0.371197,0.458402,0.480378,0.528872,0.504418,0.496339,2554.962857,0.371361,0.000233,0.000233,0.34,0.66,0.011047,0.009012,0.480378,surprise,null
123,exact_replay,ALL,RM,R,M,1696,0,0.0,nan,0.118888,nan,nan,nan,0.355592,nan,nan,nan,nan,nan,603.084474,0.355592,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
123,exact_replay,ALL,RR,R,R,6656,68,0.010216,0.158698,0.117522,1.350376,0.770799,0.462486,0.348794,0.367138,0.3552,0.575119,0.44152,0.615605,2329.307141,0.349956,0.000271,0.000271,0.0,0.51,0.014123,0.00631,0.3552,neg,novelty_inverse
123,exact_replay,L,ALL,ALL,ALL,13455,109,0.008101,0.154649,0.135122,1.144508,0.930275,0.419914,0.378811,0.434337,0.448092,0.530734,0.505931,0.507445,5101.381748,0.379144,0.0003,0.0003,0.07,0.86,0.009364,0.006838,0.448092,surprise,novelty_inverse
123,exact_replay,L,LL,L,L,2688,40,0.014881,0.184556,0.148389,1.243727,0.897922,0.475753,0.421251,0.378918,0.440153,0.505457,0.448584,0.491418,1134.502885,0.422062,6.7e-05,6.7e-05,0.13,0.86,0.020833,0.008929,0.440153,surprise,novelty_inverse
123,exact_replay,L,LM,L,M,771,0,0.0,nan,0.133404,nan,nan,nan,0.376894,nan,nan,nan,nan,nan,290.584898,0.376894,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
123,exact_replay,L,LR,L,R,2625,0,0.0,nan,0.134199,nan,nan,nan,0.37399,nan,nan,nan,nan,nan,981.723648,0.37399,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
123,exact_replay,L,ML,M,L,756,0,0.0,nan,0.135136,nan,nan,nan,0.378369,nan,nan,nan,nan,nan,286.047026,0.378369,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
123,exact_replay,L,MM,M,M,219,0,0.0,nan,0.129755,nan,nan,nan,0.368309,nan,nan,nan,nan,nan,80.659777,0.368309,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
123,exact_replay,L,MR,M,R,684,0,0.0,nan,0.129686,nan,nan,nan,0.36456,nan,nan,nan,nan,nan,249.35936,0.36456,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
123,exact_replay,L,RL,R,L,2580,69,0.026744,0.137311,0.133828,1.026026,0.979965,0.387544,0.376313,0.488021,0.477216,0.540105,0.533508,0.514859,971.663437,0.376614,0.000233,0.000233,0.26,0.77,0.027132,0.026357,0.477216,surprise,novelty_inverse
