arm,seed_env,event_count,L_count,R_count,simultaneous_count,fast_weight_l1,slow_weight_l1,capture_count,tag_mass_final,n_tagged_connections,saturation_frac,max_abs_weight,h_l1_final,h_mean_final,h_max_final,nan_hit,trace_hash,wall_time_s,h_divergence_at_warmup_end,h_divergence_at_final,closed_vs_exact_h_l1,closed_vs_divergent_h_l1,divergent_vs_matched_ctrl_h_l1,h1_threshold,h1_pass,hard_pass,verdict,n_expected,n_replayed,hash_mismatches,warmup_weight_delta_l1,replay_exact,warmup_act_div,warmup_energy_div
closed_loop,42,12,6,6,0,1848.58920186,0.00039344,10,0.00069106,42,0.0,0.8293613,55.14641585,0.18382139,0.47248619,False,7703cc1bad4f5ff5,53.0,0.0296431,0.01740187,2.41362624,5.22056162,4.33857362,0.55146416,True,False,PROTOCOL_FAIL: check P-checks above,,,,,,,
exact_replay,42,,,,,1943.06629817,0.00039344,10,0.00069106,42,0.0,0.87158759,55.71782757,0.18572609,0.47505807,False,7703cc1bad4f5ff5,53.0,0.0296431,0.01740187,2.41362624,5.22056162,4.33857362,0.55146416,True,False,PROTOCOL_FAIL: check P-checks above,12,12,0,108.38559672,True,,
divergent_warmup_replay,42,,,,,1943.05870889,0.00039344,10,0.00069106,42,0.0,0.87156492,51.33421966,0.17111407,0.43345401,False,7703cc1bad4f5ff5,66.1,0.0296431,0.01740187,2.41362624,5.22056162,4.33857362,0.55146416,True,False,PROTOCOL_FAIL: check P-checks above,12,12,0,0.0,True,0.05639879,0.04086894
matched_warmup_control,42,,,,,1943.05945035,0.0,0,0.0,0,0.0,0.87178222,51.28854297,0.17096181,0.42999556,False,,50.6,0.0296431,0.01740187,2.41362624,5.22056162,4.33857362,0.55146416,True,False,PROTOCOL_FAIL: check P-checks above,,,,0.0,,0.36611996,
