anomaly_variant,seed,condition,group,label,plasticity_rate,final_step,mean_activation,mean_energy,hard_active_ratio,weight_mean,weight_std,weight_abs_mean,activation_entropy,post_anomaly_mean_activation,elapsed_sec
delayed_asymmetric,42,normal,A_L,L then R,0.0001,120000,0.31003753809611434,0.35557737951584545,0.4666666666666667,0.0008494509230790599,0.34537848617785294,0.30000000000000104,2.346510488858129,0.3006847829137383,560.8194892406464
delayed_asymmetric,42,normal,A_R,R then L,0.0001,120000,0.29860714231928764,0.3313728805075431,0.4533333333333333,0.000856537952517578,0.3453735694209986,0.3000000000000003,2.3658890262185364,0.3164406414999362,567.1039741039276
delayed_asymmetric,42,normal,C,repeat A_L,0.0001,120000,0.31003753809611434,0.35557737951584545,0.4666666666666667,0.0008494509230790599,0.34537848617785294,0.30000000000000104,2.346510488858129,0.3006847829137383,567.3640949726105
delayed_asymmetric,42,normal,D_L,plasticity off (L then R),0.0,120000,0.37329798110711,0.3769530188278547,0.5066666666666667,0.00040026882538335466,0.5729731432465665,0.4969560404248361,2.166226911075046,0.3757584550619935,391.1230630874634
delayed_asymmetric,42,normal,D_R,plasticity off (R then L),0.0,120000,0.368407983997408,0.3442817522647409,0.4866666666666667,0.00040026882538335466,0.5729731432465665,0.4969560404248361,2.354089232438387,0.38132524622951264,389.40258383750916
delayed_asymmetric,42,anomaly,A_L,L then R,0.0001,120000,0.31458848778334003,0.34109268939921006,0.4533333333333333,0.0008530453425925169,0.34537540480652995,0.2999999999999994,2.4036158640771665,0.3169543283397126,565.5776567459106
delayed_asymmetric,42,anomaly,A_R,R then L,0.0001,120000,0.293880127720654,0.3707929514773529,0.45,0.0008547606284778702,0.3453724421052914,0.2999999999999997,2.3220489285407,0.304012832108968,565.5928843021393
delayed_asymmetric,42,anomaly,C,repeat A_L,0.0001,120000,0.31458848778334003,0.34109268939921006,0.4533333333333333,0.0008530453425925169,0.34537540480652995,0.2999999999999994,2.4036158640771665,0.3169543283397126,565.8246047496796
delayed_asymmetric,42,anomaly,D_L,plasticity off (L then R),0.0,120000,0.3673091596081357,0.3617918445978743,0.49,0.00040026882538335466,0.5729731432465665,0.4969560404248361,2.3183995732227816,0.37514085774701195,392.34732723236084
delayed_asymmetric,42,anomaly,D_R,plasticity off (R then L),0.0,120000,0.36732366995399723,0.3982186034526002,0.49333333333333335,0.00040026882538335466,0.5729731432465665,0.4969560404248361,2.133208230321521,0.3601029912738272,388.91885590553284
delayed_asymmetric,77,normal,A_L,L then R,0.0001,120000,0.32004751569466655,0.3328856006816648,0.48333333333333334,0.004689161377862304,0.345770379609568,0.2999999999999996,2.4058179365048815,0.29957348163212977,563.3690803050995
delayed_asymmetric,77,normal,A_R,R then L,0.0001,120000,0.2971761820451255,0.36393225746934627,0.43666666666666665,0.004687669162296403,0.34577000712455164,0.3000000000000008,2.3071567059699842,0.2869855840691385,570.8762390613556
delayed_asymmetric,77,normal,C,repeat A_L,0.0001,120000,0.32004751569466655,0.3328856006816648,0.48333333333333334,0.004689161377862304,0.345770379609568,0.2999999999999996,2.4058179365048815,0.29957348163212977,568.2281000614166
delayed_asymmetric,77,normal,D_L,plasticity off (L then R),0.0,120000,0.37113381999731115,0.3457695108319157,0.49333333333333335,0.00688887870911202,0.580340173609918,0.5028209910834263,2.3139869499906647,0.3927501139861015,391.85536670684814
