seed,arm,step,mean_activation,mean_energy,weight_abs_mean,left_activation_mean,right_activation_mean,lr_imbalance,event_count_L,event_count_R,event_L_fraction,final_weight_l1
42,open_loop,2000,0.36919260773520224,0.36953227061209654,0.47279192876508724,0.38515573630707145,0.35301520898116034,0.032140527325911106,38,61,0.3838383838383838,0.19520847186702747
42,open_loop,4000,0.35932427549731794,0.3729743599364652,0.44978005440180724,0.3711109655262032,0.3473793748640181,0.02373159066218511,38,61,0.3838383838383838,0.19520847186702747
42,open_loop,6000,0.3571470952823471,0.3499174883381131,0.42788875244983315,0.38016279808907966,0.33382245686747053,0.04634034122160913,38,61,0.3838383838383838,0.19520847186702747
42,open_loop,8000,0.3447900610375774,0.37865209726193966,0.407062372765706,0.3650811606149834,0.3242265977074546,0.04085456290752881,38,61,0.3838383838383838,0.19520847186702747
42,open_loop,10000,0.3397074797124927,0.3685616630843943,0.3872495046754798,0.3623285924748583,0.3167827278526457,0.045545864622212606,38,61,0.3838383838383838,0.19520847186702747
42,open_loop,12000,0.3311529850463645,0.3762093403400842,0.3684041457189273,0.36464339612563135,0.2972130382479129,0.06743035787771845,38,61,0.3838383838383838,0.19520847186702747
42,open_loop,14000,0.3366936358662176,0.35026446276078393,0.3504747365583709,0.36229935234671895,0.3107442184933605,0.05155513385335847,38,61,0.3838383838383838,0.19520847186702747
42,open_loop,16000,0.342196894036114,0.33897556090538167,0.3334152962093913,0.3657805130538959,0.3182967163737981,0.047483796680097834,38,61,0.3838383838383838,0.19520847186702747
42,open_loop,18000,0.3312597649838543,0.3505986921702955,0.31718687673006063,0.3550633126138906,0.3071367066473746,0.047926605966516045,38,61,0.3838383838383838,0.19520847186702747
42,open_loop,20000,0.3032290502009133,0.35953998622481836,0.30174992872618983,0.326354486313727,0.2797932055496725,0.04656128076405447,38,61,0.3838383838383838,0.19520847186702747
42,closed_loop,2000,0.36919260773520224,0.36953227061209654,0.47279192876508724,0.38515573630707145,0.35301520898116034,0.032140527325911106,41,58,0.41414141414141414,0.19520165483618387
42,closed_loop,4000,0.35575502559879785,0.37938280566166555,0.4497797426775587,0.37054578425742235,0.3407657332669032,0.02978005099051917,41,58,0.41414141414141414,0.19520165483618387
42,closed_loop,6000,0.3575221212152124,0.3398281479428211,0.4278897646474097,0.38520742517370976,0.32946520243848004,0.05574222273522972,41,58,0.41414141414141414,0.19520165483618387
42,closed_loop,8000,0.3490495619052492,0.36604029361316737,0.40706432554500865,0.36874743920947145,0.3290872835633864,0.03966015564608505,41,58,0.41414141414141414,0.19520165483618387
42,closed_loop,10000,0.33693879613764377,0.39662796899134534,0.3872528824443546,0.35499816529570766,0.3186370193398743,0.03636114595583334,41,58,0.41414141414141414,0.19520165483618387
42,closed_loop,12000,0.3450608238548859,0.3597795933690617,0.3684061256210754,0.36926671255429394,0.3205300238977678,0.04873668865652614,41,58,0.41414141414141414,0.19520165483618387
42,closed_loop,14000,0.32768149780040684,0.31485771162389276,0.35047697129970345,0.3493481555630679,0.30572401241677033,0.04362414314629759,41,58,0.41414141414141414,0.19520165483618387
42,closed_loop,16000,0.3123594471197448,0.3455265910188997,0.33341985479834735,0.32770700475268877,0.29680588200179475,0.030901122750894017,41,58,0.41414141414141414,0.19520165483618387
42,closed_loop,18000,0.3201676393339217,0.3459417968117904,0.3171928364822437,0.34457756664594563,0.2954300619908638,0.04914750465508183,41,58,0.41414141414141414,0.19520165483618387
42,closed_loop,20000,0.30677620125874533,0.33013079005511153,0.3017567904489779,0.3311818626862276,0.2820429470604242,0.049138915625803414,41,58,0.41414141414141414,0.19520165483618387
42,shuffled_feedback,2000,0.36919260773520224,0.36953227061209654,0.47279192876508724,0.38515573630707145,0.35301520898116034,0.032140527325911106,41,58,0.41414141414141414,0.19520885053010217
42,shuffled_feedback,4000,0.35932427549731794,0.3729743599364652,0.44978005440180724,0.3711109655262032,0.3473793748640181,0.02373159066218511,41,58,0.41414141414141414,0.19520885053010217
