seed,arm,step,mean_activation,mean_energy,weight_abs_mean,left_activation_mean,right_activation_mean,lr_imbalance,event_count_L,event_count_R,event_L_fraction,final_weight_l1
42,open_loop,12000,0.33405965988744063,0.35574463062329215,0.368401513398587,0.3666288883657432,0.30105326055708037,0.06557562780866283,278,321,0.46410684474123537,0.19700309805358376
42,open_loop,24000,0.3136993839986687,0.35536925008941994,0.2999999999999992,0.3391265725549785,0.28793089089797874,0.05119568165699978,278,321,0.46410684474123537,0.19700309805358376
42,open_loop,36000,0.3125338374209704,0.34618224328414304,0.2999999999999997,0.3305810522972422,0.29424437804971504,0.03633667424752718,278,321,0.46410684474123537,0.19700309805358376
42,open_loop,48000,0.2861169826431964,0.3678155456520001,0.2999999999999992,0.30280667543535,0.2692032671290005,0.0336034083063495,278,321,0.46410684474123537,0.19700309805358376
42,open_loop,60000,0.29969979043371875,0.3435166432791275,0.299999999999999,0.30972823850315373,0.28953673232308325,0.020191506180070484,278,321,0.46410684474123537,0.19700309805358376
42,open_loop,72000,0.30979864561330306,0.3638349064775184,0.3000000000000006,0.3392818814531461,0.2799196616413816,0.05936221981176448,278,321,0.46410684474123537,0.19700309805358376
42,open_loop,84000,0.29429744771194566,0.3451995350409925,0.2999999999999996,0.3080744973902153,0.280335471192357,0.027739026197858285,278,321,0.46410684474123537,0.19700309805358376
42,open_loop,96000,0.30876467432411747,0.3318958329899171,0.2999999999999996,0.31463344072132493,0.30281713253902814,0.011816308182296786,278,321,0.46410684474123537,0.19700309805358376
42,open_loop,108000,0.3003835721157237,0.3553528403465715,0.2999999999999999,0.3198960917325846,0.2806091394838715,0.03928695224871309,278,321,0.46410684474123537,0.19700309805358376
42,open_loop,120000,0.3241351741378613,0.3489136843665058,0.29999999999999877,0.34278379598516534,0.30523623521878124,0.0375475607663841,278,321,0.46410684474123537,0.19700309805358376
42,closed_loop,12000,0.35017280904551507,0.3629410433054067,0.3684037602981019,0.37253762153661035,0.32750779772903593,0.04502982380757442,276,323,0.4607679465776294,0.19700265857702437
42,closed_loop,24000,0.3172231971554931,0.3424503940919431,0.2999999999999989,0.34075385337444464,0.29337669320205895,0.04737716017238569,276,323,0.4607679465776294,0.19700265857702437
42,closed_loop,36000,0.31561855153291174,0.33935919812611665,0.2999999999999999,0.3443313197034778,0.28652037707817707,0.05781094262530073,276,323,0.4607679465776294,0.19700265857702437
42,closed_loop,48000,0.2920717548779814,0.3618810326898489,0.2999999999999999,0.2994417681316914,0.2846028152718727,0.014838952859818677,276,323,0.4607679465776294,0.19700265857702437
42,closed_loop,60000,0.315696344732826,0.34524175588082634,0.2999999999999997,0.334303993648077,0.29683892871804146,0.03746506493003554,276,323,0.4607679465776294,0.19700265857702437
42,closed_loop,72000,0.30758469973721214,0.3405399567757926,0.29999999999999966,0.32318297364726517,0.2917770530229973,0.03140592062426789,276,323,0.4607679465776294,0.19700265857702437
42,closed_loop,84000,0.3101766026416004,0.3373531423546336,0.2999999999999997,0.3277879161180488,0.2923288956956694,0.03545902042237942,276,323,0.4607679465776294,0.19700265857702437
42,closed_loop,96000,0.314922550099632,0.342255728647119,0.2999999999999998,0.3336345325565312,0.29595940009297583,0.03767513246355536,276,323,0.4607679465776294,0.19700265857702437
42,closed_loop,108000,0.31159895843611785,0.34209245595754134,0.299999999999999,0.3308990054730718,0.2920398503651108,0.03885915510796095,276,323,0.4607679465776294,0.19700265857702437
42,closed_loop,120000,0.298434249160962,0.36064345928396574,0.3000000000000002,0.31008306323820617,0.2866290751632178,0.023453988074988386,276,323,0.4607679465776294,0.19700265857702437
42,shuffled_feedback,12000,0.348926623142524,0.36161431353053264,0.36840541074797,0.3807884348670738,0.3166371360928126,0.06415129877426123,269,330,0.44908180300500833,0.19700239543787296
42,shuffled_feedback,24000,0.31807082064217185,0.34586681318779205,0.29999999999999943,0.33723755650727105,0.2986468131547224,0.03859074335254864,269,330,0.44908180300500833,0.19700239543787296
42,shuffled_feedback,36000,0.300186480598632,0.3176077335474814,0.2999999999999999,0.31651547994768575,0.28363830005026214,0.032877179897423614,269,330,0.44908180300500833,0.19700239543787296
42,shuffled_feedback,48000,0.3054282326044462,0.3315637291535567,0.30000000000000043,0.32645741809429973,0.2841167761684201,0.04234064192587961,269,330,0.44908180300500833,0.19700239543787296
42,shuffled_feedback,60000,0.2909490266856327,0.3478852279224033,0.30000000000000016,0.30780276137780593,0.2738690673667189,0.033933694011087034,269,330,0.44908180300500833,0.19700239543787296
42,shuffled_feedback,72000,0.30602020122573775,0.338820339811528,0.3000000000000003,0.3361603753646289,0.2754754609910225,0.0606849143736064,269,330,0.44908180300500833,0.19700239543787296
42,shuffled_feedback,84000,0.278008079941427,0.36730617991694886,0.3000000000000001,0.28798961790523253,0.26789256160226843,0.0200970563029641,269,330,0.44908180300500833,0.19700239543787296
42,shuffled_feedback,96000,0.30158462895728827,0.3434727895123812,0.2999999999999996,0.3179025067270727,0.2850477192711309,0.032854787455941836,269,330,0.44908180300500833,0.19700239543787296
42,shuffled_feedback,108000,0.28472159615428116,0.3598900291206014,0.2999999999999992,0.2998189204829522,0.2694216231769031,0.03039729730604912,269,330,0.44908180300500833,0.19700239543787296
42,shuffled_feedback,120000,0.30917222406656675,0.34010669088505563,0.3000000000000011,0.3245119256472943,0.2936266204511984,0.03088530519609589,269,330,0.44908180300500833,0.19700239543787296
