seed,gap,tau_trace,mode,arm,num_pairs,event_count_L,event_count_R,schedule_ok,lr_weight_l1,rl_weight_l1,DI,trace_mass_before_second_event,matched_overlap,contamination_overlap,lr_update_l1,rl_update_l1,saturation_frac,n_event_pair_updates,runtime_s
42,500,0,OFF,L_then_R,5,5,5,True,0.06698511299672309,0.06628904624621239,0.005222818545316602,0,0,0,0.0,0.0,0,0,1638.2240011692047
42,500,0,OFF,R_then_L,5,5,5,True,0.06698332978793926,0.06628305769558866,0.005254679034740864,0,0,0,0.0,0.0,0,0,1638.2240011692047
42,500,0,OFF,simultaneous,5,5,5,True,0.0669875144617868,0.06628685767199961,0.005257250726933322,0,0,0,0.0,0.0,0,0,1638.2240011692047
42,500,0,OFF,separated_control,5,5,5,True,0.06698708458753438,0.06628779703632127,0.005246956836033634,0,0,0,0.0,0.0,0,0,1638.2240011692047
42,500,80,event_pair,L_then_R,5,5,5,True,0.06698593706990308,0.06629026961869802,0.005219742281720688,8.83206653806055e-05,1.2186315520108034e-06,0.9989575368065609,1.710927580167443e-11,1.9925033845069606e-13,0.0,9,1638.2240011692047
42,500,80,event_pair,R_then_L,5,5,5,True,0.06698333520575936,0.0662830629968294,0.005254679486873839,0.00012006860878072129,1.2186315520108032e-06,0.9983034017134417,5.035322853119695e-12,6.770070615225166e-13,0.0,9,1638.2240011692047
42,500,80,event_pair,simultaneous,5,5,5,True,0.06698751446153124,0.06628685767195959,0.005257250725327746,2.0563432209369138e-07,1.370960496022845e-06,0.0,9.723125082850004e-15,3.920475055707584e-16,0.0,4,1638.2240011692047
42,500,80,event_pair,separated_control,5,5,5,True,0.06698705446073393,0.06628779371013893,0.0052467570602160495,8.517462674687773e-05,1.2186315520108037e-06,0.998784698302664,1.0377311857046045e-11,3.285149929865838e-13,0.0,9,1638.2240011692047
42,500,200,event_pair,L_then_R,5,5,5,True,0.06698417237308289,0.06628876242228296,0.005217938299794203,0.005129529102172242,0.004028379326350754,0.9408363568489772,7.301425991590449e-10,1.5490133481455004e-11,0.0,9,1638.2240011692047
42,500,200,event_pair,R_then_L,5,5,5,True,0.06698331095647374,0.06628311142026266,0.005254133214639744,0.0060200937968242175,0.004028379326350754,0.930100199406298,3.9145446086019664e-10,2.8892258377433144e-11,0.0,9,1638.2240011692047
42,500,200,event_pair,simultaneous,5,5,5,True,0.06698751361911039,0.06628685758575656,0.00525724508781613,0.0006797567735247958,0.004531926742179938,0.0,3.2132534480422414e-11,1.2715020009101963e-12,0.0,4,1638.2240011692047
42,500,200,event_pair,separated_control,5,5,5,True,0.06698664614941276,0.06628808021380003,0.005241548451607286,0.0052027225112098,0.004028379326350753,0.9364443962504979,5.977902027554105e-10,1.8919693936525483e-11,0.0,9,1638.2240011692047
42,500,500,event_pair,L_then_R,5,5,5,True,0.06698562227353848,0.06629012982993791,0.005218446961419962,0.03518376985229672,0.112098809562928,0.7678568136654995,3.58939468599051e-09,9.61797620713245e-11,0.0,9,1638.2240011692047
42,500,500,event_pair,R_then_L,5,5,5,True,0.06698340759000841,0.06628385558332525,0.005249241186622409,0.03823081529013163,0.112098809562928,0.7593521976642177,2.430581484344496e-09,1.420348162001206e-10,0.0,9,1638.2240011692047
42,500,500,event_pair,simultaneous,5,5,5,True,0.06698747589236635,0.06628685865732262,0.00525695541760342,0.018915777023782613,0.12611116075927742,0.0,8.941609466739386e-10,3.5382568402964054e-11,0.0,4,1638.2240011692047
42,500,500,event_pair,separated_control,5,5,5,True,0.06698696069028566,0.06628826605931731,0.005242494408025351,0.03546706946030471,0.11209880956292796,0.7645916394209644,3.31342888196251e-09,1.0419032650532678e-10,0.0,9,1638.2240011692047
42,500,1000,event_pair,L_then_R,5,5,5,True,0.06698553878986589,0.06628897679946616,0.005226520519053099,0.0862489089950847,0.39910780875741836,0.6765897285141382,7.306465947889973e-09,2.0769487692195998e-10,0.0,9,1638.2240011692047
42,500,1000,event_pair,R_then_L,5,5,5,True,0.06698360373763952,0.06628349732166182,0.005253407708335421,0.09165969576878998,0.39910780875741836,0.670793909503065,5.248705046978497e-09,2.891219017669977e-10,0.0,9,1638.2240011692047
42,500,1000,event_pair,simultaneous,5,5,5,True,0.06698722123385126,0.06628666581046412,0.0052565092751360645,0.06734624879908145,0.44899628485559695,0.0,3.1835005066122024e-09,1.2597333419461787e-10,0.0,4,1638.2240011692047
42,500,1000,event_pair,separated_control,5,5,5,True,0.06698751696753649,0.066289234641824,0.005239340824827029,0.08656735999465864,0.3991078087574183,0.6755078362916785,7.019975321528871e-09,2.1617108450500133e-10,0.0,9,1638.2240011692047
42,500,1500,event_pair,L_then_R,5,5,5,True,0.06698714804957939,0.06629026741453337,0.0052287976369743226,0.12706444583056828,0.654350512167537,0.6469027517060058,1.009039469687667e-08,2.882462202952185e-10,0.0,9,1638.2240011692047
42,500,1500,event_pair,R_then_L,5,5,5,True,0.0669835794011653,0.06628336394290123,0.005254232150061475,0.13444284657052152,0.654350512167537,0.64141818622573,7.28433607703749e-09,3.992839010813487e-10,0.0,9,1638.2240011692047
42,500,1500,event_pair,simultaneous,5,5,5,True,0.0669870297889133,0.06628658784062744,0.005255668456660477,0.11041641237600121,0.7361443261942199,0.0,5.2194548526979245e-09,2.0653743992848916e-10,0.0,4,1638.2240011692047
42,500,1500,event_pair,separated_control,5,5,5,True,0.06698815333159547,0.06628942239005317,0.0052426744540759055,0.1273495830799194,0.6543505121675368,0.6463697475204959,9.824873503302967e-09,2.9603617821005734e-10,0.0,9,1638.2240011692047
