condition,group,label,plasticity_rate,final_step,mean_activation,mean_energy,hard_active_ratio,weight_mean,weight_std,weight_abs_mean,activation_entropy,elapsed_sec,manip_lr_abs_weight_mean_after,manip_lr_connection_count,manip_lr_abs_weight_mean_before
lr_low,A_L,L then R,0.0001,120000,0.28140077763705656,0.36379840730454166,0.43,-0.001117967540823725,0.3462341481119879,0.2999999999999992,2.287204940369933,568.875953912735,0.25636448655893873,6,0.5127289731178775
lr_low,A_R,R then L,0.0001,120000,0.25424003141703383,0.3705527689807971,0.37333333333333335,-0.0011146303862439328,0.34623350084179394,0.300000000000001,2.3265671308848908,732.5890717506409,0.25636448655893873,6,0.5127289731178775
lr_low,C,repeat A_L,0.0001,120000,0.28140077763705656,0.36379840730454166,0.43,-0.001117967540823725,0.3462341481119879,0.2999999999999992,2.287204940369933,552.2886519432068,0.25636448655893873,6,0.5127289731178775
lr_low,D_L,plasticity off (L then R),0.0,120000,0.32037477164179207,0.3907412517034704,0.43333333333333335,-0.002697036523539618,0.5780981444613097,0.5003408570629438,2.1540560166694402,396.58351707458496,0.25636448655893873,6,0.5127289731178775
lr_low,D_R,plasticity off (R then L),0.0,120000,0.33054577033655874,0.39278937703718536,0.44666666666666666,-0.002697036523539618,0.5780981444613097,0.5003408570629438,2.2251708324751065,395.06900429725647,0.25636448655893873,6,0.5127289731178775
baseline,A_L,L then R,0.0001,120000,0.2796328052603292,0.3722310714360189,0.4166666666666667,-0.0011056885848352335,0.34615398783037304,0.3000000000000001,2.293319534733285,524.531786441803,0.5127289731178775,6,0.5127289731178775
baseline,A_R,R then L,0.0001,120000,0.26696669007548013,0.3832076508969607,0.3933333333333333,-0.0011038740201393883,0.3461507372379376,0.3000000000000012,2.235495910874242,467.47165060043335,0.5127289731178775,6,0.5127289731178775
baseline,C,repeat A_L,0.0001,120000,0.2796328052603292,0.3722310714360189,0.4166666666666667,-0.0011056885848352335,0.34615398783037304,0.3000000000000001,2.293319534733285,502.4799602031708,0.5127289731178775,6,0.5127289731178775
baseline,D_L,plasticity off (L then R),0.0,120000,0.3402186822302758,0.38612918548432373,0.47,-0.0026881064714482246,0.5783605374218757,0.5006838195867686,2.2387703104580132,425.5864312648773,0.5127289731178775,6,0.5127289731178775
baseline,D_R,plasticity off (R then L),0.0,120000,0.3383337819301003,0.41129127431525947,0.4633333333333333,-0.0026881064714482246,0.5783605374218757,0.5006838195867686,2.075371545085608,481.8963005542755,0.5127289731178775,6,0.5127289731178775
lr_high,A_L,L then R,0.0001,120000,0.2739407773335786,0.3702927297201105,0.43333333333333335,-0.0010876888849962536,0.34616630794106285,0.3000000000000006,2.2828392550849,703.7231600284576,0.8366677956678865,6,0.5127289731178775
lr_high,A_R,R then L,0.0001,120000,0.27056349449040284,0.36284324493920433,0.39,-0.0010872635765847105,0.3461603904786057,0.3000000000000004,2.292976664009935,705.6084268093109,0.8366677956678865,6,0.5127289731178775
lr_high,C,repeat A_L,0.0001,120000,0.2739407773335786,0.3702927297201105,0.43333333333333335,-0.0010876888849962536,0.34616630794106285,0.3000000000000006,2.2828392550849,696.0364873409271,0.8366677956678865,6,0.5127289731178775
lr_high,D_L,plasticity off (L then R),0.0,120000,0.321936971379864,0.41492721213843986,0.44333333333333336,-0.002663450178625078,0.5788854941972389,0.5011171825600796,2.1693656140365514,526.0701680183411,0.8366677956678865,6,0.5127289731178775
lr_high,D_R,plasticity off (R then L),0.0,120000,0.31782236404724595,0.4171348835680609,0.43,-0.002663450178625078,0.5788854941972389,0.5011171825600796,2.1365022050089877,515.1470572948456,0.8366677956678865,6,0.5127289731178775
