run_id,arm,seed_env,epsilon,code_sha,config_sha,t_decision,activity_L,activity_R,obs_hash,chosen_event,payload_hash,expected_payload_hash,hash_match
phase10A2B2_eps0.02_closed_seed42,closed_loop,42,0.02,c3d596d,7bb4d76456c48b56,6500,0.37542656,0.32406319,b011d664de9d4fe5,none,,,
phase10A2B2_eps0.02_closed_seed42,closed_loop,42,0.02,c3d596d,7bb4d76456c48b56,6750,0.3749604,0.32447006,75eff8078f002a32,L,9e4cd09fdf3acfe2,,
phase10A2B2_eps0.02_closed_seed42,closed_loop,42,0.02,c3d596d,7bb4d76456c48b56,7000,0.33552082,0.33257921,0a378dd82602e4bc,R,5cc514601d9dbfcd,,
phase10A2B2_eps0.02_closed_seed42,closed_loop,42,0.02,c3d596d,7bb4d76456c48b56,7250,0.34205663,0.31261581,611e858cfeb7aac0,none,,,
phase10A2B2_eps0.02_exact_seed42,exact_replay,42,0.02,c3d596d,7bb4d76456c48b56,2500,,,,L,9e4cd09fdf3acfe2,9e4cd09fdf3acfe2,True
phase10A2B2_eps0.02_exact_seed42,exact_replay,42,0.02,c3d596d,7bb4d76456c48b56,2750,,,,R,5cc514601d9dbfcd,5cc514601d9dbfcd,True
phase10A2B2_eps0.02_exact_seed42,exact_replay,42,0.02,c3d596d,7bb4d76456c48b56,3250,,,,L,9e4cd09fdf3acfe2,9e4cd09fdf3acfe2,True
phase10A2B2_eps0.02_exact_seed42,exact_replay,42,0.02,c3d596d,7bb4d76456c48b56,3500,,,,L,9e4cd09fdf3acfe2,9e4cd09fdf3acfe2,True
phase10A2B2_eps0.02_exact_seed42,exact_replay,42,0.02,c3d596d,7bb4d76456c48b56,3750,,,,L,9e4cd09fdf3acfe2,9e4cd09fdf3acfe2,True
phase10A2B2_eps0.02_exact_seed42,exact_replay,42,0.02,c3d596d,7bb4d76456c48b56,4750,,,,R,5cc514601d9dbfcd,5cc514601d9dbfcd,True
phase10A2B2_eps0.02_exact_seed42,exact_replay,42,0.02,c3d596d,7bb4d76456c48b56,5000,,,,R,5cc514601d9dbfcd,5cc514601d9dbfcd,True
