connection_count,weight_abs_mean,weight_std,excitatory_ratio,inhibitory_ratio,in_degree_mean,in_degree_std,in_degree_max,out_degree_mean,out_degree_std,out_degree_max,left_unit_count,right_unit_count,spatial_x_mean,spatial_x_std,spatial_y_mean,spatial_y_std,spatial_z_mean,spatial_z_std,L_affected_count,R_affected_count,LR_overlap_count,L_to_R_abs_weight_mean,R_to_L_abs_weight_mean,L_to_R_connection_count,R_to_L_connection_count,threshold_mean,threshold_std,time_constant_mean,time_constant_std,seed,delta_weight_l1
4485,0.4948224686415522,0.5714605502061916,0.48539576365663323,0.5146042363433668,14.95,3.6461166556579983,28,14.95,3.7050641020095725,25,154,146,-0.02009591826790027,0.5671776245731678,-0.005677518578794697,0.5761940807770587,-0.012629452276774806,0.5520452218922135,27,23,0,0.5282165229251194,0.4606666295310665,42,35,0.30235778869724944,0.05998482304669148,0.9992518624547447,0.11057985572857516,1,3.484016870702495e-05
4485,0.4971234695556223,0.5755188353147089,0.4938684503901895,0.5061315496098104,14.95,3.615821713893906,25,14.95,3.7408777936022806,27,142,158,0.005954343235986384,0.5988063268759842,-0.05495406856657086,0.5866636589417054,-0.008429054592557994,0.5787555045834407,20,19,0,0.47970374885013717,0.5521106462877122,17,27,0.30163023351664625,0.05679699895751709,1.0064620285961354,0.11562540706286788,2,6.266055549594128e-05
4485,0.4993378186720112,0.5763708186769825,0.5101449275362319,0.48985507246376814,14.95,3.7426594822398687,30,14.95,4.159427043876756,28,140,160,0.06877807432651227,0.5702685438297527,-0.04914838779098507,0.5653962544278013,0.003918170307119997,0.5945719196724776,14,23,0,0.4079544333241943,0.46514208996775785,12,11,0.3036561685714646,0.055934493266976866,0.983856240565954,0.11977195410354459,3,3.239056873486089e-05
4485,0.500653772596246,0.5786815417887106,0.5005574136008919,0.49944258639910816,14.95,3.5899164335677787,25,14.95,4.066222653356142,26,137,163,0.05367529876016229,0.5973136195606323,-0.026114024704367727,0.5871952636071555,-0.008074266011816569,0.5833325632273645,11,23,0,0.6748866681939834,0.5140219020364296,10,8,0.2959802437888945,0.05577359498284778,1.0072989379161368,0.11708565728423569,4,6.763303285644334e-05
4485,0.4966882720299384,0.5743985213584927,0.4914158305462653,0.5085841694537346,14.95,3.758656674930553,27,14.95,3.723014011971125,25,152,148,-0.008260040401776416,0.5812013871958883,-0.034835226460318995,0.5686772536420048,-0.0077194780965803836,0.5938063362086224,13,16,0,0.7028826342832415,0.5356251315618157,10,9,0.3001751453083722,0.05772502941406789,0.9989263756874674,0.11908667204350934,5,6.716933474309164e-05
4485,0.5073100745265378,0.584473756807932,0.5108138238573021,0.4891861761426979,14.95,3.6716254347813493,27,14.95,3.6933498796259925,25,151,149,0.004515364184840541,0.5705960756791326,0.02933873061316199,0.5881648142305952,0.016145989443334067,0.5936130715232996,22,16,0,0.4703463167481335,0.39049548427404196,25,23,0.29967349307875113,0.059261935331231384,0.9967120045678421,0.1129148609602291,10,4.242144316752292e-05
4485,0.4969560404248361,0.5729731432465665,0.49944258639910816,0.5005574136008919,14.95,3.9056582885176563,26,14.95,3.682503677300721,28,151,149,-0.00529680327354734,0.5951999981215372,0.00020256779092118945,0.5950939669732532,-0.009962715207416034,0.5860137770716329,11,18,0,0.4769773508762031,0.5384195328789951,13,7,0.3006049960658493,0.0549025442416958,1.001690477293683,0.120484396370673,42,0.00010458302691956933
4485,0.5028209910834263,0.580340173609918,0.5054626532887403,0.49453734671125976,14.95,3.827205246651922,24,14.95,3.903097060882123,27,155,145,-0.010267054256668755,0.5640945237228054,0.035084528616057105,0.5569670276229663,-0.018405875509640488,0.5770584715147264,14,22,0,0.5841143163226354,0.5303175249432055,21,29,0.29863214051352843,0.057815833125064366,1.00584720118476,0.11493035252440947,77,7.007292913154028e-05
4485,0.4976465960391661,0.5766619457415981,0.49253065774804905,0.507469342251951,14.95,3.8962588894134504,29,14.95,3.634212431875715,24,148,152,0.023957675365576886,0.5688185029513416,0.07065493705465649,0.5880004487052152,0.026020388698780882,0.5818928684002844,19,10,0,0.5137003481484368,0.36069943169200774,8,13,0.29937643285805016,0.055358425278640995,1.0028795562092776,0.11988675179045043,99,7.640382824013928e-05
4485,0.4950954547379169,0.571448818933048,0.49966555183946487,0.5003344481605351,14.95,4.1522082478282965,28,14.95,4.128861828639946,28,154,146,-0.014464445797110717,0.5666731953838591,-0.04084985182256311,0.5648445570524624,-0.0041421444460477365,0.5905655473794872,24,18,0,0.3391232897360154,0.5124492000218307,16,23,0.3022383512143271,0.05421616025824498,0.9966671430298739,0.11322173380380689,123,6.219167721463532e-05
4485,0.5006838195867686,0.5783605374218757,0.4972129319955407,0.5027870680044593,14.95,3.715844453149243,28,14.95,3.323777970924051,27,161,139,-0.031804293000236544,0.5558901006746939,-0.021672097488661893,0.5808764748894039,0.02715316086999266,0.5794202776760826,20,11,0,0.5127289731178775,0.5109618206689199,6,15,0.3032175953560937,0.05699339317063458,0.9995030532985152,0.11982764631188576,999,9.1695058794524e-05
