seed,arm,event_type,subgraph,n_connections,trace_src_positive_rate,phi_tgt_positive_rate,raw_support_rate,dW_support_rate,tag_support_rate,raw_vs_trace_phi_mismatch_count,raw_vs_dW_mismatch_count,dW_vs_tag_mismatch_count,trace_src_l1,phi_tgt_l1,raw_l1,dW_l1,tag_delta_l1,raw_l1_to_dW_l1_scale,corr_h_trace_src,corr_h_phi_tgt,support_geometry_verdict
42,exact_replay,L,RR,5766,0.11273,0.0,0.0,0.0,0.0,0,0,0,3.269446,0.0,0.0,0.0,0.0,nan,-0.034838,nan,trace_phi_support_identity_confirmed
42,exact_replay,R,ALL,26910,0.08246,0.059086,0.005871,0.005871,0.005871,0,0,0,9.599907,8.554806,0.004501,0.0006,0.0006,0.133305,-0.000173,-0.085481,trace_phi_support_identity_confirmed
42,exact_replay,R,LL,5904,0.067073,0.0,0.0,0.0,0.0,0,0,0,1.385559,0.0,0.0,0.0,0.0,nan,0.101203,nan,trace_phi_support_identity_confirmed
42,exact_replay,R,LM,912,0.078947,0.0,0.0,0.0,0.0,0,0,0,0.209868,0.0,0.0,0.0,0.0,nan,0.065436,nan,trace_phi_support_identity_confirmed
42,exact_replay,R,LR,5676,0.080338,0.130021,0.013742,0.013742,0.013742,0,0,0,1.915056,3.920838,0.001624,0.000283,0.000283,0.174099,0.117186,-0.093879,trace_phi_support_identity_confirmed
42,exact_replay,R,ML,1050,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,trace_phi_support_identity_confirmed
42,exact_replay,R,MM,114,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,trace_phi_support_identity_confirmed
42,exact_replay,R,MR,1032,0.0,0.122093,0.0,0.0,0.0,0,0,0,0.0,0.62967,0.0,0.0,0.0,nan,nan,-0.176302,trace_phi_support_identity_confirmed
42,exact_replay,R,RL,5628,0.103056,0.0,0.0,0.0,0.0,0,0,0,2.693701,0.0,0.0,0.0,0.0,nan,-0.054393,nan,trace_phi_support_identity_confirmed
42,exact_replay,R,RM,828,0.078502,0.0,0.0,0.0,0.0,0,0,0,0.305393,0.0,0.0,0.0,0.0,nan,-0.135942,nan,trace_phi_support_identity_confirmed
42,exact_replay,R,RR,5766,0.11273,0.125911,0.013874,0.013874,0.013874,0,0,0,3.09033,4.004298,0.002877,0.000317,0.000317,0.110286,-0.055705,-0.130039,trace_phi_support_identity_confirmed
77,closed_loop,ALL,ALL,62790,0.111308,0.05985,0.007852,0.007852,0.007852,0,0,0,30.93939,17.295009,0.01077,0.0013,0.0013,0.12072,0.039358,0.001603,trace_phi_support_identity_confirmed
77,closed_loop,ALL,LL,12488,0.087444,0.074231,0.005125,0.005125,0.005125,0,0,0,5.462401,3.9024,0.00181,0.00028,0.00028,0.154643,0.147612,0.035355,trace_phi_support_identity_confirmed
77,closed_loop,ALL,LM,2926,0.06972,0.012303,0.0,0.0,0.0,0,0,0,0.866674,0.07052,0.0,0.0,0.0,nan,0.153002,-0.04076,trace_phi_support_identity_confirmed
77,closed_loop,ALL,LR,12516,0.087248,0.058725,0.005753,0.005753,0.005753,0,0,0,5.807254,3.596651,0.001785,0.000173,0.000173,0.096762,0.088091,-0.078072,trace_phi_support_identity_confirmed
77,closed_loop,ALL,ML,2828,0.02546,0.054102,0.0,0.0,0.0,0,0,0,0.171911,0.615928,0.0,0.0,0.0,nan,-0.060261,0.03573,trace_phi_support_identity_confirmed
77,closed_loop,ALL,MM,826,0.029056,0.010896,0.0,0.0,0.0,0,0,0,0.057304,0.01763,0.0,0.0,0.0,nan,-0.054637,-0.043801,trace_phi_support_identity_confirmed
77,closed_loop,ALL,MR,3206,0.022458,0.059264,0.003743,0.003743,0.003743,0,0,0,0.171911,1.091975,0.000117,1.1e-05,1.1e-05,0.096979,-0.059124,-0.084557,trace_phi_support_identity_confirmed
77,closed_loop,ALL,RL,12250,0.168735,0.074939,0.019102,0.019102,0.019102,0,0,0,8.393785,4.427098,0.0045,0.000601,0.000601,0.133561,-0.0457,0.117232,trace_phi_support_identity_confirmed
77,closed_loop,ALL,RM,2968,0.183962,0.030323,0.009097,0.009097,0.009097,0,0,0,1.936923,0.176299,0.000143,1.9e-05,1.9e-05,0.133566,-0.146821,-0.072849,trace_phi_support_identity_confirmed
77,closed_loop,ALL,RR,12782,0.142388,0.054765,0.006572,0.006572,0.006572,0,0,0,8.071227,3.396508,0.002415,0.000216,0.000216,0.08945,-0.033698,-0.076418,trace_phi_support_identity_confirmed
77,closed_loop,L,ALL,40365,0.118246,0.052843,0.008052,0.008052,0.008052,0,0,0,21.131957,9.209875,0.006453,0.0009,0.0009,0.139476,0.028353,0.022513,trace_phi_support_identity_confirmed
77,closed_loop,L,LL,8028,0.090683,0.115471,0.007972,0.007972,0.007972,0,0,0,3.958151,3.9024,0.00181,0.00028,0.00028,0.154643,0.142708,0.00567,trace_phi_support_identity_confirmed
77,closed_loop,L,LM,1881,0.072302,0.019139,0.0,0.0,0.0,0,0,0,0.628007,0.07052,0.0,0.0,0.0,nan,0.149639,-0.062261,trace_phi_support_identity_confirmed
