seed,gap,tau_trace,target_event_update_l1,mode,arm,num_pairs,event_count_L,event_count_R,schedule_ok,lr_weight_l1,rl_weight_l1,DI,n_event_pair_updates,mean_raw_l1,mean_scale,mean_trace_mass,runtime_s
42,500,0,0.0,OFF,L_then_R,5,5,5,True,0.06698511299672309,0.06628904624621239,0.005222818545316602,0,0,0,0,1036.8012380599976
42,500,0,0.0,OFF,R_then_L,5,5,5,True,0.06698332978793926,0.06628305769558866,0.005254679034740864,0,0,0,0,1036.8012380599976
42,500,0,0.0,OFF,simultaneous,5,5,5,True,0.0669875144617868,0.06628685767199961,0.005257250726933322,0,0,0,0,1036.8012380599976
42,500,0,0.0,OFF,separated_control,5,5,5,True,0.06698708458753438,0.06628779703632127,0.005246956836033634,0,0,0,0,1036.8012380599976
42,500,1000,1e-06,event_pair,L_then_R,5,5,5,True,0.06698612271512965,0.06628988603904643,0.005224021056649329,9,0.00040367497557397135,0.003158559288816754,0.0862489089950847,1036.8012380599976
42,500,1000,1e-06,event_pair,R_then_L,5,5,5,True,0.06698280279371717,0.06628284465793965,0.005252352344036581,9,0.00039066811158643323,0.003148179737283672,0.09165969576878998,1036.8012380599976
42,500,1000,1e-06,event_pair,simultaneous,5,5,5,True,0.06698749595042078,0.06628686396498791,0.005257065093933389,4,0.0006244912293122097,0.001642454790224486,0.06734624879908145,1036.8012380599976
42,500,1000,1e-06,event_pair,separated_control,5,5,5,True,0.0669863624193172,0.0662883492511611,0.005237401449996737,9,0.0004006952247144134,0.003133469153160426,0.08656735999465864,1036.8012380599976
42,500,1000,1e-05,event_pair,L_then_R,5,5,5,True,0.06698621203901586,0.06628996890266158,0.005224062780233362,9,0.00040367497557397135,0.03158559288816755,0.0862489089950847,1036.8012380599976
42,500,1000,1e-05,event_pair,R_then_L,5,5,5,True,0.0669832324228051,0.06628335776614794,0.005251688781558739,9,0.00039066811158643323,0.03148179737283673,0.09165969576878998,1036.8012380599976
42,500,1000,1e-05,event_pair,simultaneous,5,5,5,True,0.06698705544433338,0.06628661903783668,0.00525562463264377,4,0.0006244912293122097,0.016424547902244863,0.06734624879908145,1036.8012380599976
42,500,1000,1e-05,event_pair,separated_control,5,5,5,True,0.06698620918250398,0.06628811373074103,0.0052380341276401,9,0.0004006952247144134,0.03133469153160426,0.08656735999465864,1036.8012380599976
42,500,1000,0.0001,event_pair,L_then_R,5,5,5,True,0.06698594799750401,0.06628956003150911,0.0052251758503001015,9,0.00040367497557397135,0.3158559288816754,0.0862489089950847,1036.8012380599976
42,500,1000,0.0001,event_pair,R_then_L,5,5,5,True,0.06698273090298483,0.06628292202999739,0.005251232088542103,9,0.00039066811158643323,0.3148179737283673,0.09165969576878998,1036.8012380599976
42,500,1000,0.0001,event_pair,simultaneous,5,5,5,True,0.0669874375490837,0.06628658464457861,0.0052587360459596545,4,0.0006244912293122097,0.1642454790224486,0.06734624879908145,1036.8012380599976
42,500,1000,0.0001,event_pair,separated_control,5,5,5,True,0.06698492775722802,0.06628708521849688,0.005236227195375274,9,0.0004006952247144134,0.3133469153160426,0.08656735999465864,1036.8012380599976
42,500,1000,0.001,event_pair,L_then_R,5,5,5,True,0.06698956348567477,0.06629201967107831,0.005233609911212088,9,0.00040367497557397135,3.1585592888167544,0.0862489089950847,1036.8012380599976
42,500,1000,0.001,event_pair,R_then_L,5,5,5,True,0.06698294876543395,0.06628139318353385,0.005264390846303755,9,0.00039066811158643323,3.1481797372836726,0.09165969576878998,1036.8012380599976
42,500,1000,0.001,event_pair,simultaneous,5,5,5,True,0.06698648727320815,0.06628615203219894,0.005254906368283654,4,0.0006244912293122097,1.642454790224486,0.06734624879908145,1036.8012380599976
42,500,1000,0.001,event_pair,separated_control,5,5,5,True,0.06698747286092785,0.06628905715683703,0.005240350300180284,9,0.0004006952247144134,3.1334691531604264,0.08656735999465864,1036.8012380599976
