seed,arm,capture_index,capture_step,capture_signal,slow_weight_delta_l1,capture_count_so_far,historical_context_l1,historical_context_mean,historical_context_max,historical_context_concentration,historical_context_effective_support
42,closed_loop,0,2501,1.0,0.0,1,21.486311604078246,0.07162103868026082,0.17944474717227749,0.005936398010832299,168.45231707430568
42,closed_loop,1,3002,1.0,9.508490088178322e-06,2,25.94731009990912,0.08649103366636374,0.21643905608898667,0.005920515809615763,168.9042022953232
42,closed_loop,2,3503,1.0,2.8102507445317756e-05,3,30.10540421263829,0.10035134737546098,0.25147543527387867,0.005945371918773184,168.19805617919158
42,closed_loop,3,4004,1.0,3.4927802598361875e-05,4,34.02036138453289,0.11340120461510964,0.28471784049356796,0.0059175195604307855,168.9897244593479
42,closed_loop,4,4505,1.0,3.159766255626499e-05,5,37.63355112672909,0.1254451704224303,0.3157825815855558,0.0059353474351276185,168.48213367959286
42,closed_loop,5,5006,1.0,4.807392336083452e-05,6,41.02728417624003,0.1367576139208001,0.34540966597151923,0.0059099481238195205,169.2062229733606
42,closed_loop,6,5507,1.0,4.349038574166232e-05,7,44.16921453745594,0.14723071512485314,0.3740320237394578,0.005951344218655865,168.02926586993047
42,closed_loop,7,6008,1.0,5.882495832184402e-05,8,47.162314408587704,0.15720771469529235,0.401241117664345,0.0059877034681159146,167.0089384561088
42,closed_loop,8,6509,1.0,6.271156657985015e-05,9,50.096167912705305,0.16698722637568436,0.42676597390682136,0.005987364716618725,167.0183874425367
42,closed_loop,9,7010,1.0,7.620573302060906e-05,10,52.78243219689897,0.17594144065632988,0.45016572332842575,0.005947938425595783,168.1254795269394
42,exact_replay,0,2501,1.0,0.0,1,21.528949318380036,0.07176316439460012,0.17967113137558124,0.005955346575201664,167.9163399430095
42,exact_replay,1,3002,1.0,9.508490088175682e-06,2,26.004426364082214,0.08668142121360738,0.21677694220391933,0.005970815768769576,167.4813021749075
42,exact_replay,2,3503,1.0,2.8102507445310092e-05,3,30.095411772046578,0.10031803924015525,0.25208185898342045,0.006011468636647957,166.34870119818308
42,exact_replay,3,4004,1.0,3.492780259836022e-05,4,34.02606915099431,0.11342023050331437,0.2856342093222253,0.0059955547226394085,166.79023814493223
42,exact_replay,4,4505,1.0,3.159766255626349e-05,5,37.68102759811959,0.1256034253270653,0.3164275313811171,0.005938938250235702,168.3802656072931
42,exact_replay,5,5006,1.0,4.807392336083316e-05,6,41.24542473529104,0.1374847491176368,0.3467013898489623,0.005942033263101868,168.29256177505454
42,exact_replay,6,5507,1.0,4.3490385741661085e-05,7,44.43541747217337,0.1481180582405779,0.3755276212807863,0.005992571201127594,166.8732780032442
42,exact_replay,7,6008,1.0,5.88249583218429e-05,8,47.499161813254375,0.1583305393775146,0.4027380209276368,0.0060166765489758686,166.20471316016074
42,exact_replay,8,6509,1.0,6.271156657984915e-05,9,50.47587788322901,0.16825292627743005,0.4282935320895878,0.006023453295868816,166.01772287100653
42,exact_replay,9,7010,1.0,7.620573302060817e-05,10,53.322999342997946,0.1777433311433265,0.45268762357127745,0.006002684380273774,166.59213389366832
42,divergent_warmup_replay,0,501,1.0,0.0,1,14.32856251223566,0.04776187504078553,0.10958704651004145,0.005218850021434101,191.6130940519359
42,divergent_warmup_replay,1,1002,1.0,9.508490088175682e-06,2,19.04559373175991,0.0634853124391997,0.1498787045292655,0.005466665555477361,182.92686645116666
42,divergent_warmup_replay,2,1503,1.0,2.8102507445310092e-05,3,23.360430139680176,0.07786810046560058,0.18820580916480042,0.005653935566920629,176.86795121095483
42,divergent_warmup_replay,3,2004,1.0,3.492780259836022e-05,4,27.65346377065446,0.0921782125688482,0.2246228625828846,0.005742741636343526,174.13285558092986
42,divergent_warmup_replay,4,2505,1.0,3.159766255626349e-05,5,31.596170248014722,0.10532056749338241,0.25923956867729075,0.0058171385253005855,171.9058254588028
42,divergent_warmup_replay,5,3006,1.0,4.807392336083316e-05,6,35.39732215697273,0.11799107385657576,0.29226900978542947,0.0058643059836959045,170.52316212357027
42,divergent_warmup_replay,6,3507,1.0,4.3490385741661085e-05,7,38.97554822601015,0.1299184940867005,0.32383239251002166,0.005925794899659095,168.75373126017726
42,divergent_warmup_replay,7,4008,1.0,5.88249583218429e-05,8,42.38853561088338,0.1412951187029446,0.3537380286938572,0.005943596773615924,168.2482910750399
42,divergent_warmup_replay,8,4509,1.0,6.271156657984915e-05,9,45.52013635777442,0.15173378785924807,0.3818622378863384,0.005995427291420032,166.79378322727476
42,divergent_warmup_replay,9,5010,1.0,7.620573302060817e-05,10,48.547696902133154,0.16182565634044385,0.4087859840640408,0.0060040329988803424,166.55471417070564
