group,label,step,mean_activation,mean_energy,hard_active_ratio,strong_output_ratio,activation_entropy,weight_mean,weight_std,weight_abs_mean,turnover_fraction,mean_abs_weight_change
A_L,L then R,1000,0.36034580696646823,0.3750885427811851,0.49333333333333335,0.5066666666666667,2.1868886645978702,0.00040284797142756676,0.5588705028716265,0.4847363637547304,1.0,0.012220191644748944
A_L,L then R,2000,0.37724311523653997,0.38206042574787963,0.5066666666666667,0.5233333333333333,2.2602000724569864,0.00039998155584117717,0.5450914184481134,0.47279114021164165,1.0,0.011945404887150582
A_L,L then R,3000,0.34115963867639093,0.3609590467835608,0.47,0.5066666666666667,2.3473566491661777,0.00039728059567890325,0.5316530760883107,0.461141015336326,1.0,0.011650274554488579
A_L,L then R,4000,0.36732020276853067,0.355220811248607,0.5066666666666667,0.5166666666666667,2.3059241079125075,0.0003946160275094294,0.518546190412224,0.4497785148381501,1.0,0.011362649488223572
A_L,L then R,5000,0.3546377446493363,0.36224755392922847,0.48333333333333334,0.49333333333333335,2.2792595707295464,0.0003919978236237737,0.5057629832841506,0.4386965051530603,1.0,0.011082155206855585
A_L,L then R,6000,0.3575085109349858,0.34569251714002697,0.51,0.53,2.3789329195781352,0.00038923816336260136,0.4932946702917362,0.4278871240294213,1.0,0.010809527430774794
A_L,L then R,7000,0.3554368769284169,0.33632712242906443,0.48,0.5066666666666667,2.4374871397343925,0.00038656315707945294,0.48113431988740174,0.4173450160467029,1.0,0.01054224316245558
A_L,L then R,8000,0.3385579994909341,0.3714122555957482,0.48,0.5,2.247482983775169,0.00038311336687731014,0.4692713886250802,0.4070598814461607,1.0,0.010285231662309992
A_L,L then R,9000,0.3529409607038064,0.3617298572329052,0.4866666666666667,0.5066666666666667,2.3064401828743724,0.0003802564929993057,0.45770316866200533,0.3970308233014997,1.0,0.010029189400515306
A_L,L then R,10000,0.33565018438714217,0.376791940601949,0.47333333333333333,0.49666666666666665,2.2437910472851654,0.00037708305780362187,0.44641933238309917,0.387247728154238,0.9997770345596433,0.009783205126523227
A_L,L then R,11000,0.3496769615399605,0.3513072264056713,0.5,0.5333333333333333,2.361795345470073,0.0003745667495850954,0.4354156668787723,0.377707963040927,1.0,0.009539870109334719
A_L,L then R,12000,0.3295554216967204,0.35169568276115437,0.48333333333333334,0.5,2.361345368766423,0.00037177868949792286,0.4246831288782437,0.36840319830180224,1.0,0.009304866264652293
A_L,L then R,13000,0.3341129776964273,0.35263848801756825,0.4766666666666667,0.49,2.3100414346796607,0.000368416245371221,0.41421265273955743,0.3593248089057345,0.9997770345596433,0.009078463290093639
A_L,L then R,14000,0.3264189690397514,0.35142443727792677,0.45666666666666667,0.4866666666666667,2.3945076793057694,0.00036529180120552403,0.40400173032908926,0.35047169273826245,1.0,0.008853191198617492
A_L,L then R,15000,0.34081857754156764,0.324588529475672,0.49666666666666665,0.52,2.42655933764808,0.00036203917833878014,0.39404225373918356,0.3418363566006537,1.0,0.008635453414032884
A_L,L then R,16000,0.2983605780110919,0.3362606363254765,0.44333333333333336,0.47,2.4228214777871533,0.000359077727498197,0.38432873289401165,0.33341424046701656,1.0,0.008422180761397164
A_L,L then R,17000,0.30998245612432174,0.3676782753763919,0.46,0.49,2.3068235520844595,0.0003556632125933076,0.37485304644069556,0.32519777300879305,1.0,0.00821652782216411
A_L,L then R,18000,0.30018947113396366,0.36448246751409175,0.44333333333333336,0.48,2.3035518371153936,0.0003525853058644503,0.36561256535579234,0.31718562369191533,0.9995540691192865,0.00801220356141997
A_L,L then R,19000,0.304602807057241,0.35270497637153836,0.43333333333333335,0.47333333333333333,2.429664847495326,0.00034920852286715284,0.35659920202822204,0.3093701158881749,1.0,0.007815549522508826
A_L,L then R,20000,0.31096422289160436,0.35552102072929537,0.47333333333333333,0.49333333333333335,2.3289501997834505,0.00034606373923269326,0.3478081316294537,0.30174715184847906,1.0,0.007623004796700789
A_L,L then R,21000,0.289477356215777,0.35622800292979834,0.4533333333333333,0.47,2.33289058456705,0.0003489570576063842,0.3457903105172442,0.3,0.9995540691192865,0.0017474471060898577
A_L,L then R,22000,0.27689154763288637,0.34345325357592654,0.4,0.4633333333333333,2.359284483551975,0.0003541334308662712,0.3457858828551827,0.30000000000000027,0.9620958751393534,2.0287933869909057e-05
A_L,L then R,23000,0.32035756662312054,0.3261499002080459,0.48333333333333334,0.5266666666666666,2.4439373002407345,0.000359428291592512,0.34578146387704317,0.3000000000000003,0.9645484949832775,2.0552516674535918e-05
A_L,L then R,24000,0.30105036821468195,0.33942941736347687,0.46,0.49666666666666665,2.393026001544285,0.00036475560595341724,0.34577717542499553,0.2999999999999993,0.9643255295429208,2.083951802714764e-05
A_L,L then R,25000,0.3129752046137806,0.3568960240179364,0.47,0.5,2.376091386339299,0.0003698443224061517,0.34577272804122733,0.2999999999999992,0.9638795986622074,2.114114360182653e-05
A_L,L then R,26000,0.30828573167294737,0.3629265218107493,0.47,0.49,2.3698875279431033,0.00037500892567051455,0.34576817868045795,0.3,0.9694537346711259,2.1347834856866985e-05
A_L,L then R,27000,0.306745048743289,0.3518985494095796,0.45,0.48,2.341932138425837,0.0003802677345535372,0.3457639838999132,0.29999999999999927,0.9625418060200669,2.015998166855e-05
A_L,L then R,28000,0.30402285466228696,0.3694080530795322,0.46,0.4866666666666667,2.398380234230837,0.0003855242133631096,0.34575941321748244,0.30000000000000043,0.9683389074693423,2.230366005611268e-05
A_L,L then R,29000,0.31818022463695667,0.32647580090655365,0.4666666666666667,0.49666666666666665,2.4405721781713883,0.0003909360574727025,0.3457546325314483,0.29999999999999927,0.9681159420289855,2.1806318534669027e-05
A_L,L then R,30000,0.30350985915820605,0.3192956094048216,0.44,0.49333333333333335,2.4695217508658813,0.000395874935188323,0.3457505212110611,0.29999999999999927,0.9596432552954292,1.9464619225030957e-05
A_L,L then R,31000,0.3082334858532109,0.3345502006359848,0.4533333333333333,0.5033333333333333,2.467990364804887,0.0004011471253595747,0.34574611087637963,0.2999999999999995,0.9636566332218506,2.087838224628092e-05
A_L,L then R,32000,0.3156473622921566,0.3482662683864159,0.47333333333333333,0.5,2.3249642854050188,0.00040638855892400087,0.3457415127424374,0.2999999999999994,0.9672240802675586,2.2139063436501036e-05
A_L,L then R,33000,0.3149916663603991,0.3566066409000219,0.47333333333333333,0.49333333333333335,2.3397792761768703,0.0004120608121565508,0.34573657482733655,0.3000000000000007,0.9698996655518395,2.3651157873441358e-05
A_L,L then R,34000,0.2972488163479347,0.3302852581186064,0.44666666666666666,0.48,2.3373778106878396,0.00041776877139162885,0.3457318276911075,0.29999999999999877,0.9719063545150501,2.2676725028818274e-05
A_L,L then R,35000,0.32428170764163927,0.31340220983589856,0.4866666666666667,0.52,2.4648142008179534,0.0004229757825600192,0.34572757042329333,0.3000000000000001,0.9643255295429208,2.0278701995833118e-05
A_L,L then R,36000,0.2939392508900315,0.3515636130282432,0.45666666666666667,0.49,2.3539659285905437,0.00042792197679161086,0.34572345830044793,0.30000000000000043,0.9612040133779264,1.997313284712137e-05
A_L,L then R,37000,0.30157044530920674,0.3409054175207375,0.43666666666666665,0.48,2.302364257812117,0.00043290971134525677,0.3457193177378517,0.30000000000000027,0.9636566332218506,1.9602837586712556e-05
