group,label,step,mean_activation,mean_energy,hard_active_ratio,strong_output_ratio,activation_entropy,weight_mean,weight_std,weight_abs_mean,turnover_fraction,mean_abs_weight_change
A_L,L then R,30000,0.30041524547044485,0.3597994089885686,0.44666666666666666,0.4633333333333333,2.3751132130860877,0.004255501072493038,0.3461242848141603,0.2999999999999999,1.0,0.2028222439306806
A_L,L then R,60000,0.2983480793648333,0.35831798818679395,0.4533333333333333,0.48,2.3084367250665507,0.004402687321648532,0.346003141259242,0.2999999999999996,0.9984392419175028,0.0005986230713350776
A_L,L then R,90000,0.296463959335972,0.3747095922677506,0.44,0.47,2.3135019616376082,0.004544821722237832,0.34588625228709347,0.3000000000000003,0.9988851727982163,0.0005973277184781237
A_L,L then R,120000,0.3102479365770191,0.34730735010618674,0.45666666666666667,0.49,2.3805171379102754,0.004688900651971004,0.34577141693077024,0.3000000000000005,0.9986622073578595,0.0006024166607123712
A_R,R then L,30000,0.30667482634324916,0.34721805541922496,0.45666666666666667,0.49666666666666665,2.373715169140852,0.004255443084332895,0.3461233046915727,0.2999999999999998,1.0,0.20282232872863273
A_R,R then L,60000,0.3025648073612724,0.35855008161661095,0.45666666666666667,0.4766666666666667,2.324906054286424,0.004398914762425002,0.34600464119189406,0.29999999999999866,0.9984392419175028,0.0005969845504914576
A_R,R then L,90000,0.3037384464215285,0.3399477969186832,0.45666666666666667,0.5,2.4341223710138693,0.004543664880640121,0.34588712186749154,0.30000000000000027,0.9995540691192865,0.0005984101446399479
A_R,R then L,120000,0.3222789122955643,0.3336116145180539,0.49,0.5133333333333333,2.4211459018679133,0.004687324516458069,0.34577258452378046,0.2999999999999997,0.9993311036789297,0.0006032644200877581
C,repeat A_L,30000,0.30041524547044485,0.3597994089885686,0.44666666666666666,0.4633333333333333,2.3751132130860877,0.004255501072493038,0.3461242848141603,0.2999999999999999,1.0,0.2028222439306806
C,repeat A_L,60000,0.2983480793648333,0.35831798818679395,0.4533333333333333,0.48,2.3084367250665507,0.004402687321648532,0.346003141259242,0.2999999999999996,0.9984392419175028,0.0005986230713350776
C,repeat A_L,90000,0.296463959335972,0.3747095922677506,0.44,0.47,2.3135019616376082,0.004544821722237832,0.34588625228709347,0.3000000000000003,0.9988851727982163,0.0005973277184781237
C,repeat A_L,120000,0.3102479365770191,0.34730735010618674,0.45666666666666667,0.49,2.3805171379102754,0.004688900651971004,0.34577141693077024,0.3000000000000005,0.9986622073578595,0.0006024166607123712
D_L,plasticity off (L then R),30000,0.3520861880661282,0.3707390960747424,0.4766666666666667,0.4866666666666667,2.210939442157747,0.00688887870911202,0.580340173609918,0.5028209910834263,0.0,0.0
D_L,plasticity off (L then R),60000,0.39283150519671023,0.3131472453423225,0.5266666666666666,0.5433333333333333,2.392920511488555,0.00688887870911202,0.580340173609918,0.5028209910834263,0.0,0.0
D_L,plasticity off (L then R),90000,0.37123584038366586,0.3609134642195809,0.5133333333333333,0.52,2.210134965479163,0.00688887870911202,0.580340173609918,0.5028209910834263,0.0,0.0
D_L,plasticity off (L then R),120000,0.35726231204429276,0.35190966922898403,0.49,0.5033333333333333,2.2743350033639853,0.00688887870911202,0.580340173609918,0.5028209910834263,0.0,0.0
D_R,plasticity off (R then L),30000,0.3790230447297665,0.35785707839049563,0.49666666666666665,0.53,2.2721166843256033,0.00688887870911202,0.580340173609918,0.5028209910834263,0.0,0.0
D_R,plasticity off (R then L),60000,0.3725033568923387,0.3404469485377098,0.49333333333333335,0.5166666666666667,2.2453217605776628,0.00688887870911202,0.580340173609918,0.5028209910834263,0.0,0.0
D_R,plasticity off (R then L),90000,0.36097207187290514,0.3458211628047054,0.4666666666666667,0.5133333333333333,2.3197031517541626,0.00688887870911202,0.580340173609918,0.5028209910834263,0.0,0.0
D_R,plasticity off (R then L),120000,0.3685029481206765,0.3431438749679144,0.5,0.5266666666666666,2.3640179863489643,0.00688887870911202,0.580340173609918,0.5028209910834263,0.0,0.0
