group,label,step,mean_activation,mean_energy,hard_active_ratio,strong_output_ratio,activation_entropy,weight_mean,weight_std,weight_abs_mean,turnover_fraction,mean_abs_weight_change
A_L,L then R,1000,0.34543457702658464,0.37759299748009,0.49,0.5033333333333333,2.153355720792969,0.0004101433435694098,0.5058436015836213,0.438786973291497,1.0,0.058171051769445356
A_L,L then R,2000,0.3437895098684253,0.352766475141822,0.4866666666666667,0.5133333333333333,2.360871730441155,0.00039491529095916965,0.4464902930494764,0.3873271205014301,1.0,0.0514604808396056
A_L,L then R,3000,0.3268695244453565,0.3330760952916073,0.4666666666666667,0.51,2.382044914493779,0.0003788515467641809,0.3941054457419602,0.34190695797924686,1.0,0.04542062734636714
A_L,L then R,4000,0.3217468567722677,0.331355540538029,0.47,0.5033333333333333,2.39849323777734,0.00036309390960340295,0.34786937357486675,0.3018162653446677,1.0,0.04009091336986201
A_L,L then R,5000,0.2729885399286732,0.35516456347730824,0.42,0.45666666666666667,2.337952031068675,0.0003414702105836913,0.3070438922485949,0.26641021258595954,1.0,0.03540620999634253
A_L,L then R,6000,0.2657669046713963,0.33923700088161696,0.42,0.4666666666666667,2.347130670249617,0.00032109971836851624,0.2710100812646837,0.23515761393291643,1.0,0.03125267440068205
A_L,L then R,7000,0.24204277799955815,0.31352810122528657,0.38666666666666666,0.43333333333333335,2.3561128481133284,0.00029955685009925843,0.2392017751782397,0.20756675948068437,1.0,0.027590854452232024
A_L,L then R,8000,0.2072799490145796,0.31826354792663514,0.3233333333333333,0.38333333333333336,2.3134341277628567,0.0002759776692272177,0.21111801025504925,0.18320359804209888,1.0,0.024363170181690947
A_L,L then R,9000,0.18946713126013956,0.29934062889283847,0.26666666666666666,0.35,2.251326485125931,0.0002535303486460343,0.18632923957068354,0.16169675627628205,1.0,0.02150690273376669
A_L,L then R,10000,0.17444237063278845,0.2699185595624451,0.23,0.3,2.166023110216784,0.00023041153546182673,0.16444536730851392,0.14270801331423216,1.0,0.01898874296204989
A_L,L then R,11000,0.06697961770356617,0.4603508338126466,0.0,0.0,1.1580672510239405,0.00020516724034334486,0.1451248503704627,0.12594183199783784,1.0,0.016766181316394287
A_L,L then R,12000,0.06371653762657888,0.5974528035691894,0.0,0.0,1.1336836608177923,0.00018105783166292753,0.12807123190893588,0.11114241011044843,1.0,0.014799421887389452
A_L,L then R,13000,0.062076332447495115,0.604361603825461,0.0,0.0033333333333333335,1.0889757422690736,0.0001597826912704722,0.1130215844836828,0.09808206877951152,1.0,0.013060341330936894
A_L,L then R,14000,0.06580327017212355,0.6012912301853373,0.0,0.0033333333333333335,1.1701903068968778,0.00014100650028903703,0.09974041987591498,0.0865564466454592,1.0,0.011525622134052331
A_L,L then R,15000,0.06354623861528588,0.6118042911804895,0.0,0.0,1.108442594792249,0.0001244382149559824,0.08801992616320332,0.07638520130710152,1.0,0.010171245338357667
A_L,L then R,16000,0.06436318420444552,0.5926763011696569,0.0,0.006666666666666667,1.1753665185028697,0.00010981611436375637,0.07767670700592207,0.06740917877161536,1.0,0.008976022535486173
A_L,L then R,17000,0.06010391731336125,0.5994110088053196,0.0,0.0033333333333333335,1.130548088428406,9.691092273764087e-05,0.06854891944916368,0.05948792871205508,1.0,0.007921250059560285
A_L,L then R,18000,0.059550650343437705,0.6118897673634355,0.0,0.0033333333333333335,1.1001548220905695,8.552318805939602e-05,0.06049374257096203,0.052497507943099986,1.0,0.006990420768955081
A_L,L then R,19000,0.0625063007251948,0.6015198505988409,0.0,0.0033333333333333335,1.090070716399556,7.547387272860736e-05,0.05338512512625367,0.0463285282755462,1.0,0.0061689796675537915
A_L,L then R,20000,0.0628440151136855,0.608390189527417,0.0,0.0,1.151164838628366,6.660715219867542e-05,0.047111844684822365,0.04088446793314721,1.0,0.005444060342398985
A_R,R then L,1000,0.3448125052866946,0.3750593831411234,0.47333333333333333,0.4866666666666667,2.1572736619896986,0.0004235640626212694,0.505859756361295,0.43880511532567773,1.0,0.05815459521631354
A_R,R then L,2000,0.3400888082230168,0.3525437345774741,0.48333333333333334,0.5066666666666667,2.369878057227729,0.00040657344179075125,0.4465046176604063,0.38734406772788205,1.0,0.051461507596322446
A_R,R then L,3000,0.3156902507437563,0.37182606000317475,0.45,0.48333333333333334,2.313028850408235,0.0003866756529087821,0.3941115611819419,0.34191637714850853,1.0,0.04542805080977971
A_R,R then L,4000,0.3191772233109611,0.32185564841106473,0.47333333333333333,0.51,2.4470744287530843,0.00036867360704909196,0.34786919907779135,0.30181836556159625,1.0,0.040098153935180715
A_R,R then L,5000,0.28421215060896043,0.34123472420390233,0.42,0.47333333333333333,2.3533246760414754,0.0003474259663481593,0.30704493880370365,0.26641362655294487,1.0,0.03540492057613788
A_R,R then L,6000,0.27292703791253364,0.3466980513192767,0.43333333333333335,0.47333333333333333,2.369489197562631,0.0003251624429585517,0.27100647311225473,0.2351560357610118,1.0,0.031257652572339444
A_R,R then L,7000,0.22952693902733093,0.33500951580753513,0.37333333333333335,0.4066666666666667,2.269112775093049,0.0003031338234389889,0.23919928618171232,0.20756654114909304,1.0,0.027589516158452097
A_R,R then L,8000,0.19314741567584198,0.33499593562026236,0.26,0.3566666666666667,2.26998005082692,0.0002784344575178406,0.2111128077317715,0.18320049731978733,1.0,0.024366048656155662
A_R,R then L,9000,0.20759868252129374,0.27534356420868156,0.3,0.4,2.3134983247394154,0.0002538933619979657,0.18632175009808438,0.1616911479880996,0.9995540691192865,0.021509349331687733
A_R,R then L,10000,0.1564830013755752,0.2739529997687202,0.18,0.2833333333333333,2.052455571401935,0.00022967017119982698,0.1644382886710994,0.1427026465042441,1.0,0.018988501483855485
A_R,R then L,11000,0.06428873828725643,0.56562453861571,0.0,0.0,1.1241015007434716,0.00020350606043144045,0.14511670159399334,0.12593529939399178,1.0,0.01676734711025231
A_R,R then L,12000,0.063718748960589,0.5994452375965752,0.0,0.0,1.1336836608177923,0.00017959169018438352,0.1280640410457346,0.11113664560671885,1.0,0.01479865378727296
A_R,R then L,13000,0.0620754871086654,0.6043995353128256,0.0,0.0033333333333333335,1.08111341185069,0.0001584888359936549,0.11301523861913737,0.09807698166356975,1.0,0.013059663943149098
A_R,R then L,14000,0.06580312914155068,0.6012919319142751,0.0,0.0033333333333333335,1.1701903068968778,0.0001398646858861266,0.09973481971380072,0.08655195731645283,1.0,0.011525024347116905
A_R,R then L,15000,0.06354636256904528,0.6118043897003677,0.0,0.0,1.108442594792249,0.0001234305739623191,0.08801498407334292,0.07638123951771685,1.0,0.010170717798735998
A_R,R then L,16000,0.0643631620979153,0.5926767873689496,0.0,0.006666666666666667,1.1753665185028697,0.00010892688125784932,0.07767234566128049,0.06740568253207538,1.0,0.008975556985641465
A_R,R then L,17000,0.060103923730775374,0.5994106498434375,0.0,0.0033333333333333335,1.130548088428406,9.612618346974181e-05,0.06854507060671881,0.05948484331564846,1.0,0.007920839216426914
A_R,R then L,18000,0.05955061193229225,0.6118900466427468,0.0,0.0033333333333333335,1.1001548220905695,8.4830665065895e-05,0.06049034601140493,0.052494785113150956,1.0,0.006990058202497506
A_R,R then L,19000,0.0625062466496056,0.6015200154562688,0.0,0.0033333333333333335,1.090070716399556,7.486272827802918e-05,0.05338212769644433,0.04632612540552351,1.0,0.006168659707627441
A_R,R then L,20000,0.06284409055582771,0.6083896850214046,0.0,0.0,1.151164838628366,6.606782389997125e-05,0.04710919948547799,0.040882347425077056,1.0,0.005443777980446458
